Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Cost of Revenue,"10,101,491","15,493,304","8,995,280","3,810,489","5,093,277","9,094,826",Financials in USD,Fiscal year is January - December
Gross Profit,"-10,101,491","-15,493,304","-8,995,280","-3,810,489","-5,093,277","-9,094,826",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,132,144","7,265,885","8,506,438","4,168,909","1,990,086","2,552,434",Financials in USD,Fiscal year is January - December
Operating Expenses,"6,132,144","7,265,885","8,506,438","4,168,909","1,990,086","2,552,434",Financials in USD,Fiscal year is January - December
Operating Income,"-16,233,635","-22,759,189","-17,501,718","-7,979,398","-7,083,363","-11,647,260",Financials in USD,Fiscal year is January - December
Interest Expense,"-137,546","-775,758","-174,514","-30,593","-100,252",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"22,726",-,-,-,-,"100,962",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,348,455","-23,534,947","-17,676,232","-8,009,991","-7,183,615","-11,546,298",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-12,700,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-16,348,455","-23,534,947","-17,676,232","-20,709,991","-7,183,615","-11,546,298",Financials in USD,Fiscal year is January - December
Net Income,"-16,348,455","-23,534,947","-17,676,232","-20,709,991","-7,183,615","-11,546,298",Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,348,455","-23,534,947","-17,676,232","-20,709,991","-7,183,615","-11,546,298",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"732,874","75,435","50,195","30,890",-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"732,874","75,435","50,195","30,890",-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1131.659%,50.284%,62.496%,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-22.307,-311.990,-352.151,-670.443,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-22.307,-311.990,-352.151,-670.443,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-17,134,526","-15,258,639","-16,036,228","-11,247,508","-7,213,175","-10,548,424",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-23.380,-202.275,-319.479,-364.115,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-15,568,522","-22,176,271","-17,107,707","-7,271,081","-6,417,334","-11,468,348",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"665,113","582,918","394,011","708,317","666,029","178,912",Financials in USD,Fiscal year is January - December
EBIT,"-16,233,635","-22,759,189","-17,501,718","-7,979,398","-7,083,363","-11,647,260",Financials in USD,Fiscal year is January - December
