Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","824,294","874,640","1,602,819","1,084,607","909,001","893,483","1,085,049","822,334","892,777","1,118,021","1,190,313","1,441,080","912,490","462,772","1,581,185","377,128","419,596","380,837","387,473",Financials in USD,Fiscal year is January - December
Research & Development,"2,401,359","2,009,102","1,600,741","1,135,225","902,977","838,931","1,192,633","889,355","1,553,295","1,612,552","1,595,839","1,111,776","799,779","867,197","680,588","114,299","120,466","411,949","961,104",Financials in USD,Fiscal year is January - December
Operating Expenses,"3,225,653","2,883,742","3,203,560","2,219,832","1,811,978","1,732,414","2,277,682","1,711,689","2,446,072","2,730,573","2,786,152","2,552,856","1,712,269","1,329,969","2,261,773","491,427","540,062","792,786","1,348,577",Financials in USD,Fiscal year is January - December
Operating Income,"-3,225,653","-2,883,742","-3,203,560","-2,219,832","-1,811,978","-1,732,414","-2,277,682","-1,711,689","-2,446,072","-2,730,573","-2,786,152","-2,552,856","-1,712,269","-1,329,969","-2,261,773","-491,427","-540,062","-792,786","-1,348,577",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-651,"-1,823","-43,135","-38,478","-57,333","-28,863","-72,596",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"52,497","54,636","69,298","85,859","92,767","31,050","37,540","42,087","21,486",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,173,156","-2,829,106","-3,134,262","-2,133,973","-1,719,211","-1,701,364","-2,240,142","-1,669,602","-2,424,586","-2,730,573","-2,786,152","-2,552,856","-1,712,920","-1,331,792","-2,304,908","-529,905","-597,395","-821,649","-1,421,173",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"133,592",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,173,156","-2,829,106","-3,134,262","-2,133,973","-1,719,211","-1,701,364","-2,240,142","-1,669,602","-2,424,586","-2,730,573","-2,786,152","-2,552,856","-1,712,920","-1,331,792","-2,304,908","-396,313","-597,395","-821,649","-1,421,173",Financials in USD,Fiscal year is January - December
Net Income,"-3,173,156","-2,829,106","-3,134,262","-2,133,973","-1,719,211","-1,701,364","-2,240,142","-1,669,602","-2,424,586","-2,730,573","-2,786,152","-2,552,856","-1,712,920","-1,331,792","-2,304,908","-396,313","-597,395","-821,649","-1,421,173",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,"2,562,237",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
