Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"9,362,000","21,049,000","13,535,000","10,141,000","1,085,000",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-44.712%,55.515%,33.468%,834.654%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"100,402,000","88,153,000","59,819,000","44,954,000","20,577,000","9,442,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-91,040,000","-67,104,000","-46,284,000","-34,813,000","-19,492,000","-9,442,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","28,426,000","26,354,000","20,352,000","13,828,000","6,741,000","4,768,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"28,426,000","26,354,000","20,352,000","13,828,000","6,741,000","4,768,000",Financials in USD,Fiscal year is January - December
Operating Income,"-119,466,000","-93,458,000","-66,636,000","-48,641,000","-26,233,000","-14,210,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-3,721,000","-3,759,000","-1,176,000",-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"11,884,000","7,999,000","1,591,000","16,000","106,000","552,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-111,303,000","-89,218,000","-66,221,000","-48,625,000","-26,127,000","-13,658,000",Financials in USD,Fiscal year is January - December
Net Income,"-111,303,000","-89,218,000","-66,221,000","-48,625,000","-26,127,000","-13,658,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-111,303,000","-89,218,000","-66,221,000","-48,625,000","-26,127,000","-13,658,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"53,354,124","47,829,529","24,048,267","11,662,672","916,014","385,098",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"53,354,124","47,829,529","24,048,267","11,662,672","916,014","385,098",Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.566%,98.890%,106.199%,1173.198%,137.865%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.086,-1.865,-2.754,-4.169,-28.522,-35.466,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.086,-1.865,-2.754,-4.169,-28.522,-35.466,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-110,582,000","-64,504,000","-70,728,000","-58,618,000","-7,261,000","-13,769,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.073,-1.349,-2.941,-5.026,-7.927,-35.755,Financials in USD,Fiscal year is January - December
Operating Margin,-1276.073%,-444.002%,-492.324%,-479.647%,-2417.788%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-1188.881%,-423.859%,-489.257%,-479.489%,-2408.018%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1181.179%,-306.447%,-522.556%,-578.030%,-669.217%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-114,789,000","-88,097,000","-61,499,000","-45,313,000","-25,003,000","-13,691,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,677,000","5,361,000","5,137,000","3,328,000","1,230,000","519,000",Financials in USD,Fiscal year is January - December
EBIT,"-119,466,000","-93,458,000","-66,636,000","-48,641,000","-26,233,000","-14,210,000",Financials in USD,Fiscal year is January - December
