Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
Revenue,-,"3,425,271","126,838","6,002,206",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,223,903","4,566,152","3,138,159","5,501,527","1,592,232","1,067,952","1,231,712","4,412,498",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-2,223,903","-1,140,881","-3,011,321","500,679","-1,592,232","-1,067,952","-1,231,712","-4,412,498",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,219,545","2,088,404","2,439,841","2,377,394","1,964,990","1,829,553","1,661,544","898,646","1,236,127","1,994,783","717,524","732,146","543,289","518,303","518,304",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"-3,891,896",-,-,-,"-3,704,466","1,278,289","1,447,373","978,804","855,807","785,361","450,483","450,484",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,226,386","2,095,244","2,446,681","-1,507,662","1,971,831","1,836,393","1,668,384","-2,798,980","2,526,871","3,446,189","1,700,361","1,598,140","1,331,181","970,494","970,495",Financials in USD,Fiscal year is January - December
Operating Income,"-4,450,289","-3,236,125","-5,458,002","2,008,341","-3,564,063","-2,904,345","-2,900,096","-1,613,518","-2,526,871","-3,446,189","-1,700,361","-1,598,140","-1,331,181","-970,494","-970,495",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"344,445",-,-,-,"158,970",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"428,871",-,"431,089","174,672","142,089",-,"163,634","-1,104,150","-1,358,955","33,285","-3,017","-31,532","1,201","4,424","4,425",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,021,418","-2,891,680","-5,026,913","2,183,013","-3,421,974","-2,745,375","-2,736,462","-2,717,668","-3,885,826","-3,412,904","-1,703,378","-1,629,672","-1,329,980","-966,070","-966,070",Financials in USD,Fiscal year is January - December
Pretax Income,"-4,021,418","-2,891,680","-5,051,913","1,989,827","-3,421,974","-3,095,375","-2,736,462","-3,107,668","-4,020,826","-3,412,904","-1,703,378","-1,629,672","-1,329,980","-966,070","-966,070",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"723,852",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-4,021,418","-2,891,680","-5,051,913","1,265,975","-3,421,974","-3,095,375","-2,736,462","-3,107,668","-4,020,826","-3,412,904","-1,703,378","-1,629,672","-1,329,980","-966,070","-966,070",Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,021,418","-2,891,680","-5,051,913","1,265,975","-3,421,974","-3,095,375","-2,736,462","-3,107,668","-4,020,826","-3,412,904","-1,703,378","-1,629,672","-1,329,980","-966,070","-966,070",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"15,221,308","14,915,217","14,457,839","11,035,239","9,947,915","9,947,915","9,721,847","2,590,248","2,590,197","2,590,197","2,590,098","2,590,051","2,589,749","2,589,764","2,589,764",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"15,221,308","14,915,217","14,457,839","11,035,239","9,947,915","9,947,915","9,721,847","2,590,248","2,590,197","2,590,197","2,590,098","2,590,051","2,589,749","2,589,764","2,589,764",Financials in USD,Fiscal year is January - December
Shares Change (YoY),53.010%,49.933%,48.715%,326.030%,284.060%,284.060%,275.347%,0.008%,0.017%,0.017%,0.013%,-,-,-,-,Financials in USD,Fiscal year is January - December
