Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+4 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+4 Quarters,,
"Selling, General & Admin","1,235,661","1,297,651","1,933,753","1,497,981","2,080,644","3,272,900","2,948,400","2,942,809","3,514,547","2,501,206","2,767,866","9,014,942","2,123,834","2,309,149","6,470,405","3,362,577","426,532","716,551","836,702","401,179",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"762,717","515,501","458,155","1,254,756","1,281,455","2,395,589","1,825,792","1,772,685","2,055,656","2,120,051","1,958,714","2,462,395","1,219,339","879,843","157,952","39,824","63,302","50,957",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,083,192","1,897,931","2,477,317","2,837,419","3,448,395","5,755,007","4,860,678","4,801,991","5,656,849","4,706,759","4,795,845","11,649,625","3,516,869","3,363,011","6,764,997","3,523,273","489,834","767,508","836,702","401,179",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,083,192","-1,897,931","-2,477,317","-2,837,419","-3,448,395","-5,755,007","-4,860,678","-4,801,991","-5,656,849","-4,706,759","-4,795,845","-11,649,625","-3,516,869","-3,363,011","-6,764,997","-3,523,273","-489,834","-767,508","-836,702","-401,179",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-217,-35,-,-,-,-,-11,-135,-308,-668,"-4,138","-5,125",-370,"-4,821",-,"-57,107","-75,501","-50,883","-261,759","-81,823",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,696,566,"2,237",916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-623,"18,572","21,437","-1,029,824","630,537","-601,962","183,162","2,091,826","3,178,245","1,916,922","275,969","1,423,373","804,833","2,459,543","3,514,286","-802,109",-,-,-,"47,858",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,084,032","-1,879,394","-2,455,184","-3,866,677","-2,815,621","-6,356,053","-4,677,527","-2,710,300","-2,478,912","-2,790,505","-4,524,014","-10,231,377","-2,712,406","-908,289","-3,250,711","-4,382,489","-565,335","-818,391","-1,098,461","-435,144",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"453,059",-,-,-,-,-,-,-,"-650,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,"-1,486,060",-,-,-,"-8,225,862",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-5,967,602",-,-,-,"-30,453,056",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-59,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,084,032","-1,879,394","-2,455,184","-3,413,618","-2,815,621","-6,356,053","-4,677,527","-10,163,962","-2,478,912","-2,790,505","-4,524,014","-49,560,295","-2,712,406","-908,289","-3,250,711","-4,382,489","-565,335","-818,391","-1,098,461","-435,203",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"1,731","22,318","6,595",-,-,"-1,486,060",-,-,-,"-7,454,805",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,084,032","-1,879,394","-2,456,915","-3,435,936","-2,822,216","-6,356,053","-4,677,527","-8,677,902","-2,478,912","-2,790,505","-4,524,014","-42,105,490","-2,712,406","-908,289","-3,250,711","-4,382,489","-565,335","-818,391","-1,098,461","-435,203",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"43,709","123,320","123,594","123,594","81,802",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,084,032","-1,879,394","-2,456,915","-3,435,936","-2,822,216","-6,399,762","-4,800,847","-8,801,496","-2,602,506","-2,872,307","-4,524,014","-42,105,490","-2,712,406","-908,289","-3,250,711","-4,382,489","-565,335","-818,391","-1,098,461","-435,203",Upgrade,Financials in USD,Fiscal year is January - December
