Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"61,442,000","58,443,000","51,494,000","43,522,000","17,403,000","4,227,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),6.454%,13.495%,18.317%,150.083%,311.710%,112.412%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"108,623,000","66,336,000","58,002,000","54,489,000","30,777,000","43,416,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-47,181,000","-7,893,000","-6,508,000","-10,967,000","-13,374,000","-39,189,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","95,675,000","74,489,000","72,146,000","67,070,000","49,473,000","46,613,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"95,675,000","74,489,000","72,146,000","67,070,000","49,473,000","46,613,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-142,856,000","-82,382,000","-78,654,000","-78,037,000","-62,847,000","-85,802,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-14,622,000","-11,338,000","-7,022,000","-6,671,000","-6,768,000","-6,101,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"17,070,000","3,983,000","798,000","33,000","168,000","1,229,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-7,581,000","-5,189,000","13,840,000","78,122,000","-86,189,000","4,302,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-147,989,000","-94,926,000","-71,038,000","-6,553,000","-155,636,000","-86,372,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"1,601,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-27,950,000","14,190,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-174,338,000","-80,736,000","-71,038,000","-6,553,000","-155,636,000","-86,372,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-174,338,000","-80,736,000","-71,038,000","-6,553,000","-155,636,000","-86,372,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-174,338,000","-80,736,000","-71,038,000","-6,553,000","-155,636,000","-86,372,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"137,362,690","79,827,362","76,875,035","76,392,870","60,752,225","45,273,231",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"137,362,690","85,596,594","82,644,267","82,162,102","60,752,225","45,273,231",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),76.196%,3.572%,0.587%,35.241%,34.190%,18.780%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.269,-1.011,-0.924,-0.086,-2.562,-1.908,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.269,-1.016,-0.971,-0.977,-2.562,-1.910,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-119,247,000","-76,321,000","-63,318,000","-66,744,000","-54,395,000","-79,816,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.868,-0.892,-0.766,-0.812,-0.895,-1.763,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-76.789%,-13.505%,-12.638%,-25.199%,-76.849%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-232.505%,-140.961%,-152.744%,-179.305%,-361.127%,-2029.856%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-283.744%,-138.145%,-137.954%,-15.057%,-894.306%,-2043.340%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-194.081%,-130.590%,-122.962%,-153.357%,-312.561%,-1888.242%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-139,063,000","-79,399,000","-76,545,000","-75,616,000","-60,074,000","-83,272,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-226.332%,-135.857%,-148.648%,-173.742%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,793,000","2,983,000","2,109,000","2,421,000","2,773,000","2,530,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-142,856,000","-82,382,000","-78,654,000","-78,037,000","-62,847,000","-85,802,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-232.505%,-140.961%,-152.744%,-179.305%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"61,442,000","58,443,000","51,494,000","43,522,000","17,403,000","4,227,000",Upgrade,Financials in USD,Fiscal year is January - December
