Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"28,316,000","25,832,000","22,676,000","22,093,000","23,771,000","18,080,000","19,668,000","19,313,000","18,691,000","18,682,000","16,124,000","15,332,000","15,988,000","15,137,000","15,473,000","15,164,000","15,280,000","15,896,000","15,857,000","15,491,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),19.120%,42.876%,15.294%,14.394%,27.179%,-3.222%,21.980%,25.965%,16.906%,23.419%,4.207%,1.108%,4.634%,-4.775%,-2.422%,-2.111%,-0.824%,7.074%,1.912%,-8.089%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"22,077,000","21,282,000","19,612,000","19,223,000","21,569,000","17,047,000","17,069,000","16,973,000","17,914,000","16,937,000","16,910,000","17,563,000","16,317,000","15,399,000","15,072,000","14,779,000","14,934,000","15,015,000","14,744,000","14,379,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"6,239,000","4,550,000","3,064,000","2,870,000","2,202,000","1,033,000","2,599,000","2,340,000","777,000","1,745,000","-786,000","-2,231,000","-329,000","-262,000","401,000","385,000","346,000","881,000","1,113,000","1,112,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,303,000","4,035,000","4,370,000","3,249,000","3,445,000","3,825,000","3,748,000","4,150,000","4,016,000","5,301,000","4,273,000","4,738,000","5,422,000","5,145,000","5,774,000","6,548,000","5,291,000","4,868,000","7,346,000","6,558,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,"18,000","168,000","494,000","167,000","278,000","156,000","469,000","926,000","1,567,000","1,390,000","1,221,000","2,416,000","1,809,000","1,909,000","1,745,000","1,616,000","1,822,000","1,956,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,303,000","4,035,000","4,388,000","3,417,000","3,939,000","3,992,000","4,026,000","4,306,000","4,485,000","6,227,000","5,840,000","6,128,000","6,643,000","7,561,000","7,583,000","8,457,000","7,036,000","6,484,000","9,168,000","8,514,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"1,936,000","515,000","-1,324,000","-547,000","-1,737,000","-2,959,000","-1,427,000","-1,966,000","-3,708,000","-4,482,000","-6,626,000","-8,359,000","-6,972,000","-7,823,000","-7,182,000","-8,072,000","-6,690,000","-5,603,000","-8,055,000","-7,402,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-302,000","-232,000","-431,000","-1,108,000","-411,000","-395,000","-387,000","-439,000","-476,000","-485,000","-540,000","-588,000","-609,000","-583,000","-581,000","-591,000","-666,000","-521,000","-102,000","-9,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"30,000","9,000","24,000","42,000","56,000","49,000","64,000","33,000",-,-,-,"5,000",-,"7,000","11,000",-,"2,000","67,000","171,000","103,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,"10,000","-6,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"1,664,000","292,000","-1,731,000","-1,613,000","-2,092,000","-3,305,000","-1,750,000","-2,362,000","-4,190,000","-4,967,000","-7,166,000","-8,942,000","-7,581,000","-8,399,000","-7,752,000","-8,663,000","-7,354,000","-6,057,000","-7,986,000","-7,308,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"51,000",-,"101,000","220,000",-,-,-,-,-,"4,000","1,000",-,"-1,000",-,-,"4,000","2,000","2,000","6,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-837,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"1,664,000","343,000","-1,731,000","-1,512,000","-1,872,000","-3,305,000","-1,750,000","-2,362,000","-4,190,000","-4,967,000","-7,162,000","-8,941,000","-7,581,000","-8,400,000","-7,752,000","-8,663,000","-7,350,000","-6,892,000","-7,984,000","-7,302,000",Upgrade,Financials in USD,Fiscal year is January - December
