Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"129,621,000","17,447,000","25,816,000","57,027,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),801.962%,-32.418%,-54.730%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"58,934,000","51,905,000","43,579,000","43,787,000","18,826,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"70,687,000","-34,458,000","-17,763,000","13,240,000","-18,826,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","211,285,000","108,700,000","44,949,000","25,397,000","8,172,000","1,136,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"3,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"211,285,000","108,700,000","44,949,000","25,397,000","8,172,000","4,298,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-140,598,000","-143,158,000","-62,712,000","-12,157,000","-26,998,000","-4,298,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,526,000","-3,346,000","-2,199,000",-,-,"-100,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"14,345,000","10,337,000","3,499,000","36,000","188,000","60,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"906,000","-102,000","86,000","-3,000",-,"-76,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-131,873,000","-136,269,000","-61,326,000","-12,124,000","-26,810,000","-4,414,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-526,000","376,000","-769,000","-1,578,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-70,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,944,000",-,-,-,-,"-255,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-134,343,000","-135,893,000","-62,095,000","-13,772,000","-26,810,000","-4,669,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"-4,000","55,000","1,000","1,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-134,343,000","-135,893,000","-62,091,000","-13,827,000","-26,811,000","-4,670,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-134,343,000","-135,893,000","-62,091,000","-13,827,000","-26,811,000","-4,670,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"36,299,384","29,383,276","24,619,700","20,554,086","6,207,367","2,362,768",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"36,299,384","29,383,276","24,619,700","20,554,086","6,207,367","2,362,768",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),30.921%,19.349%,19.780%,231.124%,162.716%,34.287%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.701,-4.625,-2.522,-0.673,-4.319,-1.976,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.701,-4.625,-2.522,-0.673,-4.319,-1.976,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-101,675,000","-118,995,000","-49,536,000","3,162,000","-21,594,000","-3,848,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.801,-4.050,-2.012,0.154,-3.479,-1.629,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,54.534%,-197.501%,-68.806%,23.217%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-108.469%,-820.531%,-242.919%,-21.318%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-103.643%,-778.890%,-240.514%,-24.246%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-78.440%,-682.037%,-191.881%,5.545%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-139,458,000","-142,281,000","-62,387,000","-11,845,000","-26,902,000","-4,261,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-107.589%,-,-241.660%,-20.771%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,140,000","877,000","325,000","312,000","96,000","37,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-140,598,000","-143,158,000","-62,712,000","-12,157,000","-26,998,000","-4,298,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-108.469%,-,-242.919%,-21.318%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"129,621,000","17,447,000","25,816,000","57,027,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
