Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,-,-,455,"38,380","94,419","183,698","189,591","482,130","660,040","748,200","665,080","682,570","480,835","483,050",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-99.760%,-92.039%,-85.695%,-75.448%,-71.494%,-29.365%,37.270%,54.891%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,"19,343","47,933","90,846","206,221","219,088","318,601","409,163","473,233","315,002","237,062","255,026",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,455,"19,037","46,486","92,852","-16,630","263,042","341,439","339,037","191,847","367,568","243,773","228,024",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,013,581","4,254,473","4,116,019","4,384,488","3,868,823","4,044,960","4,461,331","4,106,385","3,836,032","3,704,143","3,951,866","3,148,637","2,598,940","1,340,398","1,184,023","1,137,807","698,760","629,403","643,984",Financials in USD,Fiscal year is January - December
Research & Development,"11,252,850","10,651,958","11,202,414","11,910,183","10,050,198","9,452,711","10,210,926","9,871,761","9,363,838","7,981,075","9,058,545","7,950,488","6,207,486","6,991,965","5,391,020","4,890,495","4,069,037","3,221,000","2,823,254",Financials in USD,Fiscal year is January - December
Operating Expenses,"15,273,748","14,913,748","15,325,750","16,301,988","13,926,338","13,504,988","14,679,574","13,985,462","13,207,187","11,692,535","13,018,514","11,099,125","8,806,426","8,332,363","6,575,043","6,028,302","4,767,797","3,850,403","3,467,238",Financials in USD,Fiscal year is January - December
Operating Income,"-15,273,748","-14,913,748","-15,325,750","-16,301,988","-13,926,338","-13,504,988","-14,679,574","-13,985,007","-13,188,150","-11,646,049","-12,925,662","-11,115,755","-8,543,384","-7,990,924","-6,236,006","-5,836,455","-4,400,229","-3,606,630","-3,239,214",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"547,072","826,104","804,884","754,144","855,532","1,166,047","831,274","516,168","222,985","142,799","132,506","142,885","17,400","3,259","6,355",518,"1,150","2,468","38,494",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"7,717","51,398","-553,231",-,"150,193","57,165","51,896","120,835","-24,053",313,"2,718","-8,089",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-14,726,676","-14,079,927","-14,469,468","-16,101,075","-13,070,806","-12,188,748","-13,791,135","-13,416,943","-12,844,330","-11,527,303","-12,792,843","-10,970,152","-8,534,073","-7,987,665","-6,229,651","-5,835,937","-4,399,079","-3,604,162","-3,200,720",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"129,310",-,"161,639","1,017,583","475,595",-,"186,964","171,382",-,-,"-103,531","-121,692",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-14,597,366","-14,079,927","-14,307,829","-15,083,492","-12,595,211","-12,188,748","-13,604,171","-13,245,561","-12,844,330","-11,527,303","-12,896,374","-11,091,844","-8,534,073","-7,987,665","-6,229,651","-5,835,937","-4,399,079","-3,604,162","-3,200,720",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,"-307,485",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-14,597,366","-14,079,927","-14,307,829","-15,083,492","-12,595,211","-12,188,748","-13,604,171","-13,245,561","-12,844,330","-11,527,303","-12,896,374","-10,784,359","-8,534,073","-7,987,665","-6,229,651","-5,835,937","-4,399,079","-3,604,162","-3,200,720",Financials in USD,Fiscal year is January - December
Net Income to Common,"-14,597,366","-14,079,927","-14,307,829","-15,083,492","-12,595,211","-12,188,748","-13,604,171","-13,245,561","-12,844,330","-11,527,303","-12,896,374","-10,784,359","-8,534,073","-7,987,665","-6,229,651","-5,835,937","-4,399,079","-3,604,162","-3,200,720",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"29,841,883","29,653,355","29,370,357","29,269,842","29,266,309","28,647,450","26,442,216","26,406,933","26,394,490","26,386,343","26,359,080","25,977,246","18,286,352","4,954,553","4,950,129","4,950,129","4,950,129","4,950,129","4,950,135",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"29,841,883","29,653,355","29,370,357","29,269,842","29,266,309","28,647,450","26,442,216","26,406,933","26,394,490","26,386,343","26,359,080","25,977,246","18,286,352","4,954,553","4,950,129","4,950,129","4,950,129","4,950,129","4,950,135",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.967%,3.511%,11.074%,10.842%,10.880%,8.569%,0.315%,1.654%,44.340%,432.568%,432.493%,424.779%,269.412%,0.089%,-0.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.489,-0.475,-0.487,-0.515,-0.430,-0.425,-0.514,-0.502,-0.487,-0.437,-0.489,-0.415,-0.467,-1.612,-1.258,-1.179,-0.889,-0.728,-0.647,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.489,-0.475,-0.487,-0.515,-0.430,-0.425,-0.514,-0.502,-0.487,-0.437,-0.489,-0.415,-0.467,-1.612,-1.258,-1.179,-0.889,-0.728,-0.647,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,477,292","-11,558,693","-15,528,592","-11,946,119","-12,084,081","-10,835,169","-14,446,011","-11,817,916","-11,015,473","-9,614,270","-12,396,089","-9,252,042","-9,045,975","-6,457,247","-6,156,404","-5,491,174","-3,491,631","-3,372,708","-2,318,727",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.452,-0.390,-0.529,-0.408,-0.413,-0.378,-0.546,-0.448,-0.417,-0.364,-0.470,-0.356,-0.495,-1.303,-1.244,-1.109,-0.705,-0.681,-0.468,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,100.000%,49.601%,49.234%,50.546%,-8.771%,54.558%,51.730%,45.314%,28.846%,53.851%,50.698%,47.205%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-3073627.912%,-34362.038%,-12334.434%,-7036.365%,-5863.018%,-1772.008%,-1210.673%,-833.468%,-877.557%,-644.656%,-750.076%,-670.575%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-2911112.308%,-33466.206%,-12208.669%,-7020.422%,-5688.223%,-1770.077%,-1210.179%,-832.618%,-877.479%,-644.488%,-749.563%,-662.606%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-2597344.176%,-28701.076%,-10182.559%,-6748.081%,-4880.001%,-1876.252%,-978.311%,-822.829%,-825.641%,-511.542%,-701.427%,-480.018%,Financials in USD,Fiscal year is January - December
EBITDA,"-15,177,482","-14,815,899","-15,228,224","-16,204,917","-13,840,727","-13,419,431","-14,595,730","-13,900,829","-13,112,759","-11,584,173","-12,869,855","-11,100,940","-8,531,406","-7,981,117","-6,227,139","-5,829,006","-4,394,573","-3,600,714","-3,233,907",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"96,266","97,849","97,526","97,071","85,611","85,557","83,844","84,178","75,391","61,876","55,807","14,815","11,978","9,807","8,867","7,449","5,656","5,916","5,307",Financials in USD,Fiscal year is January - December
EBIT,"-15,273,748","-14,913,748","-15,325,750","-16,301,988","-13,926,338","-13,504,988","-14,679,574","-13,985,007","-13,188,150","-11,646,049","-12,925,662","-11,115,755","-8,543,384","-7,990,924","-6,236,006","-5,836,455","-4,400,229","-3,606,630","-3,239,214",Financials in USD,Fiscal year is January - December
