Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+8 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+8 Quarters,,
Revenue,"560,000","563,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,000,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"227,000","268,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"333,000","295,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,000,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,660,000","13,278,000","17,435,000","9,927,000","8,133,000","10,204,000","7,241,000","6,563,000","6,044,000","6,749,000","7,664,000","7,135,000","5,931,000","5,804,000","5,832,000","5,357,000","5,599,000","5,316,000","4,670,000","3,914,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"19,173,000","20,914,000","19,854,000","15,272,000","19,081,000","15,601,000","22,063,000","19,014,000","14,110,000","13,821,000","14,113,000","12,162,000","13,188,000","13,193,000","12,104,000","12,298,000","11,381,000","9,342,000","8,911,000","7,065,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"34,833,000","34,192,000","37,289,000","25,199,000","27,214,000","25,805,000","29,304,000","25,577,000","20,154,000","20,570,000","21,777,000","19,297,000","19,119,000","18,997,000","17,936,000","17,655,000","16,980,000","14,658,000","13,581,000","10,979,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-34,500,000","-33,897,000","-37,289,000","-25,199,000","-27,214,000","-25,805,000","-29,304,000","-25,577,000","-20,154,000","-20,570,000","-21,777,000","-19,297,000","-19,119,000","-18,997,000","-17,936,000","-17,655,000","-16,980,000","-14,658,000","-10,581,000","-10,979,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,414,000","-2,176,000","-1,874,000","-1,886,000","-1,634,000","-1,148,000","-1,109,000","-1,144,000","-1,018,000","-918,000","-913,000","-925,000","-920,000","-905,000","-891,000","-720,000","-697,000","-687,000","-584,000","-548,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,871,000","1,565,000","1,066,000","1,445,000","1,388,000","914,000","835,000","198,000","14,000","4,000","3,000","3,000","2,000","3,000","2,000","1,000",-,"7,000","296,000","270,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"1,000",-,-,-,"-4,731,000",-,-,-,"-363,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,638,000","20,359,000","-13,650,000","6,542,000","25,181,000","-29,658,000","5,562,000","2,164,000","-441,000","276,000","236,000","136,000","-136,000","267,000","155,000","-26,000","228,000","194,000","41,000","316,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-36,681,000","-14,149,000","-51,747,000","-19,097,000","-2,279,000","-55,697,000","-24,016,000","-29,090,000","-21,599,000","-21,208,000","-22,451,000","-20,446,000","-20,173,000","-19,632,000","-18,670,000","-18,400,000","-17,449,000","-15,144,000","-10,828,000","-10,941,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,"-9,758,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"105,000,000",-,-,-,-,-,-,-,-,"509,000",-,-,-,-,-,-,-,-,"104,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-162,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-36,681,000","90,851,000","-51,747,000","-19,097,000","-2,279,000","-55,697,000","-24,016,000","-29,090,000","-21,599,000","-21,208,000","-21,942,000","-30,204,000","-20,173,000","-19,632,000","-18,670,000","-18,400,000","-17,449,000","-15,144,000","-10,990,000","-10,837,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"15,000","18,000","19,000","33,000","26,000","15,000","4,000","14,000","-13,000","4,000","23,000","3,000","2,000","6,000","6,000",-,-,-,"148,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-36,696,000","90,833,000","-51,766,000","-19,130,000","-2,305,000","-55,712,000","-24,020,000","-29,104,000","-21,586,000","-21,212,000","-21,965,000","-30,207,000","-20,175,000","-19,638,000","-18,676,000","-18,400,000","-17,449,000","-15,144,000","-11,138,000","-10,837,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,"287,000",-,"2,259,000","5,704,000",-,-,"8,239,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-36,696,000","90,833,000","-51,766,000","-19,130,000","-2,305,000","-55,712,000","-24,020,000","-29,104,000","-21,873,000","-21,212,000","-24,224,000","-35,911,000","-20,175,000","-19,638,000","-26,915,000","-18,400,000","-17,449,000","-15,144,000","-11,138,000","-10,837,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"200,865,276","200,440,473","199,991,597","198,766,000","196,987,827","168,737,764","145,967,476","100,766,000","83,211,000","35,437,000","33,737,000","29,011,000","26,609,000","26,527,000","20,751,000","20,174,000","20,085,000","20,032,000","20,014,000","16,466,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"200,865,276","200,801,311","199,991,597","198,766,000","196,987,827","168,737,764","145,967,476","100,766,000","83,211,000","35,437,000","33,737,000","29,011,000","26,609,000","26,527,000","20,751,000","20,174,000","20,085,000","20,032,000","20,014,000","16,466,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.968%,19.002%,37.011%,97.255%,136.733%,376.163%,332.663%,247.337%,212.718%,33.588%,62.580%,43.804%,32.482%,32.423%,3.682%,22.519%,37.927%,52.022%,1064.959%,3487.364%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.183,0.453,-0.259,-0.096,-0.012,-0.330,-0.165,-0.289,-0.263,-0.599,-0.718,-1.238,-0.758,-0.740,-1.297,-0.912,-0.869,-0.756,-0.557,-0.658,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.183,0.450,-0.259,-0.096,-0.012,-0.330,-0.165,-0.289,-0.263,-0.599,-0.718,-1.238,-0.758,-0.740,-1.297,-0.912,-0.869,-0.756,-0.557,-0.658,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-34,124,000","-30,411,000","-33,656,000","-27,782,000","-20,836,000","-21,433,000","-26,521,000","-19,127,000","-19,315,000","-18,512,000","-20,251,000","-19,066,000","-14,231,000","-19,283,000","-18,940,000","-17,806,000","-14,824,000","-11,468,000","-16,082,000","-9,324,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.170,-0.151,-0.168,-0.140,-0.106,-0.127,-0.182,-0.190,-0.232,-0.522,-0.600,-0.657,-0.535,-0.727,-0.913,-0.883,-0.738,-0.572,-0.804,-0.566,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,59.464%,52.398%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.000%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-6160.714%,-6020.782%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-352.700%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-6552.857%,16133.748%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-371.267%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-6093.571%,-5401.599%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-536.067%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-34,233,000","-33,703,000","-37,227,000","-25,137,000","-27,110,000","-25,679,000","-29,177,000","-25,453,000","-20,030,000","-20,438,000","-21,644,000","-19,165,000","-18,987,000","-18,868,000","-17,830,000","-17,552,000","-16,834,000","-14,592,000","-10,545,000","-10,947,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"267,000","194,000","62,000","62,000","104,000","126,000","127,000","124,000","124,000","132,000","133,000","132,000","132,000","129,000","106,000","103,000","146,000","66,000","36,000","32,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-34,500,000","-33,897,000","-37,289,000","-25,199,000","-27,214,000","-25,805,000","-29,304,000","-25,577,000","-20,154,000","-20,570,000","-21,777,000","-19,297,000","-19,119,000","-18,997,000","-17,936,000","-17,655,000","-16,980,000","-14,658,000","-10,581,000","-10,979,000",Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,0.020%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
