Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+12 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+12 Quarters,,
Revenue,"1,625","22,625","4,993","2,589","1,198",-,-,-,-,-,-,"10,000,000",-,"2,000,000","2,000,000","2,000,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),35.643%,-,-,-,-,-,-,-,-,-,-,400.000%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"132,522","3,354,961","2,004,993","2,589","13,416",-,-,-,-,-,-,-,-,"800,000","800,000","800,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-130,897","-3,332,336","-2,000,000",-,"-12,218",-,-,-,-,-,-,"10,000,000",-,"1,200,000","1,200,000","1,200,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,935,049","4,036,969","4,048,811","4,015,736","3,262,969","3,417,761","3,163,933","3,443,080","3,565,936","3,829,316","3,705,153","3,936,571","2,670,783","2,622,281","2,511,940","1,972,875","1,744,348","2,119,657","1,836,782","2,012,631",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,265,981","4,319,039","4,218,013","3,450,818","3,244,999","2,543,109","2,294,903","1,929,202","3,664,292","3,292,140","3,482,396","3,010,111","3,254,284","3,359,858","4,054,698","3,433,743","3,347,777","2,899,756","3,634,287","3,276,191",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"7,201,030","8,356,008","8,266,824","7,466,554","6,507,968","5,960,870","5,458,836","5,372,282","7,230,228","7,121,456","7,187,549","6,946,682","5,925,067","5,982,139","6,566,638","5,406,618","5,092,125","5,019,413","5,471,069","5,288,822",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,331,927","-11,688,344","-10,266,824","-7,466,554","-6,520,186","-5,960,870","-5,458,836","-5,372,282","-7,230,228","-7,121,456","-7,187,549","3,053,318","-5,925,067","-4,782,139","-5,366,638","-4,206,618","-5,092,125","-5,019,413","-5,471,069","-5,288,822",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-602,109","-674,001","-678,658","-680,623","-679,222","-558,003","-454,003","-904,247","-177,138","-153,436","-145,237","-185,349","-119,212","-78,047","-5,148","-2,065","-4,945","-6,351","-3,681",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"44,999","64,866","120,939","198,668","208,901","183,563","102,480","52,623","28,093","2,416",194,162,600,220,"1,534","1,821",540,199,"23,840","47,338",Upgrade,Financials in USD,Fiscal year is January - December
