Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"13,883,000","14,750,000","12,063,000","10,698,000","12,370,000","13,207,000","12,529,000","14,461,000","14,170,000","12,703,000","13,001,000","9,912,000","8,040,000",-,"8,767,000","4,900,000","5,893,000","3,757,000","1,340,000","2,479,000",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),12.231%,11.683%,-3.719%,-26.022%,-12.703%,3.968%,-3.630%,45.894%,76.244%,-,48.295%,102.286%,36.433%,-,554.254%,97.660%,153.353%,62.360%,-31.458%,72.272%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"10,735,000","13,906,000","10,284,000","9,857,000","9,725,000","9,751,000","9,625,000","11,858,000","12,217,000","10,502,000","10,596,000","8,933,000","8,115,000",-,"3,739,000","4,393,000","2,512,000","1,769,000","-3,252,000","2,753,000",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"3,148,000","844,000","1,779,000","841,000","2,645,000","3,456,000","2,904,000","2,603,000","1,953,000","2,201,000","2,405,000","979,000","-75,000",-,"5,028,000","507,000","3,381,000","1,988,000","4,592,000","-274,000",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","3,857,000","3,644,000","4,624,000","6,097,000","4,709,000","5,011,000","5,980,000","1,643,000","7,112,000","6,457,000","6,408,000","8,253,000","5,362,000",-,"6,103,000","5,774,000","3,347,000","3,803,000","2,407,000","1,573,000",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-135,000","1,000","107,000","27,000","32,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"4,101,000","3,732,000","4,656,000","6,006,000","4,904,000","4,874,000","6,238,000","2,071,000","7,479,000","7,189,000","7,518,000","9,720,000","8,049,000",-,"6,733,000","6,890,000","4,052,000","4,843,000","2,928,000","2,317,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-953,000","-2,888,000","-2,877,000","-5,165,000","-2,259,000","-1,418,000","-3,334,000","532,000","-5,526,000","-4,988,000","-5,113,000","-8,741,000","-8,124,000",-,"-1,705,000","-6,383,000","-671,000","-2,855,000","1,664,000","-2,591,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,-,"-1,426,000","-487,000",-,-,"-2,114,000","-795,000",-,-,"-2,197,000","-1,333,000","-673,000",-,-,"-303,000","-4,017,000",-,-,"-507,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
