Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"57,000","57,000","56,000","56,000","57,000","57,000","56,000","56,000","57,000","57,000","56,000","56,000","57,000","57,000","56,000","57,000","66,000","56,000","52,000","30,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-1.754%,-13.636%,1.786%,7.692%,90.000%,4.762%,-97.230%,-23.529%,-49.153%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"57,000","57,000","56,000","56,000","57,000","57,000","56,000","56,000","57,000","57,000","56,000","56,000","57,000","57,000","56,000","57,000","66,000","56,000","52,000","30,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,480,000","1,977,000","3,356,000","2,084,000","2,686,000","2,211,000","2,113,000","2,017,000","2,105,000","2,139,000","2,186,000","2,074,000","2,284,000","2,850,000","2,217,000","1,778,000","2,147,000","2,594,000","1,807,000","1,849,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"5,113,000","3,964,000","1,912,000","2,434,000","2,460,000","2,456,000","4,080,000","3,773,000","3,593,000","2,038,000","2,002,000","1,745,000","1,763,000","1,852,000","1,937,000","4,534,000","4,193,000","4,801,000","3,370,000","3,766,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,593,000","5,941,000","5,268,000","4,518,000","5,146,000","4,667,000","6,193,000","5,790,000","5,698,000","4,177,000","4,188,000","3,819,000","4,047,000","4,702,000","4,154,000","6,312,000","6,340,000","7,395,000","5,177,000","5,615,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,536,000","-5,884,000","-5,212,000","-4,462,000","-5,089,000","-4,610,000","-6,137,000","-5,734,000","-5,641,000","-4,120,000","-4,132,000","-3,763,000","-3,990,000","-4,645,000","-4,098,000","-6,255,000","-6,274,000","-7,339,000","-5,125,000","-5,585,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"1,391,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-41,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
