Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
Revenue,"29,111,000","2,279,000","1,401,000","1,760,375","2,941,000","1,717,000","8,629,000","1,384,405","5,504,678","46,750,000","46,750,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),889.833%,32.732%,-83.764%,27.158%,-46.573%,-96.327%,-81.542%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"29,111,000","2,279,000","1,401,000","1,760,375","2,941,000","1,717,000","8,629,000","1,384,405","5,504,678","46,750,000","46,750,000",-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","18,412,000","16,475,000","14,453,000",-,"9,128,000","9,858,000","8,062,000","4,787,165","5,196,724","4,647,000","4,647,000","2,475,195","1,701,000","700,500","700,500",Financials in USD,Fiscal year is January - December
Research & Development,"35,702,000","38,379,000","42,430,000",-,"43,371,000","34,341,000","40,420,000","27,027,018","28,374,942","15,294,000","15,294,000","9,876,427","8,239,500","4,276,500","4,276,500",Financials in USD,Fiscal year is January - December
Operating Expenses,"54,114,000","54,854,000","56,883,000",-,"52,499,000","44,199,000","48,482,000","31,814,182","33,571,666","19,941,000","19,941,000","12,351,622","9,940,500","4,977,000","4,977,000",Financials in USD,Fiscal year is January - December
Operating Income,"-25,003,000","-52,575,000","-55,482,000",-,"-49,558,000","-42,482,000","-39,853,000","-30,429,777","-28,066,988","26,809,000","26,809,000","-12,351,622","-9,940,500","-4,977,000","-4,977,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,"-49,988","-57,699","-92,500","-92,500","-215,390","-39,500","-68,500","-68,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,443,000","4,870,000","3,083,000",-,"3,059,000","4,613,000","943,000",-,-,"5,000","5,000",-,"4,500",-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"4,682,000","-994,000","-2,418,000",-,"-3,155,000","-72,000","3,067,000","-5,445,264","-5,398,113","535,000","535,000","539,163","417,000","304,500","304,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,"-4,001,000","-4,001,000",-,-,"-7,220,000",-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,878,000","-48,699,000","-54,817,000","-45,121,334","-49,654,000","-37,941,000","-35,843,000","-39,926,029","-37,523,799","27,256,500","27,256,500","-19,247,849","-9,558,500","-4,741,000","-4,741,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-770,000","9,692,000","-38,950,000",-,"2,521,000","-350,000","-6,175,000","-520,500","-520,500",-,-,"-883,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-16,648,000","-39,007,000","-93,767,000",-,"-47,133,000","-38,291,000","-42,018,000","-40,446,529","-38,044,299","27,256,500","27,256,500","-20,130,849","-9,558,500","-4,741,000","-4,741,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-1,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Company,"-16,647,000","-39,007,000","-93,767,000",-,"-47,133,000","-38,291,000","-42,018,000","-40,446,529","-38,044,299","27,256,500","27,256,500","-20,130,849","-9,558,500","-4,741,000","-4,741,000",Financials in USD,Fiscal year is January - December
Net Income,"-16,647,000","-39,007,000","-93,767,000","-46,961,923","-47,133,000","-38,291,000","-42,018,000","-40,446,529","-38,044,299","27,256,500","27,256,500","-20,130,849","-9,558,500","-4,741,000","-4,741,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-16,647,000","-39,007,000","-93,767,000",-,"-47,133,000","-38,291,000","-42,018,000","-40,446,529","-38,044,299","27,256,500","27,256,500","-20,130,849","-9,558,500","-4,741,000","-4,741,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"94,754,140","94,711,604","88,380,230","82,469,768","82,466,584","82,064,519","81,634,428","1,674,158","1,674,158","36,258,312","36,258,312","10,224,917","11,611,156","11,039,728","11,039,728",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"94,754,140","94,711,604","88,380,230","82,469,768","82,466,584","82,064,519","81,634,428","1,674,158","1,674,158","40,443,670","40,443,670","10,224,917","11,611,156","11,039,728","11,039,728",Financials in USD,Fiscal year is January - December
Shares Change (YoY),14.900%,15.411%,8.263%,4826.044%,4825.854%,102.911%,101.847%,-83.627%,-85.581%,266.347%,266.347%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.176,-0.412,-1.061,-,-0.572,-0.467,-0.515,-24.159,-22.724,0.752,0.752,-1.969,-0.823,-0.429,-0.429,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.176,-0.412,-1.061,-0.569,-0.572,-0.467,-0.515,-24.187,-22.750,0.675,0.675,-1.969,-0.823,-0.430,-0.430,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,577,000","-54,188,000","-54,987,000","-35,877,438","-46,985,000","-29,310,000","-31,870,000","29,077,937","27,110,606","-22,322,000","-22,322,000","-10,224,052","-8,203,000","-4,389,000","-4,389,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.133,-0.572,-0.622,-0.435,-0.570,-0.357,-0.390,17.369,16.194,-0.552,-0.552,-1.000,-0.706,-0.398,-0.398,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-85.888%,-2306.933%,-3960.171%,-,-1685.073%,-2474.199%,-461.850%,-2198.040%,-509.875%,57.345%,57.345%,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-57.185%,-1711.584%,-6692.862%,-,-1602.618%,-2230.111%,-486.939%,-2921.582%,-691.127%,58.303%,58.303%,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-43.204%,-2377.710%,-3924.839%,-2038.057%,-1597.586%,-1707.047%,-369.336%,2100.392%,492.501%,-47.748%,-47.748%,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-24,975,000","-52,556,000","-55,467,000","-48,889,731","-49,544,000","-42,469,000","-39,844,000","-30,427,527","-28,059,605","26,827,000","26,827,000","-12,350,034","-9,939,500","-4,976,000","-4,976,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-85.792%,-,-,-,-,-,-,-,-,57.384%,57.384%,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"28,000","19,000","15,000","12,250","14,000","13,000","9,000","2,250","7,383","18,000","18,000","1,588","1,000","1,000","1,000",Financials in USD,Fiscal year is January - December
EBIT,"-25,003,000","-52,575,000","-55,482,000","-48,901,981","-49,558,000","-42,482,000","-39,853,000","-30,429,777","-28,066,988","26,809,000","26,809,000","-12,351,622","-9,940,500","-4,977,000","-4,977,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-85.888%,-,-,-,-,-,-,-,-,57.345%,57.345%,-,-,-,-,Financials in USD,Fiscal year is January - December
