Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"10,117,000","9,560,000","9,224,000","9,326,000","6,787,000","2,319,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-0.187%,3.643%,-1.094%,37.410%,192.669%,511.873%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"260,785,000","190,968,000","150,404,000","101,182,000","37,602,000","14,539,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-250,668,000","-181,408,000","-141,180,000","-91,856,000","-30,815,000","-12,220,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","74,021,000","54,190,000","37,733,000","26,195,000","13,462,000","5,112,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"74,021,000","54,190,000","37,733,000","26,195,000","13,462,000","5,112,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-324,689,000","-235,598,000","-178,913,000","-118,051,000","-44,277,000","-17,332,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-209,000","-7,387,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"44,755,000","23,972,000","4,975,000","104,000","206,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-554,000","-594,000","-57,000","-62,000","-75,000","-15,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-280,488,000","-212,220,000","-173,995,000","-118,009,000","-44,355,000","-24,734,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-280,488,000","-212,220,000","-173,995,000","-118,009,000","-44,355,000","-24,734,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-280,488,000","-212,220,000","-173,995,000","-118,009,000","-44,355,000","-24,734,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"98,448,250","73,012,000","52,162,000","41,428,000","21,663,000","2,713,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"98,448,250","73,012,000","52,162,000","41,428,000","21,663,000","2,713,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),44.081%,39.972%,25.910%,91.239%,698.489%,9.528%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.849,-2.907,-3.336,-2.849,-2.047,-9.117,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.852,-2.910,-3.340,-2.850,-2.047,-9.117,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-188,511,000","-123,292,000","-139,091,000","-98,553,000","-38,209,000","2,255,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.915,-1.689,-2.667,-2.379,-1.764,0.831,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-3209.341%,-2464.414%,-1939.647%,-1265.827%,-652.380%,-747.391%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-2772.442%,-2219.874%,-1886.329%,-1265.376%,-653.529%,-1066.580%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1863.309%,-1289.665%,-1507.925%,-1056.755%,-562.973%,97.240%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-322,036,000","-233,497,000","-177,526,000","-117,412,000","-43,904,000","-16,984,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,653,000","2,101,000","1,387,000","639,000","373,000","348,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-324,689,000","-235,598,000","-178,913,000","-118,051,000","-44,277,000","-17,332,000",Upgrade,Financials in USD,Fiscal year is January - December
