Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",,
"Selling, General & Admin","4,583,625","4,759,818","6,183,402","3,869,636","1,343,755","140,106",Financials in USD,Fiscal year is July - June
Research & Development,"3,593,576","3,548,937","5,600,197","2,961,538","2,269,998","900,000",Financials in USD,Fiscal year is July - June
Operating Expenses,"8,177,201","8,308,755","11,783,599","6,831,174","3,613,753","1,040,106",Financials in USD,Fiscal year is July - June
Operating Income,"-8,177,201","-8,308,755","-11,783,599","-6,831,174","-3,613,753","-1,040,106",Financials in USD,Fiscal year is July - June
Interest Expense,"-210,927","-151,230",-,-,"-11,767","-7,716",Financials in USD,Fiscal year is July - June
Interest & Investment Income,"219,830","249,022","92,407","7,332","1,020",-,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"246,682","9,260","-41,146","-1,777","-26,628,054",-,Financials in USD,Fiscal year is July - June
Pretax Income,"-7,921,616","-8,201,703","-11,732,338","-6,825,619","-30,252,554","-1,047,822",Financials in USD,Fiscal year is July - June
Net Income,"-7,921,616","-8,201,703","-11,732,338","-6,825,619","-30,252,554","-1,047,822",Financials in USD,Fiscal year is July - June
Preferred Dividends & Other Adjustments,-,-,-,-,"8,208,393",-,Financials in USD,Fiscal year is July - June
Net Income to Common,"-7,921,616","-8,201,703","-11,732,338","-6,825,619","-38,460,947","-1,047,822",Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"25,897,258","25,822,258","25,074,481","23,344,567","13,612,701","12,000,000",Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"25,897,258","25,822,258","25,074,481","23,344,567","13,612,701","12,000,000",Financials in USD,Fiscal year is July - June
Shares Change (YoY),1.048%,2.982%,7.410%,71.491%,13.439%,-,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.306,-0.318,-0.468,-0.292,-2.825,-0.087,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.306,-0.318,-0.468,-0.292,-2.825,-0.087,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-7,054,013","-8,090,849","-9,683,133","-5,437,174","-4,871,189","-904,632",Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.272,-0.313,-0.386,-0.233,-0.358,-0.075,Financials in USD,Fiscal year is July - June
EBIT,"-8,177,201","-8,308,755","-11,783,599","-6,831,174","-3,613,753","-1,040,106",Financials in USD,Fiscal year is July - June
