Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"148,332,000","138,040,000","137,430,000","131,654,000","131,829,000","116,547,000","106,786,000","94,232,000","83,821,000","73,855,000","64,477,000","60,929,000","52,061,000","48,625,000","54,521,000","57,252,000","52,979,000","48,470,000","49,774,000","47,966,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),12.518%,18.441%,28.697%,39.713%,57.274%,57.805%,65.619%,54.659%,61.005%,51.887%,18.261%,6.422%,-1.733%,0.320%,9.537%,19.360%,3.198%,-10.830%,-5.886%,-16.029%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"63,075,000","57,698,000","49,157,000","53,420,000","48,101,000","42,284,000","37,708,000","36,326,000","32,894,000","34,294,000","34,271,000","33,898,000","24,413,000","22,314,000","19,985,000","24,540,000","20,118,000","19,295,000","19,104,000","17,795,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"85,257,000","80,342,000","88,273,000","78,234,000","83,728,000","74,263,000","69,078,000","57,906,000","50,927,000","39,561,000","30,206,000","27,031,000","27,648,000","26,311,000","34,536,000","32,712,000","32,861,000","29,175,000","30,670,000","30,171,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","70,275,000","49,421,000","48,021,000","44,462,000","42,007,000","38,760,000","36,468,000","23,788,000","30,081,000","31,958,000","28,817,000","21,306,000","17,181,000","18,820,000","17,587,000","7,865,000","15,725,000","14,713,000","13,683,000","14,014,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"10,128,000","7,296,000","10,511,000","9,867,000","11,121,000","7,374,000","5,924,000","5,222,000","7,657,000","4,165,000","5,274,000","3,140,000","2,456,000","2,805,000","2,968,000","3,683,000","2,939,000","2,635,000","6,344,000","4,678,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,"227,000","515,000","38,000","2,988,000","37,000","3,636,000","4,602,000","6,511,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"96,151,000","71,414,000","73,218,000","69,523,000","68,335,000","60,824,000","57,092,000","43,494,000","51,905,000","49,887,000","48,648,000","38,130,000","31,210,000","33,464,000","31,491,000","25,435,000","30,059,000","32,182,000","35,812,000","34,767,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-10,894,000","8,928,000","15,055,000","8,711,000","15,393,000","13,439,000","11,986,000","14,412,000","-978,000","-10,326,000","-18,442,000","-11,099,000","-3,562,000","-7,153,000","3,045,000","7,277,000","2,802,000","-3,007,000","-5,142,000","-4,596,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,040,000","-7,288,000","-7,392,000","-10,902,000","-8,313,000","-7,934,000","-7,920,000","-10,011,000","-7,395,000","-6,693,000","-6,619,000","-9,260,000","-2,500,000","-2,531,000","-2,455,000","-6,454,000","-2,513,000","-2,362,000","-2,050,000","-3,039,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"709,000","2,632,000","2,792,000","5,156,000","1,915,000","834,000","224,000","2,505,000","131,000","24,000","6,000","4,820,000","3,000",-,"1,000","3,900,000","3,000","6,000","18,000","169,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,535,000","-88,000","-32,000","2,967,000","-39,000","-53,000","-34,000","2,208,000","37,000","764,000","-89,000","-54,000","-1,071,000","-67,000","-515,000","-159,000","-229,000","-116,000","10,000","-111,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,760,000","4,184,000","10,423,000","5,932,000","8,956,000","6,286,000","4,256,000","9,114,000","-8,205,000","-16,231,000","-25,144,000","-15,593,000","-7,130,000","-9,751,000","76,000","4,564,000","63,000","-5,479,000","-7,164,000","-7,577,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-8,800,000","-3,400,000",-,-,-,"-2,000","-1,130,000","-10,968,000","-1,541,000","-2,570,000",-,"-9,400,000",-,-,-,-,-,"-1,800,000","-2,700,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"1,355,000","-2,712,000","9,655,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"5,347,000","-3,000,000",-,-,-,"-2,250,000",-,-,-,"622,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,"-112,000",-,"-2,374,000",-,-,-,"-446,000",-,-,-,"-75,000",Upgrade,Financials in USD,Fiscal year is January - December
