Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"10,006,000","25,546,000","1,381,000","3,029,000","82,654,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-61.217%,1749.819%,-54.407%,-96.335%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"324,879,000","326,387,000","243,005,000","169,388,000","96,589,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-314,873,000","-300,841,000","-241,624,000","-166,359,000","-13,935,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","80,085,000","78,581,000","69,328,000","59,748,000","41,861,000","16,958,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"67,090,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"80,085,000","78,581,000","69,328,000","59,748,000","41,861,000","84,048,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-394,958,000","-379,422,000","-310,952,000","-226,107,000","-55,796,000","-84,048,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"34,472,000","31,045,000","8,786,000","830,000","3,400,000","8,801,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"14,000","-18,000","-20,000","-4,000","-16,000","-58,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-360,472,000","-348,395,000","-302,186,000","-225,281,000","-52,412,000","-75,305,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-900,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-11,855,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"15,273,000","6,422,000","11,677,000","-2,836,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-345,199,000","-341,973,000","-290,509,000","-363,872,000","-52,412,000","-75,305,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-345,199,000","-341,973,000","-290,509,000","-363,872,000","-52,412,000","-75,305,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"177,789,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-345,199,000","-341,973,000","-290,509,000","-363,872,000","-230,201,000","-75,305,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"132,182,986","122,576,527","112,233,649","95,136,719","42,619,582","3,450,500",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"132,182,986","122,576,527","112,233,649","95,136,719","42,619,582","3,450,500",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.660%,9.215%,17.971%,123.223%,1135.171%,38.844%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.612,-2.790,-2.588,-3.825,-5.401,-21.824,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.612,-2.790,-2.588,-3.825,-5.401,-21.824,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-282,563,000","-304,442,000","-238,552,000","-77,877,000","-104,420,000","-74,135,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.138,-2.484,-2.125,-0.819,-2.450,-21.485,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-16.859%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-3947.212%,-1485.250%,-22516.437%,-7464.741%,-67.506%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-3449.920%,-1338.656%,-21036.133%,-12012.942%,-278.512%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2823.936%,-1191.740%,-17273.860%,-2571.047%,-126.334%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-389,453,000","-374,153,000","-306,822,000","-222,182,000","-52,247,000","-81,203,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-63.212%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,505,000","5,269,000","4,130,000","3,925,000","3,549,000","2,845,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-394,958,000","-379,422,000","-310,952,000","-226,107,000","-55,796,000","-84,048,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-67.505%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"10,006,000","25,546,000","1,381,000","3,029,000","82,654,000",-,Upgrade,Financials in USD,Fiscal year is January - December
