Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+8 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+8 Quarters,,
Operating Revenue,"4,556,366","5,173,878","4,376,518","5,375,405","5,710,745","6,119,380","6,240,020","6,085,218","7,859,623","8,592,893","9,628,886","9,321,822","9,793,327","10,560,523","11,798,611","12,328,303","11,699,917","10,636,545","9,399,036","10,148,236",Upgrade,Financials in USD,Fiscal year is October - September
Revenue,"4,556,366","5,173,878","4,376,518","5,375,405","5,710,745","6,119,380","6,240,020","6,085,218","7,859,623","8,592,893","9,628,886","9,321,822","9,793,327","10,560,523","11,798,611","12,328,303","11,699,917","10,636,545","9,399,036","10,148,236",Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),-20.214%,-15.451%,-29.864%,-11.665%,-27.341%,-28.786%,-35.195%,-34.721%,-19.745%,-18.632%,-18.390%,-24.387%,-16.296%,-0.715%,25.530%,21.482%,22.587%,32.871%,66.751%,2079.197%,Upgrade,Financials in USD,Fiscal year is October - September
Cost of Revenue,"2,102,565","1,770,364","1,795,790","1,817,907","2,161,900","2,273,839","2,224,512","2,517,452","2,890,554","2,660,185","3,186,564","4,328,310","4,050,710","3,370,952","3,643,127","3,430,274","5,334,090","3,748,024","2,732,076","3,700,537",Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,"2,453,801","3,403,514","2,580,728","3,557,498","3,548,845","3,845,541","4,015,508","3,567,766","4,969,069","5,932,708","6,442,322","4,993,512","5,742,617","7,189,571","8,155,484","8,898,029","6,365,827","6,888,521","6,666,960","6,447,699",Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","2,889,653","3,197,049","3,378,880","3,425,502","4,203,939","4,708,289","4,510,930","5,088,481","6,383,923","6,622,478","9,720,152","10,562,017","11,116,597","12,253,012","10,910,487","9,092,037","9,221,828","7,270,001","11,230,599","11,295,899",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"22,186","10,108","2,097","4,629","16,039","24,566","56,161","76,272","83,124","113,751","151,095","285,423","362,186","674,874","82,025","303,706","392,356","21,632",-,"7,729",Upgrade,Financials in USD,Fiscal year is October - September
Other Operating Expenses,"-429,266","290,631","460,150","909,496","1,543,879","560,760","469,316","1,186,728","1,033,203","1,110,792","795,800","666,344","978,983","690,772","1,090,178","1,029,424","1,061,356","722,459","862,832","1,256,669",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"2,770,356","3,785,542","4,131,719","4,623,333","6,431,807","5,669,194","5,416,151","6,728,947","7,956,215","8,282,931","11,452,700","11,955,284","12,755,319","13,865,191","12,323,207","10,657,973","10,896,900","8,226,029","12,267,637","12,560,297",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-316,555","-382,028","-1,550,991","-1,065,835","-2,882,962","-1,823,653","-1,400,643","-3,161,181","-2,987,146","-2,350,223","-5,010,378","-6,961,772","-7,012,702","-6,675,620","-4,167,723","-1,759,944","-4,531,073","-1,337,508","-5,600,677","-6,112,598",Upgrade,Financials in USD,Fiscal year is October - September
