Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","1,623,413","2,296,244","2,822,878","3,171,947","1,765,996","1,708,854","1,887,374","1,827,863","1,950,551","1,708,841","1,851,250","1,910,863","3,515,250","3,975,488","1,382,421","635,498","654,569","512,622","594,370",Financials in USD,Fiscal year is January - December
Research & Development,"1,198,184","1,825,582","1,555,011","1,942,643","1,348,985","1,736,386","1,015,583","1,432,648","1,591,043","911,692","818,888","716,223","1,126,972","95,074","91,908","457,533","659,977","400,738","684,731",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,821,597","4,121,826","4,377,889","5,114,590","3,114,981","3,445,240","2,902,957","3,260,511","3,541,594","2,620,533","2,670,138","2,627,086","4,642,222","4,070,562","1,474,329","1,093,031","1,314,546","913,360","1,279,101",Financials in USD,Fiscal year is January - December
Operating Income,"-2,821,597","-4,121,826","-4,377,889","-5,114,590","-3,114,981","-3,445,240","-2,902,957","-3,260,511","-3,541,594","-2,620,533","-2,670,138","-2,627,086","-4,642,222","-4,070,562","-1,474,329","-1,093,031","-1,314,546","-913,360","-1,279,101",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,821,597","-4,121,826","-4,377,889","-5,114,590","-3,114,981","-3,445,240","-2,902,957","-3,260,511","-3,541,594","-2,620,533","-2,670,138","-2,627,086","-4,642,222","-4,070,562","-1,474,329","-1,093,031","-1,314,546","-913,360","-1,279,101",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,"66,503",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,821,597","-4,121,826","-4,377,889","-5,114,590","-3,114,981","-3,445,240","-2,902,957","-3,260,511","-3,541,594","-2,620,533","-2,670,138","-2,627,086","-4,642,222","-4,004,059","-1,474,329","-1,093,031","-1,314,546","-913,360","-1,279,101",Financials in USD,Fiscal year is January - December
Net Income,"-2,821,597","-4,121,826","-4,377,889","-5,114,590","-3,114,981","-3,445,240","-2,902,957","-3,260,511","-3,541,594","-2,620,533","-2,670,138","-2,627,086","-4,642,222","-4,004,059","-1,474,329","-1,093,031","-1,314,546","-913,360","-1,279,101",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,821,597","-4,121,826","-4,377,889","-5,114,590","-3,114,981","-3,445,240","-2,902,957","-3,260,511","-3,541,594","-2,620,533","-2,670,138","-2,627,086","-4,642,222","-4,004,059","-1,474,329","-1,093,031","-1,314,546","-913,360","-1,279,101",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"16,363,473","15,824,654","15,472,507","13,840,276","13,005,128","12,186,481","11,639,395","11,611,139","11,148,402","10,263,202","10,232,843","10,177,803","10,116,403","6,968,341","6,867,289","6,651,738","6,266,584","5,975,971",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"16,363,473","15,824,654","15,472,507","13,840,276","13,005,128","12,186,481","11,639,395","11,611,139","11,148,402","10,263,202","10,232,843","10,177,803","10,116,403","6,968,341","6,867,289","6,651,738","6,266,584","5,975,971",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),25.823%,29.854%,32.932%,19.198%,16.655%,18.740%,13.745%,14.083%,10.201%,47.283%,49.008%,53.010%,61.434%,16.606%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.172,-0.260,-0.283,-0.370,-0.240,-0.283,-0.249,-0.281,-0.318,-0.255,-0.261,-0.258,-0.459,-0.575,-0.215,-0.164,-0.210,-0.153,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.172,-0.260,-0.283,-0.370,-0.240,-0.283,-0.249,-0.281,-0.318,-0.255,-0.261,-0.258,-0.459,-0.575,-0.215,-0.165,-0.210,-0.153,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,189,819","-2,880,279","-3,062,935","-4,197,778","-2,093,506","-1,576,670","-1,932,931","-1,495,589","-2,180,052","-1,990,649","-1,876,000","-1,500,200","-2,636,550","-329,809","-547,138","-959,754","-758,758","-733,751","-899,295",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.134,-0.182,-0.198,-0.303,-0.161,-0.129,-0.166,-0.129,-0.196,-0.194,-0.183,-0.147,-0.261,-0.047,-0.080,-0.144,-0.121,-0.123,-,Financials in USD,Fiscal year is January - December
EBIT,"-2,821,597","-4,121,826","-4,377,889","-5,114,590","-3,114,981","-3,445,240","-2,902,957","-3,260,511","-3,541,594","-2,620,533","-2,670,138","-2,627,086","-4,642,222","-4,070,562","-1,474,329","-1,093,031","-1,314,546","-913,360","-1,279,101",Financials in USD,Fiscal year is January - December
