Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"2,024,000","3,464,000","2,429,000","3,558,000","23,662,000","3,755,000","3,502,000","3,692,000","3,303,000","4,192,000","2,664,000","2,559,000","3,977,000","1,476,000","1,586,000","984,000","1,198,000","8,478,000","1,701,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-91.446%,-7.750%,-30.640%,-3.629%,616.379%,-10.425%,31.456%,44.275%,-16.947%,184.011%,67.970%,160.061%,231.970%,-82.590%,-6.761%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"29,821,000","35,480,000","33,788,000","31,279,000","28,584,000","26,503,000","25,709,000","25,736,000","19,991,000","22,579,000","13,924,000","15,111,000","15,833,000","12,327,000","10,165,000","12,024,000","6,180,000","7,580,000","8,641,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-27,797,000","-32,016,000","-31,359,000","-27,721,000","-4,922,000","-22,748,000","-22,207,000","-22,044,000","-16,688,000","-18,387,000","-11,260,000","-12,552,000","-11,856,000","-10,851,000","-8,579,000","-11,040,000","-4,982,000","898,000","-6,940,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,941,000","11,485,000","14,643,000","9,721,000","9,711,000","10,120,000","8,909,000","8,534,000","9,849,000","10,044,000","9,593,000","7,853,000","6,760,000","5,113,000","4,596,000","4,173,000","3,247,000","3,153,000","3,489,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"5,941,000","11,485,000","14,643,000","9,721,000","9,711,000","10,120,000","8,909,000","8,534,000","9,849,000","10,044,000","9,593,000","7,853,000","6,760,000","5,113,000","4,596,000","4,173,000","3,247,000","3,153,000","3,489,000",Financials in USD,Fiscal year is January - December
Operating Income,"-33,738,000","-43,501,000","-46,002,000","-37,442,000","-14,633,000","-32,868,000","-31,116,000","-30,578,000","-26,537,000","-28,431,000","-20,853,000","-20,405,000","-18,616,000","-15,964,000","-13,175,000","-15,213,000","-8,229,000","-2,255,000","-10,429,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-10,654,000",-,-,-,"-2,421,000",-,-,-,-,-,-,"-5,000","-6,000","-6,000","-5,000","-3,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,732,000","4,111,000","4,465,000",-,"4,774,000","3,048,000","2,832,000",-,"1,466,000","698,000","257,000",-,-,-,"4,000","79,000","4,000","11,000","142,000",Financials in USD,Fiscal year is January - December
