Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"426,423","618,854","1,126,712","1,324,002","853,102","622,807","41,883","1,341,520","1,809,025","454,000","3,117,545",-,-,-,-,"4,099,750",-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-50.015%,-0.635%,2590.142%,-1.306%,-52.842%,37.182%,-98.657%,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"341,138","438,443","511,965","6,321,357","678,325","502,402","29,350","1,073,216","1,447,220","287,200","1,328,076",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"85,285","180,411","614,747","-4,997,355","174,777","120,405","12,533","268,304","361,805","166,800","1,789,469",-,-,-,-,"4,099,750",-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,614,507","12,013,171","6,008,579","3,656,639","3,607,415","3,036,472","3,139,502","3,033,729","1,754,866","1,733,144","1,899,808","1,684,597","1,424,023","1,092,453","1,096,791","712,281","609,944","711,224","718,568",Financials in USD,Fiscal year is January - December
Research & Development,"1,161,013","2,003,250","2,099,831","2,114,197","1,645,242","1,594,454","2,233,601","2,901,812","2,626,594","1,944,733","1,770,471","1,427,907","2,668,141","1,658,540","2,315,381","1,326,361","2,098,688","2,068,783","1,678,424",Financials in USD,Fiscal year is January - December
Operating Expenses,"3,775,520","14,016,421","8,108,410","5,770,836","5,252,657","4,630,926","5,373,103","5,935,541","4,381,460","3,677,877","3,670,279","3,112,504","4,092,164","2,750,993","3,412,172","2,038,642","2,708,632","2,780,007","2,396,992",Financials in USD,Fiscal year is January - December
Operating Income,"-3,690,235","-13,836,010","-7,493,663","-10,768,191","-5,077,880","-4,510,521","-5,360,570","-5,667,237","-4,019,655","-3,511,077","-1,880,810","-3,112,504","-4,092,164","-2,750,993","-3,412,172","2,061,108","-2,708,632","-2,780,007","-2,396,992",Financials in USD,Fiscal year is January - December
Interest Expense,"-223,363","-159,666",-,-,"-95,514","-95,514","-93,438","-94,476","-32,184",-,-,"-566,268","-2,540",-,-,-303,-374,-,-,Financials in USD,Fiscal year is January - December
