Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020",,
Revenue,"4,953","79,919","76,500","2,801","5,760",-,-,"109,820","14,000",Financials in USD,Fiscal year is April - March
Revenue Growth (YoY),-93.525%,2753.231%,1228.125%,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Cost of Revenue,"11,427","39,847","65,982","4,284","5,642",-,-,"133,254",-,Financials in USD,Fiscal year is April - March
Gross Profit,"-6,474","40,072","10,518","-1,483",118,-,-,"-23,434","14,000",Financials in USD,Fiscal year is April - March
"Selling, General & Admin","2,146,005","2,287,297","2,109,397","2,207,983","1,344,072","841,293","458,643","187,924","326,959",Financials in USD,Fiscal year is April - March
Research & Development,"726,412","1,152,670","607,344","2,082,719","96,622","325,646","108,097","61,721","58,500",Financials in USD,Fiscal year is April - March
Operating Expenses,"2,872,417","3,439,967","2,716,741","4,290,702","1,440,694","1,166,939","566,740","249,645","385,459",Financials in USD,Fiscal year is April - March
Operating Income,"-2,878,891","-3,399,895","-2,706,223","-4,292,185","-1,440,576","-1,166,939","-566,740","-273,079","-371,459",Financials in USD,Fiscal year is April - March
Interest Expense,"-25,591","-16,764","-10,114","-5,860","-9,608","-1,294","-14,144","-10,514","-18,129",Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),"11,257","-17,902",168,-315,"-3,602","-6,597","5,844",259,7,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-2,893,225","-3,434,561","-2,716,169","-4,298,360","-1,453,786","-1,174,830","-575,040","-283,334","-389,581",Financials in USD,Fiscal year is April - March
Asset Writedown,-,"-390,355",-,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Legal Settlements,-,"-210,500",-,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Other Unusual Items,-,"210,500","-198,035","294,383",-,-,-,-,-,Financials in USD,Fiscal year is April - March
Pretax Income,"-2,893,225","-3,824,916","-2,914,204","-4,003,977","-1,453,786","-1,174,830","-575,040","-283,334","-389,581",Financials in USD,Fiscal year is April - March
Income Tax Expense,"-136,661",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Earnings From Continuing Operations,"-2,756,564","-3,824,916","-2,914,204","-4,003,977","-1,453,786","-1,174,830","-575,040","-283,334","-389,581",Financials in USD,Fiscal year is April - March
Minority Interest in Earnings,137,"1,031","4,552","-9,906","10,175","18,419","22,624","-24,193","46,124",Financials in USD,Fiscal year is April - March
Net Income,"-2,756,427","-3,823,885","-2,909,652","-4,013,883","-1,443,611","-1,156,411","-552,416","-307,527","-343,457",Financials in USD,Fiscal year is April - March
Net Income to Common,"-2,756,427","-3,823,885","-2,909,652","-4,013,883","-1,443,611","-1,156,411","-552,416","-307,527","-343,457",Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"3,103,552","2,237,544","1,775,284","959,689","1,166,279","979,874","932,778","296,561","184,407",Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"3,103,552","2,237,544","1,775,284","959,689","1,166,279","979,874","936,516","296,561","184,407",Financials in USD,Fiscal year is April - March
Shares Change (YoY),74.820%,133.153%,52.218%,-2.060%,24.534%,230.412%,407.853%,-,-,Financials in USD,Fiscal year is April - March
EPS (Basic),-0.888,-1.709,-1.639,-4.182,-1.238,-1.180,-0.592,-1.037,-1.862,Financials in USD,Fiscal year is April - March
EPS (Diluted),-0.890,-1.713,-1.640,-4.182,-1.238,-1.193,-0.592,-1.037,-1.862,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-2,166,619","-3,249,274","-4,086,537","-1,883,268","-2,296,499","-533,307","-278,684","-170,729","-419,457",Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-0.698,-1.452,-2.302,-1.962,-1.969,-0.544,-0.298,-0.576,-2.275,Financials in USD,Fiscal year is April - March
Operating Margin,-58124.187%,-4254.176%,-3537.546%,-153237.594%,-25010.000%,-,-,-248.661%,-2653.279%,Financials in USD,Fiscal year is April - March
Profit Margin,-55651.666%,-4784.701%,-3803.467%,-143301.785%,-25062.691%,-,-,-280.028%,-2453.264%,Financials in USD,Fiscal year is April - March
Free Cash Flow Margin,-43743.570%,-4065.709%,-5341.878%,-67235.559%,-39869.774%,-,-,-155.463%,-2996.121%,Financials in USD,Fiscal year is April - March
EBITDA,"-2,766,804","-3,349,775","-2,701,473",-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
D&A For EBITDA,"112,087","50,120","4,750",-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
EBIT,"-2,878,891","-3,399,895","-2,706,223","-4,292,185","-1,440,576","-1,166,939","-566,740","-273,079","-371,459",Financials in USD,Fiscal year is April - March
Revenue as Reported,-,-,-,-,-,-,-,"109,820","14,000",Financials in USD,Fiscal year is April - March
