Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Jan '22 Jan 1, 2022","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
"Selling, General & Admin","2,269,807","2,276,919","1,933,465","1,221,619","511,341","402,574",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"310,199","2,418,715","6,761,818","677,576","277,455","39,897",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,837,333","4,956,312","9,241,369","2,309,884","1,102,678","488,688",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,837,333","-4,956,312","-9,241,369","-2,309,884","-1,102,678","-488,688",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-4,451","-12,666","-35,576",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"146,392","253,543","103,589",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-23,993","-7,025","-1,546","-12,373","2,961","-26,397",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,978,277","2,551,729","1,420,444","747,434","-198,671","-78,915",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-736,657","-2,158,065","-7,718,882","-1,579,274","-1,311,054","-629,576",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,"-64,562",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"91,014",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-736,657","-2,158,065","-7,718,882","-1,579,274","-1,284,602","-629,576",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-736,657","-2,158,065","-7,718,882","-1,579,274","-1,284,602","-629,576",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-736,657","-2,158,065","-7,718,882","-1,579,274","-1,284,602","-629,576",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,559,287","1,981,734","1,479,914","1,094,182","740,447","595,494",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,559,287","1,981,734","1,479,914","1,094,182","740,447","595,494",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),36.174%,33.909%,35.253%,47.773%,24.342%,1.786%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.288,-1.089,-5.216,-1.443,-1.735,-1.057,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.288,-1.089,-5.216,-1.443,-1.735,-1.057,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,090,308","-6,587,476","-8,983,253","-4,801,045","-728,401","-249,580",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.598,-3.324,-6.070,-4.388,-0.984,-0.419,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-2,848,216","-4,882,098","-9,221,418","-2,295,618","-1,082,239","-468,788",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"-10,883","74,214","19,951","14,266","20,439","19,900",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-2,837,333","-4,956,312","-9,241,369","-2,309,884","-1,102,678","-488,688",Upgrade,Financials in USD,Fiscal year is January - December
