Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"48,200,000","22,771,000","17,975,000","21,335,000","14,278,000","21,147,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),225.940%,26.682%,-15.749%,49.426%,-32.482%,20.468%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"17,255,000","16,016,000","19,665,000","9,653,000","4,932,000","6,324,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"30,945,000","6,755,000","-1,690,000","11,682,000","9,346,000","14,823,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","55,653,000","50,576,000","66,021,000","62,210,000","31,336,000","41,791,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"13,286,000","30,465,000","78,363,000","84,965,000","52,707,000","46,051,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"70,869,000","83,234,000","146,577,000","149,367,000","87,437,000","91,985,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-39,924,000","-76,479,000","-148,267,000","-137,685,000","-78,091,000","-77,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,115,000","-3,015,000",-,"-3,171,000","-2,354,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"369,000","320,000","365,000","332,000","370,000","694,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"14,713,000","-126,000","41,962,000","11,800,000","-54,590,000","-4,559,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-29,957,000","-79,300,000","-105,940,000","-128,724,000","-134,665,000","-81,027,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-7,186,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,"-112,347,000","-3,610,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"-4,434,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,"-129,400,000","-118,100,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,"-5,333,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-5,085,000","103,162,000","123,755,000","41,145,000","55,566,000","-68,867,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-35,042,000","-196,285,000","14,205,000","-100,098,000","-212,933,000","-267,994,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"10,000","10,000","13,000","20,000","-4,700,000","-56,113,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-35,052,000","-196,295,000","14,192,000","-100,118,000","-208,233,000","-211,881,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-35,052,000","-196,295,000","14,192,000","-100,118,000","-208,233,000","-211,881,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"21,115,214","17,813,044","13,990,703","6,705,728","1,841,791","2,387,283",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"21,115,214","17,813,044","14,983,002","6,705,728","1,841,791","2,387,283",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),26.652%,18.888%,123.436%,264.087%,-22.850%,0.578%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.660,-11.020,1.014,-14.930,-113.060,-88.754,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.660,-11.020,0.950,-14.930,-113.060,-88.754,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,021,000","-39,733,000","-143,112,000","-116,299,000","-91,027,000","-98,368,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.617,-2.231,-9.552,-17.343,-49.423,-41.205,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,64.201%,29.665%,-9.402%,54.755%,65.457%,70.095%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-82.830%,-335.861%,-824.851%,-645.348%,-546.932%,-364.884%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-72.722%,-862.039%,78.954%,-469.266%,-1458.419%,-1001.944%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-27.015%,-174.489%,-796.172%,-545.109%,-637.533%,-465.163%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-31,582,000","-67,155,000","-138,831,000","-128,868,000","-69,917,000","-70,976,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-65.523%,-294.914%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"8,342,000","9,324,000","9,436,000","8,817,000","8,174,000","6,186,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-39,924,000","-76,479,000","-148,267,000","-137,685,000","-78,091,000","-77,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,0.091%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"48,200,000","22,771,000","17,975,000","21,335,000","14,278,000","21,147,000",Upgrade,Financials in USD,Fiscal year is January - December
