Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Operating Revenue,-,-,-,-,"2,518,000","3,342,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,-,-,"15,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,-,-,-,-,"2,518,000","3,357,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-24.993%,38.891%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,"1,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,"2,518,000","3,356,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,698,000","19,790,000","13,675,000","11,153,000","11,587,000","46,037,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"17,999,000","33,046,000","34,754,000","25,728,000","7,319,000","4,814,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"33,697,000","52,836,000","48,429,000","36,881,000","18,906,000","51,726,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-33,697,000","-52,836,000","-48,429,000","-36,881,000","-16,388,000","-48,370,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-15,000","-7,470,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,"720,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,"136,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-26,728,000","-17,187,000","289,000","-135,000","-117,000","7,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-60,425,000","-70,023,000","-48,140,000","-37,016,000","-16,520,000","-54,977,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,"346,000","-42,702,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,"254,106,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,"-28,966,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"74,105,000","33,391,000","-4,416,000","10,345,000","-16,739,000","-10,757,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"13,680,000","-384,632,000","-52,556,000","-55,637,000","-32,913,000","145,670,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"-14,645,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"13,680,000","-384,632,000","-52,556,000","-55,637,000","-32,913,000","160,315,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,"12,605,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"13,680,000","-384,632,000","-52,556,000","-55,637,000","-32,913,000","172,920,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"17,259,000","35,839,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"13,680,000","-384,632,000","-52,556,000","-55,637,000","-50,172,000","137,081,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"38,044,705","93,436,566","138,848,177","126,252,622","6,596,755","6,597,642",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"40,124,417","93,436,566","138,848,177","126,252,622","6,596,755","6,645,673",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-66.286%,-32.706%,9.976%,1813.859%,-0.736%,0.584%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.360,-4.117,-0.379,-0.441,-7.606,20.777,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.345,-4.117,-0.379,-0.441,-7.606,20.570,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-30,690,000","-47,825,000","-35,890,000","-28,603,000","-9,461,000","-44,725,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.765,-0.512,-0.258,-0.227,-1.434,-6.730,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,100.000%,99.970%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-650.834%,-1440.870%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-1992.534%,4083.438%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-375.735%,-1332.291%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-33,599,000","-52,737,000","-48,361,000","-36,878,000","-15,513,000","-47,495,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"98,000","99,000","68,000","3,000","875,000","875,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-33,697,000","-52,836,000","-48,429,000","-36,881,000","-16,388,000","-48,370,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,"3,357,000",Upgrade,Financials in USD,Fiscal year is January - December
