Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",2019 - 2017,,
"Selling, General & Admin","60,644,000","60,721,000","50,974,000","39,176,000","23,553,000","17,437,000",Upgrade,Financials in USD,Fiscal year is April - March
Research & Development,"169,003,000","172,132,000","123,192,000","75,968,000","53,595,000","35,677,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"229,647,000","232,853,000","174,166,000","115,144,000","77,148,000","53,114,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"-229,647,000","-232,853,000","-174,166,000","-115,144,000","-77,148,000","-53,114,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest Expense,"-7,433,000","-6,660,000","-4,160,000","-2,223,000","-3,060,000","-1,919,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest & Investment Income,"21,227,000","23,356,000","10,006,000","390,000","916,000","2,424,000",Upgrade,Financials in USD,Fiscal year is April - March
Currency Exchange Gain (Loss),"3,239,000","771,000","-5,676,000","-1,100,000","-700,000","-16,000",Upgrade,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),-,-,-,"41,000","35,000",-,Upgrade,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-212,614,000","-215,386,000","-173,996,000","-118,036,000","-79,957,000","-52,625,000",Upgrade,Financials in USD,Fiscal year is April - March
Other Unusual Items,-,-,-,-,"-913,000",-,Upgrade,Financials in USD,Fiscal year is April - March
Pretax Income,"-212,614,000","-215,386,000","-173,996,000","-118,036,000","-80,870,000","-52,625,000",Upgrade,Financials in USD,Fiscal year is April - March
Income Tax Expense,"408,000","408,000","288,000",-,-,-,Upgrade,Financials in USD,Fiscal year is April - March
Net Income,"-213,022,000","-215,794,000","-174,284,000","-118,036,000","-80,870,000","-52,625,000",Upgrade,Financials in USD,Fiscal year is April - March
Net Income to Common,"-213,022,000","-215,794,000","-174,284,000","-118,036,000","-80,870,000","-52,625,000",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"66,569,894","66,569,894","58,213,010","52,212,269","46,248,969","34,261,548",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"66,569,894","66,569,894","58,213,010","52,212,269","46,248,969","34,261,548",Upgrade,Financials in USD,Fiscal year is April - March
Shares Change (YoY),3.684%,14.356%,11.493%,12.894%,34.988%,47.689%,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Basic),-3.200,-3.242,-2.994,-2.261,-1.749,-1.536,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Diluted),-3.200,-3.242,-2.994,-2.261,-1.749,-1.536,Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-188,307,000","-191,129,000","-130,320,000","-84,516,000","-63,781,000","-67,092,000",Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-2.829,-2.871,-2.239,-1.619,-1.379,-1.958,Upgrade,Financials in USD,Fiscal year is April - March
EBITDA,"-226,706,000","-230,198,000","-171,719,000","-112,997,000","-75,437,000","-52,581,000",Upgrade,Financials in USD,Fiscal year is April - March
D&A For EBITDA,"2,941,000","2,655,000","2,447,000","2,147,000","1,711,000","533,000",Upgrade,Financials in USD,Fiscal year is April - March
EBIT,"-229,647,000","-232,853,000","-174,166,000","-115,144,000","-77,148,000","-53,114,000",Upgrade,Financials in USD,Fiscal year is April - March
