Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q1 2024,Q1 2023,Q4 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022",,
Revenue,"387,000","33,445,000","5,840,000","26,004,000","6,551,000","5,593,500","5,938,000","109,742,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-94.093%,497.926%,-1.650%,-76.304%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"11,400,000","12,661,000","9,538,000","58,674,000","13,002,000","18,203,000","18,624,000","67,104,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-11,013,000","20,784,000","-3,698,000","-32,670,000","-6,451,000","-12,609,500","-12,686,000","42,638,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,562,000","7,027,000","8,850,000","33,495,000","6,614,000","5,900,000","5,695,000","22,793,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"6,562,000","7,027,000","8,850,000","33,495,000","6,614,000","5,900,000","5,695,000","22,793,000",Financials in USD,Fiscal year is January - December
Operating Income,"-17,575,000","13,757,000","-12,548,000","-66,165,000","-13,065,000","-18,509,500","-18,381,000","19,845,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-2,833,000","-1,273,000","-780,000","-808,000","-3,031,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,573,000","1,195,000","1,164,000","4,653,000","1,299,000","1,362,500","1,331,000","2,053,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"38,000","-3,000","21,000","19,000","-22,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"5,919,000","-3,616,000","-5,340,000","-136,339,000","4,040,000","1,381,000","-3,824,000","21,111,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,083,000","11,336,000","-16,724,000","-200,646,000","-9,002,000","-16,525,000","-21,663,000","39,956,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-800,000","-11,300,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-700,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-15,100,000","2,500,000","-39,300,000","-18,300,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-24,183,000","13,836,000","-56,824,000","-230,946,000","-9,002,000","-16,525,000","-21,663,000","39,956,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-19,000,000",-,-,-,"-609,000",Financials in USD,Fiscal year is January - December
Net Income,"-24,183,000","13,836,000","-56,824,000","-211,946,000","-9,002,000","-16,525,000","-21,663,000","40,565,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,"4,208,000","-4,208,000","37,550,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-24,183,000","9,628,000","-52,616,000","-249,496,000","-9,002,000","-16,525,000","-21,663,000","40,565,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"21,471,408","16,723,479","5,414,019","5,397,589","5,160,150","5,113,213","5,111,518",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"21,471,408","17,791,143","5,414,019","5,397,589","5,160,150","5,113,213","5,111,518",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),316.100%,247.944%,5.918%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.126,0.576,-9.718,-46.224,-1.745,-3.232,-4.238,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.126,0.540,-9.718,-46.265,-1.745,-3.232,-4.238,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"7,492,000","-16,033,000","-16,519,000","-44,816,000","-9,215,000",-,"-8,895,000","-30,825,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.349,-0.901,-3.051,-8.303,-1.786,-,-1.740,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,62.144%,-63.322%,-125.635%,-98.474%,-225.431%,-213.641%,38.853%,Financials in USD,Fiscal year is January - December
Operating Margin,-4541.344%,41.133%,-214.863%,-254.442%,-199.435%,-330.911%,-309.549%,18.083%,Financials in USD,Fiscal year is January - December
Profit Margin,-6248.837%,28.788%,-900.959%,-959.452%,-137.414%,-295.432%,-364.820%,36.964%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,1935.917%,-47.938%,-282.860%,-172.343%,-140.666%,-,-149.798%,-28.089%,Financials in USD,Fiscal year is January - December
EBITDA,"-17,289,000","13,953,000","-12,365,000","-65,391,000","-12,876,000",-,"-18,175,000","21,044,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,41.719%,-211.729%,-251.465%,-196.550%,-,-,19.176%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"286,000","196,000","183,000","774,000","189,000",-,"206,000","1,199,000",Financials in USD,Fiscal year is January - December
EBIT,"-17,575,000","13,757,000","-12,548,000","-66,165,000","-13,065,000","-18,509,500","-18,381,000","19,845,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,41.133%,-214.863%,-254.442%,-199.435%,-,-,18.083%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"387,000","33,445,000","5,840,000",-,"6,551,000","5,593,500",-,-,Financials in USD,Fiscal year is January - December
