Fiscal Quarter,H1 2024,H1 2023,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",,
"Selling, General & Admin","210,000","153,000","325,000","397,000","61,000","24,000","10,000",Financials in USD,Fiscal year is January - December
Research & Development,"137,000","172,000","247,000","155,000","90,000","38,000",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"347,000","325,000","572,000","552,000","151,000","62,000","10,000",Financials in USD,Fiscal year is January - December
Operating Income,"-347,000","-325,000","-572,000","-552,000","-151,000","-62,000","-10,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,"-20,000","-4,000","-2,000","2,000","-3,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-241,000","134,000",-,"-2,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-588,000","-191,000","-592,000","-558,000","-153,000","-60,000","-13,000",Financials in USD,Fiscal year is January - December
Net Income,"-588,000","-191,000","-592,000","-558,000","-153,000","-60,000","-13,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"36,000","34,000","22,000","22,000","22,000","22,000","22,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-624,000","-225,000","-614,000","-580,000","-175,000","-82,000","-35,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,604,325","1,587,012","1,305,540","970,371","452,123","219,947","176,977",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,604,325","1,587,012","1,305,540","970,371","452,123","219,947","176,977",Financials in USD,Fiscal year is January - December
Shares Change (YoY),99.483%,63.547%,188.758%,341.184%,155.470%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.240,-0.142,-0.470,-0.598,-0.387,-0.373,-0.198,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.240,-0.142,-0.470,-0.598,-0.387,-0.373,-0.198,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-337,000","-335,000","-782,000","-392,000","-119,000","-79,000",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.129,-0.211,-0.599,-0.404,-0.263,-0.359,-,Financials in USD,Fiscal year is January - December
EBITDA,"-346,000","-323,000","-569,000","-549,000","-148,000","-71,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,000","2,000","3,000","3,000","3,000",-,-,Financials in USD,Fiscal year is January - December
EBIT,"-347,000","-325,000","-572,000","-552,000","-151,000","-62,000","-10,000",Financials in USD,Fiscal year is January - December
