Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"40,560,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"40,560,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","63,475,000","59,398,000","54,553,000","40,941,000","33,886,000","8,459,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"186,352,000","189,590,000","172,734,000","166,801,000","84,901,000","38,386,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"249,827,000","248,988,000","227,287,000","207,742,000","118,787,000","46,845,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-209,267,000","-248,988,000","-227,287,000","-207,742,000","-118,787,000","-46,845,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"11,100,000","9,460,000","2,262,000","1,309,000","1,239,000","482,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,"-16,014,000","-16,282,000","-1,831,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-198,167,000","-255,542,000","-241,307,000","-208,264,000","-117,548,000","-46,363,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"19,080,000","13,157,000","3,725,000","-908,000","-556,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"51,582,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-4,953,000",-,"-8,800,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-179,087,000","-292,906,000","-237,582,000","-166,390,000","-118,104,000","-46,363,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"247,000","-601,000","-469,000","-297,000","444,000","15,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-179,334,000","-292,305,000","-237,113,000","-166,093,000","-118,548,000","-46,378,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"50,000","114,000","307,000","7,368,000","707,000","715,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-179,284,000","-292,191,000","-236,806,000","-158,725,000","-117,841,000","-45,663,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-179,284,000","-292,191,000","-236,806,000","-158,725,000","-117,841,000","-45,663,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"70,971,000","65,409,000","52,857,000","42,688,000","28,113,000","5,597,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"70,971,000","65,409,000","52,857,000","42,688,000","28,113,000","5,597,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),14.038%,23.747%,23.822%,51.844%,402.287%,0.047%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.526,-4.467,-4.480,-3.718,-4.192,-8.158,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.526,-4.467,-4.480,-3.718,-4.192,-8.158,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-172,151,000","-208,405,000","-166,299,000","-160,200,000","-87,583,000","-39,495,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.426,-3.186,-3.146,-3.753,-3.115,-7.056,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-515.944%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-442.022%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-424.435%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-207,958,000","-247,599,000","-225,861,000","-207,198,000","-118,627,000","-46,734,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,309,000","1,389,000","1,426,000","544,000","160,000","111,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-209,267,000","-248,988,000","-227,287,000","-207,742,000","-118,787,000","-46,845,000",Upgrade,Financials in USD,Fiscal year is January - December
