Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,"2,000,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,"2,000,000",-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","15,841,000","12,963,000","6,136,000","4,379,000","3,218,000","5,861,000",Financials in USD,Fiscal year is January - December
Research & Development,"29,884,000","19,777,000","24,919,000","19,340,000","8,182,000","8,391,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"45,725,000","32,740,000","31,055,000","23,719,000","11,400,000","14,252,000",Financials in USD,Fiscal year is January - December
Operating Income,"-45,725,000","-30,740,000","-31,055,000","-23,719,000","-11,400,000","-14,252,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,"-64,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,207,000","2,860,000","553,000","26,000","30,000","28,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,000","4,000","3,000","-749,000",-,"-73,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-37,517,000","-27,876,000","-30,499,000","-24,442,000","-11,370,000","-14,361,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"100,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-37,517,000","-27,876,000","-30,499,000","-24,442,000","-11,370,000","-14,261,000",Financials in USD,Fiscal year is January - December
Net Income,"-37,517,000","-27,876,000","-30,499,000","-24,442,000","-11,370,000","-14,261,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-37,517,000","-27,876,000","-30,499,000","-24,442,000","-11,370,000","-14,261,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"29,138,883","10,460,335","184,619","122,579","96,558",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"29,138,883","10,460,335","184,619","122,579","96,558",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),527.357%,5565.904%,50.612%,26.949%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.288,-2.665,-165.200,-199.398,-117.753,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.288,-2.665,-165.200,-199.398,-117.753,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-38,494,000","-23,766,000","-24,490,000","-21,710,000","-10,416,000","-10,552,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.321,-2.272,-132.652,-177.110,-107.873,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-1537.000%,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-1393.800%,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-1188.300%,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,"-11,399,000","-14,251,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,"1,000","1,000",Financials in USD,Fiscal year is January - December
EBIT,"-45,725,000","-30,740,000","-31,055,000","-23,719,000","-11,400,000","-14,252,000",Financials in USD,Fiscal year is January - December
Revenue as Reported,"2,000,000","2,000,000",-,-,-,-,Financials in USD,Fiscal year is January - December
