Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"58,555,000","31,106,000","715,000","482,000","469,000","238,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),12385.075%,12969.748%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"39,823,000","31,368,000","7,261,000","4,365,000","4,340,000","2,050,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"18,732,000","-262,000","-6,546,000","-3,883,000","-3,871,000","-1,812,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","39,553,000","39,568,000","31,393,000","29,903,000","26,964,000","21,927,000","28,122,000","26,463,000","27,893,000","26,328,000","23,413,000","23,849,000","20,887,000","19,307,000","19,621,000","16,083,000","15,916,000","14,353,000","13,858,000","10,872,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"68,245,000","62,084,000","79,783,000","87,470,000","87,526,000","86,347,000","82,734,000","80,573,000","72,502,000","73,406,000","68,300,000","75,616,000","65,355,000","62,119,000","55,949,000","52,451,000","43,050,000","49,274,000","56,952,000","54,238,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"107,798,000","101,652,000","111,176,000","117,373,000","114,490,000","108,274,000","110,856,000","107,036,000","100,395,000","99,734,000","91,713,000","99,465,000","86,242,000","81,426,000","75,570,000","68,534,000","58,966,000","63,627,000","70,810,000","65,110,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-89,066,000","-101,914,000","-117,722,000","-121,256,000","-118,361,000","-110,086,000","-110,856,000","-107,036,000","-100,395,000","-99,734,000","-91,713,000","-99,465,000","-86,242,000","-81,426,000","-75,570,000","-68,534,000","-58,966,000","-63,627,000","-70,810,000","-65,110,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,005,000","3,355,000","1,003,000","1,391,000","3,358,000","3,081,000","2,508,000","1,063,000","777,000","385,000","647,000","971,000","120,000","75,000","2,187,000","1,643,000","395,000","609,000","1,165,000","1,156,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-85,061,000","-98,559,000","-116,719,000","-119,865,000","-115,003,000","-107,005,000","-108,348,000","-105,973,000","-99,618,000","-99,349,000","-91,066,000","-98,494,000","-86,122,000","-81,351,000","-73,383,000","-66,891,000","-58,571,000","-63,018,000","-69,645,000","-63,954,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"2,335,000","1,727,000",-,-,"978,000","654,000",-,-,"-541,000","-836,000",-,-,"-2,066,000","-1,506,000",-,-,"50,000","386,000",Upgrade,Financials in USD,Fiscal year is January - December
