Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,"55,080,000","44,756,000","17,200,000","243,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),45.131%,160.209%,6978.189%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"110,770,000","94,403,000","43,139,000","14,478,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-55,690,000","-49,647,000","-25,939,000","-14,235,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","32,784,000","28,845,000","18,701,000","9,712,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"32,784,000","28,845,000","18,701,000","9,712,000",Financials in USD,Fiscal year is January - December
Operating Income,"-88,474,000","-78,492,000","-44,640,000","-23,947,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-98,000","-302,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"15,158,000","15,468,000","3,419,000","43,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-162,000","-74,000","201,000","4,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-73,478,000","-63,098,000","-41,118,000","-24,202,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-2,055,000","2,870,000","94,000","2,760,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-75,533,000","-60,228,000","-41,024,000","-21,442,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-1,579,000","8,027,000","2,569,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-73,954,000","-68,255,000","-43,593,000","-21,442,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-73,954,000","-68,255,000","-43,593,000","-21,442,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"24,552,515","3,404,585","3,399,518","5,691,431",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"24,552,515","3,404,585","3,399,518","5,691,431",Financials in USD,Fiscal year is January - December
Shares Change (YoY),621.158%,0.149%,-40.270%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.012,-20.048,-12.823,-3.767,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.012,-20.050,-12.823,-3.767,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-107,906,000","-101,223,000","15,747,000","21,354,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-4.395,-29.731,4.632,3.752,Financials in USD,Fiscal year is January - December
Gross Margin,-101.107%,-110.928%,-150.808%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-160.628%,-175.378%,-259.535%,-9854.733%,Financials in USD,Fiscal year is January - December
Profit Margin,-134.267%,-152.505%,-253.448%,-8823.868%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-195.908%,-226.166%,91.552%,8787.654%,Financials in USD,Fiscal year is January - December
EBITDA,"-83,327,000","-74,285,000","-42,907,000","-23,560,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-151.284%,-165.978%,-249.459%,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,147,000","4,207,000","1,733,000","387,000",Financials in USD,Fiscal year is January - December
EBIT,"-88,474,000","-78,492,000","-44,640,000","-23,947,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-160.628%,-175.378%,-259.535%,-,Financials in USD,Fiscal year is January - December
