Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
Operating Revenue,"5,954,000","990,000","40,000","139,000",-,-,"360,000","73,000","118,000","35,000","14,000","390,000","66,000","339,000","139,000","-147,000","151,000","436,000","165,000","920,000",Financials in USD,Fiscal year is January - December
Other Revenue,"152,000","57,000",-,-,"82,000","41,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue,"6,106,000","1,047,000","40,000","139,000","82,000","41,000","360,000","73,000","118,000","35,000","14,000","390,000","66,000","339,000","139,000","-147,000","151,000","436,000","165,000","920,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),7346.341%,2453.659%,-88.889%,90.411%,-30.508%,17.143%,2471.429%,-81.282%,78.788%,-89.676%,-89.928%,-,-56.291%,-22.248%,-15.758%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"6,106,000","1,047,000","40,000","139,000","82,000","41,000","360,000","73,000","118,000","35,000","14,000","390,000","66,000","339,000","139,000","-147,000","151,000","436,000","165,000","920,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","36,916,000","50,451,000","42,885,000","34,310,000","33,116,000","33,718,000","34,076,000","28,315,000","20,710,000","16,575,000","41,608,000","12,311,000","29,625,000","32,445,000","45,275,000","13,582,000","19,596,000","18,347,000","9,493,000","8,526,000",Financials in USD,Fiscal year is January - December
Research & Development,"49,443,000","49,929,000","52,351,000","50,331,000","47,102,000","51,468,000","77,864,000","56,028,000","70,212,000","63,082,000","54,378,000","54,497,000","49,277,000","53,800,000","41,128,000","44,109,000","35,772,000","33,005,000","27,374,000","13,751,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"86,359,000","100,380,000","95,236,000","84,641,000","80,218,000","85,186,000","111,940,000","84,343,000","90,922,000","79,657,000","95,986,000","66,808,000","78,902,000","86,245,000","86,403,000","57,691,000","55,368,000","51,352,000","36,867,000","22,277,000",Financials in USD,Fiscal year is January - December
Operating Income,"-80,253,000","-99,333,000","-95,196,000","-84,502,000","-80,136,000","-85,145,000","-111,580,000","-84,270,000","-90,804,000","-79,622,000","-95,972,000","-66,418,000","-78,836,000","-85,906,000","-86,264,000","-57,838,000","-55,217,000","-50,916,000","-36,702,000","-21,357,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-40,247,000","-39,019,000","-37,487,000","-32,126,000","-35,021,000","-32,235,000","-29,816,000","-29,285,000","-16,764,000","-9,698,000","-8,491,000","-7,316,000","-3,614,000","-3,577,000","-3,168,000","-2,836,000","-2,226,000","-2,123,000","-1,889,000","-1,485,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,798,000","1,891,000","3,099,000","484,000","35,000",-,"673,000",-,"857,000",-,"1,666,000",-,-,-,"8,944,000","1,222,000","149,000","986,000","78,000",-,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,"-1,255,000","-3,957,000","-2,337,000","-3,554,000","-4,456,000","-3,900,000","-197,000","-803,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"32,950,000","1,877,000","-4,546,000","-114,832,000","20,735,000","-16,815,000","26,477,000","16,727,000","6,000","185,000","-4,000","4,556,000","-38,000","277,000","13,000","1,622,000","84,000","81,000","1,104,000","-36,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-85,752,000","-134,584,000","-134,130,000","-230,976,000","-95,642,000","-138,152,000","-116,583,000","-100,382,000","-111,161,000","-93,035,000","-102,998,000","-69,981,000","-82,488,000","-89,206,000","-80,475,000","-57,830,000","-57,210,000","-51,972,000","-37,409,000","-22,878,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,"-13,000,000",-,-,-,"-10,300,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-1,591,000",-,"-61,000",-,"-7,280,000",-,"-1,800,000",-,"-8,715,000","-5,941,000","-177,000",-,"-1,405,000",-,-,-,"205,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-344,000",Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-886,000",-,-,-,"-681,000",-,-,-,-,-,-,-,-,"-10,660,000",-,-,-,Financials in USD,Fiscal year is January - December
