Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Operating Revenue,"57,771,000","59,662,000","70,995,000","63,134,000","44,531,000","34,921,000",Financials in USD,Fiscal year is January - December
Other Revenue,-,"19,519,000","2,674,000",-,-,-,Financials in USD,Fiscal year is January - December
Revenue,"57,771,000","79,181,000","73,669,000","63,134,000","44,531,000","34,921,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-27.687%,7.482%,16.687%,41.775%,27.519%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"24,657,000","26,660,000","30,775,000","25,584,000","14,594,000","10,532,000",Financials in USD,Fiscal year is January - December
Gross Profit,"33,114,000","52,521,000","42,894,000","37,550,000","29,937,000","24,389,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","39,985,000","43,910,000","59,468,000","39,833,000","22,086,000","19,130,000",Financials in USD,Fiscal year is January - December
Research & Development,"11,144,000","7,541,000","10,943,000","16,558,000",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"51,129,000","51,451,000","70,411,000","56,391,000","22,086,000","19,130,000",Financials in USD,Fiscal year is January - December
Operating Income,"-18,015,000","1,070,000","-27,517,000","-18,841,000","7,851,000","5,259,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,893,000","-1,698,000","-2,019,000","-7,034,000","-698,000","-255,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"679,000","322,000","60,000","2,000",-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-106,000","-183,000","-89,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-447,000",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-19,335,000","-489,000","-29,565,000","-26,320,000","7,153,000","5,004,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-6,500,000",-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-3,143,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,125,000",-,-,"-9,540,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-18,210,000","-3,632,000","-29,565,000","-42,360,000","7,153,000","5,004,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"126,000","221,000","63,000","1,634,000","1,870,000","1,379,000",Financials in USD,Fiscal year is January - December
Net Income,"-18,336,000","-3,853,000","-29,628,000","-43,994,000","5,283,000","3,625,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-18,336,000","-3,853,000","-29,628,000","-43,994,000","5,283,000","3,625,000",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,45.738%,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"19,777,051","18,232,422","17,531,274","10,189,844","9,135,985","9,133,333",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"19,777,051","18,232,422","17,531,274","10,189,844","10,836,122","10,075,804",Financials in USD,Fiscal year is January - December
Shares Change (YoY),9.923%,3.999%,72.047%,-5.964%,7.546%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.927,-0.211,-1.690,-4.317,0.578,0.397,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.927,-0.211,-1.690,-4.320,0.490,0.360,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,36.111%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-27,872,000","5,240,000","-13,534,000","-2,181,000","5,132,000","6,618,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.409,0.287,-0.772,-0.214,0.474,0.657,Financials in USD,Fiscal year is January - December
Gross Margin,57.319%,66.330%,58.225%,59.477%,67.227%,69.840%,Financials in USD,Fiscal year is January - December
Operating Margin,-31.183%,1.351%,-37.352%,-29.843%,17.630%,15.060%,Financials in USD,Fiscal year is January - December
Profit Margin,-31.739%,-4.866%,-40.218%,-69.684%,11.864%,10.381%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-48.246%,6.618%,-18.371%,-3.455%,11.525%,18.951%,Financials in USD,Fiscal year is January - December
EBITDA,"-14,757,000","4,837,000","-23,240,000","-16,367,000","9,276,000","6,438,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-25.544%,6.109%,-31.546%,-25.924%,20.830%,18.436%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,258,000","3,767,000","4,277,000","2,474,000","1,425,000","1,179,000",Financials in USD,Fiscal year is January - December
EBIT,"-18,015,000","1,070,000","-27,517,000","-18,841,000","7,851,000","5,259,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-31.183%,1.351%,-37.352%,-29.843%,17.630%,15.060%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,26.143%,27.558%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"57,771,000","79,181,000","73,669,000","63,134,000",-,-,Financials in USD,Fiscal year is January - December
