Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
Revenue,"3,336,000","2,658,000","1,717,000","1,821,000","2,100,000","1,382,000","187,000","151,000","68,000","26,000","1,000,000","8,254,370","2,395,000","2,739,000","1,553,000","475,325","704,000","1,075,000","900,000","1,049,331",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),58.857%,92.330%,818.182%,1105.960%,2988.235%,5215.385%,-81.300%,-98.171%,-97.161%,-99.051%,-35.608%,1636.574%,240.199%,154.791%,72.556%,-54.702%,-28.455%,1.896%,143.243%,217.398%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"8,481,000","9,530,000","10,199,000","8,182,000","8,974,000","10,650,000","9,391,000","8,049,000","7,571,000","9,592,000","10,082,000","11,500,765","11,288,000","8,762,000","9,816,000","8,003,705","7,517,000","8,119,000","9,906,000","6,964,485",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-5,145,000","-6,872,000","-8,482,000","-6,361,000","-6,874,000","-9,268,000","-9,204,000","-7,898,000","-7,503,000","-9,566,000","-9,082,000","-3,246,395","-8,893,000","-6,023,000","-8,263,000","-7,528,380","-6,813,000","-7,044,000","-9,006,000","-5,915,154",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,767,000","3,511,000","4,186,000","7,314,000","4,545,000","4,249,000","4,176,000","6,987,000","3,528,000","3,782,000","5,156,000","4,646,678","4,125,000","4,280,000","4,255,000","3,446,205","3,318,000","3,898,000","3,989,000","3,100,093",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,767,000","3,511,000","4,186,000","7,314,000","4,545,000","4,249,000","4,176,000","6,987,000","3,528,000","3,782,000","5,156,000","4,646,678","4,125,000","4,280,000","4,255,000","3,446,205","3,318,000","3,898,000","3,989,000","3,100,093",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,912,000","-10,383,000","-12,668,000","-13,675,000","-11,419,000","-13,517,000","-13,380,000","-14,885,000","-11,031,000","-13,348,000","-14,238,000","-7,893,073","-13,018,000","-10,303,000","-12,518,000","-10,974,585","-10,131,000","-10,942,000","-12,995,000","-9,015,247",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-188,000","-215,000","-241,000","-507,000","-286,000","-232,000","-370,000","-358,000","-124,000","-206,000","-25,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"343,000","427,000","562,000","905,000","700,000","564,000","641,000","632,000","200,000","88,000","8,000","8,898","25,000","24,000","8,000","80,914","100,000","109,000","177,000","101,326",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,757,000","-10,171,000","-12,347,000","-13,277,000","-11,005,000","-13,185,000","-13,109,000","-14,611,000","-10,955,000","-13,466,000","-14,255,000","-7,884,175","-12,993,000","-10,279,000","-12,510,000","-10,893,671","-10,031,000","-10,833,000","-12,818,000","-8,912,921",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,"-5,000",-,-,"5,000","-3,000",-,-,-,"-4,536",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"97,000",-,-,"-157,000",-,-,-,"277,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"-258,000",-,"258,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,660,000","-10,171,000","-12,347,000","-13,434,000","-11,005,000","-13,185,000","-13,109,000","-14,592,000","-10,955,000","-13,208,000","-14,255,000","-7,889,175","-12,993,000","-10,279,000","-12,505,000","-10,896,671","-10,031,000","-10,833,000","-12,818,000","-8,917,457",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,"495,000",-,-,-,"206,250",-,-,-,-500,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-8,660,000","-10,171,000","-12,347,000","-13,434,000","-11,005,000","-13,185,000","-13,109,000","-14,592,000","-10,955,000","-13,208,000","-14,255,000","-8,384,175","-12,993,000","-10,279,000","-12,505,000","-11,102,921","-10,031,000","-10,833,000","-12,818,000","-8,916,957",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,660,000","-10,171,000","-12,347,000","-13,434,000","-11,005,000","-13,185,000","-13,109,000","-14,592,000","-10,955,000","-13,208,000","-14,255,000","-8,384,175","-12,993,000","-10,279,000","-12,505,000","-11,102,921","-10,031,000","-10,833,000","-12,818,000","-8,916,957",Upgrade,Financials in USD,Fiscal year is January - December
