Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,"659,000","1,185,000","2,004,000","5,313,000","5,450,000","6,402,000","382,000","3,384,000","20,217,000","3,746,000","3,549,000","3,474,000","65,000","2,829,000","3,073,000","3,227,000","2,804,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-87.908%,-81.490%,424.607%,57.004%,-73.042%,70.902%,-89.236%,-2.591%,31003.077%,32.414%,15.490%,7.654%,-97.682%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"6,818,000","9,432,000","9,645,000","14,274,000","14,654,000","14,188,000","15,552,000","15,639,000","18,850,000","15,488,000","14,343,000","12,338,000","13,375,000","11,374,000","10,021,000","23,402,000","7,218,000","6,334,000","7,893,000","5,964,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-6,818,000","-9,432,000","-9,645,000","-13,615,000","-13,469,000","-12,184,000","-10,239,000","-10,189,000","-12,448,000","-15,106,000","-10,959,000","7,879,000","-9,629,000","-7,825,000","-6,547,000","-23,337,000","-4,389,000","-3,261,000","-4,666,000","-3,160,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,777,000","5,308,000","5,999,000","8,293,000","6,034,000","5,322,000","5,276,000","4,925,000","5,428,000","5,845,000","6,003,000","5,087,000","4,893,000","4,862,000","3,173,000","2,716,000","1,844,000","1,798,000","2,510,000","2,283,000",Financials in USD,Fiscal year is January - December
Research & Development,-,"400,000",-,-,-,"984,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,777,000","5,708,000","5,999,000","8,293,000","6,034,000","6,306,000","5,276,000","4,925,000","5,428,000","5,845,000","6,003,000","5,087,000","4,893,000","4,862,000","3,173,000","2,716,000","1,844,000","1,798,000","2,510,000","2,283,000",Financials in USD,Fiscal year is January - December
Operating Income,"-11,595,000","-15,140,000","-15,644,000","-21,908,000","-19,503,000","-18,490,000","-15,515,000","-15,114,000","-17,876,000","-20,951,000","-16,962,000","2,792,000","-14,522,000","-12,687,000","-9,720,000","-26,053,000","-6,233,000","-5,059,000","-7,176,000","-5,443,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,771,000","1,920,000","2,114,000","2,271,000","2,162,000","1,381,000","1,296,000","1,014,000","550,000","460,000","172,000","5,000","7,000","6,000","4,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
