Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","11,743,983","13,335,364","15,373,921","11,283,004","9,985,454","12,154,702",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"37,893,043","29,458,719","47,306,066","44,936,532","24,681,301","44,351,851",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"49,637,026","42,794,083","62,679,987","56,219,536","34,666,755","56,506,553",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-49,637,026","-42,794,083","-62,679,987","-56,219,536","-34,666,755","-56,506,553",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,969,642","-2,071,435","-1,694,098","-1,742,101","-1,904,198","-603,846",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"6,811,029","7,323,008","2,349,449","185,363","292,224","1,541,349",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-44,795,639","-37,542,510","-62,024,636","-57,776,274","-36,278,729","-55,569,050",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-44,795,639","-37,542,510","-62,024,636","-57,776,274","-38,032,994","-62,136,804",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"-479,265","-1,309,973",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-44,795,639","-37,542,510","-62,024,636","-57,776,274","-37,553,729","-60,826,831",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-44,795,639","-37,542,510","-62,024,636","-57,776,274","-37,553,729","-60,826,831",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"59,389,216","58,943,205","58,405,897","54,042,103","33,965,955","27,111,840",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"59,389,216","58,943,205","58,405,897","54,042,103","33,965,955","27,111,840",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.028%,0.920%,8.075%,59.107%,25.281%,25.022%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.754,-0.637,-1.062,-1.069,-1.106,-2.244,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.754,-0.637,-1.062,-1.069,-1.106,-2.244,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-30,671,462","-30,326,128","-56,653,504","-42,563,713","-37,493,455","-44,993,755",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.516,-0.514,-0.970,-0.788,-1.104,-1.660,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-49,385,307","-42,531,303","-62,421,280","-55,955,356","-34,610,534","-56,410,248",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"251,719","262,780","258,707","264,180","56,221","96,305",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-49,637,026","-42,794,083","-62,679,987","-56,219,536","-34,666,755","-56,506,553",Upgrade,Financials in USD,Fiscal year is January - December
