Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"80,542,000","47,083,000","43,766,000","72,178,000","56,116,000","54,568,000","52,775,000","65,675,000","57,102,000","59,518,000","45,736,000","55,357,000","46,245,000","53,384,000","98,169,000","52,557,000","50,754,000","70,582,000","51,217,000","62,922,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),43.528%,-13.717%,-17.071%,9.902%,-1.727%,-8.317%,15.391%,18.639%,23.477%,11.490%,-53.411%,5.328%,-8.884%,-24.366%,91.673%,-16.473%,-9.934%,30.904%,-48.301%,-11.476%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"29,097,000","10,658,000","10,728,000","24,323,000","13,284,000","11,857,000","13,218,000","16,836,000","12,495,000","14,918,000","10,844,000","11,895,000","10,279,000","11,969,000","9,557,000","10,940,000","9,943,000","9,415,000","9,076,000","10,142,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"51,445,000","36,425,000","33,038,000","47,855,000","42,832,000","42,711,000","39,557,000","48,839,000","44,607,000","44,600,000","34,892,000","43,462,000","35,966,000","41,415,000","88,612,000","41,617,000","40,811,000","61,167,000","42,141,000","52,780,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","16,819,000","24,972,000","21,750,000","19,559,000","22,801,000","24,462,000","22,486,000","27,039,000","23,961,000","20,576,000","20,402,000","22,462,000","26,084,000","39,410,000","28,238,000","28,606,000","29,598,000","29,347,000","30,937,000","30,021,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"12,547,000","13,632,000","13,587,000","12,873,000","11,446,000","13,357,000","12,706,000","13,784,000","11,253,000","11,966,000","15,237,000","14,168,000","18,836,000","18,638,000","20,228,000","24,160,000","23,344,000","24,691,000","25,455,000","30,241,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"29,366,000","38,604,000","35,337,000","32,432,000","34,247,000","37,819,000","35,192,000","40,823,000","35,214,000","32,542,000","35,639,000","36,630,000","44,920,000","58,048,000","48,466,000","52,766,000","52,942,000","54,038,000","56,392,000","60,262,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"22,079,000","-2,179,000","-2,299,000","15,423,000","8,585,000","4,892,000","4,365,000","8,016,000","9,393,000","12,058,000","-747,000","6,832,000","-8,954,000","-16,633,000","40,146,000","-11,149,000","-12,131,000","7,129,000","-14,251,000","-7,482,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,100,000","-3,372,000","-3,359,000","-3,354,000","-3,339,000","-3,325,000","-3,312,000","-3,279,000","-2,947,000","-2,702,000","-2,664,000","-2,718,000","-3,121,000","-3,518,000","-3,450,000","-3,567,000","-3,627,000","-3,784,000","-3,068,000","-3,076,000",Upgrade,Financials in USD,Fiscal year is January - December
