Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,-,"7,500",-,"90,000","310,700","172,000","113,300","30,500","48,500","85,000","120,000","110,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-95.640%,-,195.082%,540.619%,102.353%,-5.583%,-72.273%,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,"7,500",-,"90,000","310,700","172,000","113,300","30,500","48,500","85,000","120,000","110,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,913,400","1,549,228","1,488,527","1,049,773","1,755,908","844,639","843,012","1,055,848","1,054,570","667,940","861,308","971,555",Financials in USD,Fiscal year is January - December
Research & Development,"1,015,807","1,118,552","1,472,970","1,620,268","548,524","754,951","829,035","1,672,743","1,364,380","1,505,447","1,555,368","1,151,325",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,"-229,813",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,929,207","2,667,780","2,961,497","2,670,041","2,304,432","1,599,590","1,672,047","2,728,591","2,418,950","1,943,574","2,416,676","2,122,880",Financials in USD,Fiscal year is January - December
Operating Income,"-2,929,207","-2,660,280","-2,961,497","-2,580,041","-1,993,732","-1,427,590","-1,558,747","-2,698,091","-2,370,450","-1,858,574","-2,296,676","-2,012,880",Financials in USD,Fiscal year is January - December
Interest Expense,"-3,851","-1,782",-915,-997,-710,"-76,187","-89,832","-185,110","-31,333","-17,811","-17,637","-17,092",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"47,389","16,268","7,609",393,634,264,285,762,"3,201",335,520,687,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,876,178","13,801","21,928","102,751","50,519","-95,915",829,"77,940","-19,038","-14,103","-12,224","120,960",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,009,491","-2,631,993","-2,932,875","-2,477,894","-1,943,289","-1,599,428","-1,647,465","-2,804,499","-2,417,620","-1,890,153","-2,326,017","-1,908,325",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"41,417",-,-,-,"7,923",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-2,830,100","-800,000","-1,250,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,009,491","-2,631,993","-2,932,875","-2,436,477","-1,943,289","-4,429,528","-2,447,465","-4,046,576","-2,417,620","-1,890,153","-2,326,017","-1,908,325",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"17,308",-,-,"9,715",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-1,009,491","-2,631,993","-2,932,875","-2,453,785","-1,943,289","-4,429,528","-2,457,180","-4,046,576","-2,417,620","-1,890,153","-2,326,017","-1,908,325",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"643,267","712,080","692,247","692,246","692,246","692,246","2,768,984",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,009,491","-2,631,993","-2,932,875","-2,453,785","-1,943,289","-5,072,795","-3,169,260","-4,738,823","-3,109,866","-2,582,399","-3,018,263","-4,677,309",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,814,350","960,146","672,745","405,148","403,255","71,622","35,182","35,183","35,182","35,182","35,174","35,753",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,814,350","960,146","672,745","405,148","403,255","71,622","35,182","35,183","35,182","35,182","35,174","35,753",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1341.854%,1240.574%,1812.185%,1051.545%,1046.197%,103.576%,0.023%,-1.594%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.174,-2.741,-4.360,-6.057,-4.819,-70.827,-90.082,-134.691,-88.394,-73.401,-85.809,-130.823,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.174,-2.741,-4.360,-6.057,-4.819,-70.827,-90.082,-134.691,-88.394,-73.401,-85.809,-130.823,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,484,153","-2,101,033","-3,020,922","-2,587,075","-1,796,950","-1,730,360","-1,318,740","-2,182,595","-2,076,917","-1,734,849","-2,388,209","-2,115,457",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.427,-2.188,-4.490,-6.386,-4.456,-24.160,-37.483,-62.036,-59.034,-49.311,-67.897,-59.169,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,-,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-35470.400%,-,-2866.712%,-641.690%,-829.994%,-1375.770%,-8846.200%,-4887.526%,-2186.558%,-1913.897%,-1829.891%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-35093.240%,-,-2726.428%,-625.455%,-2949.299%,-2797.229%,-15537.125%,-6412.095%,-3038.116%,-2515.219%,-4252.099%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-28013.773%,-,-2874.528%,-578.355%,-1006.023%,-1163.936%,-7156.049%,-4282.303%,-2040.999%,-1990.174%,-1923.143%,Financials in USD,Fiscal year is January - December
EBITDA,"-2,896,210","-2,626,859","-2,929,965","-2,547,778","-1,961,148","-1,394,933","-1,526,598","-2,665,721","-2,338,352","-1,827,696","-2,266,137","-1,986,536",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"32,997","33,421","31,532","32,263","32,584","32,657","32,149","32,370","32,098","30,878","30,539","26,344",Financials in USD,Fiscal year is January - December
EBIT,"-2,929,207","-2,660,280","-2,961,497","-2,580,041","-1,993,732","-1,427,590","-1,558,747","-2,698,091","-2,370,450","-1,858,574","-2,296,676","-2,012,880",Financials in USD,Fiscal year is January - December
