Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Revenue,"161,100,000","78,500,000","131,400,000","53,600,000","25,900,000","43,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),1.066%,-40.259%,145.149%,106.950%,-39.767%,200.197%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"161,100,000","78,500,000","131,400,000","53,600,000","25,900,000","43,000,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","158,300,000","100,300,000","79,600,000","61,600,000","38,300,000","27,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"360,100,000","379,700,000","315,000,000","180,400,000","108,400,000","67,200,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"518,400,000","480,000,000","394,600,000","242,000,000","146,700,000","94,500,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-357,300,000","-401,500,000","-263,200,000","-188,400,000","-120,800,000","-51,500,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-100,000","-100,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"54,100,000","38,800,000","12,000,000","1,800,000","3,600,000","4,600,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,"-2,500,000","-10,600,000","-6,900,000","-4,100,000","-24,700,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-400,000","-300,000","600,000","2,700,000","1,700,000","1,400,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-303,600,000","-365,500,000","-261,200,000","-190,800,000","-119,700,000","-70,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"-900,000","-400,000","-200,000","400,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-306,000,000","-366,400,000","-261,600,000","-191,000,000","-119,300,000","-70,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"2,600,000","900,000","20,900,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-308,600,000","-367,300,000","-282,500,000","-191,000,000","-119,300,000","-70,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-308,600,000","-367,300,000","-282,500,000","-191,000,000","-119,300,000","-70,300,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"69,225,000","55,500,000","53,200,000","50,000,000","39,500,000","32,900,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"69,225,000","55,500,000","53,200,000","50,000,000","39,500,000","32,900,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),29.211%,4.323%,6.400%,26.582%,20.061%,249.153%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.458,-6.618,-5.310,-3.820,-3.020,-2.137,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.458,-6.618,-5.310,-3.820,-3.020,-2.137,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-259,900,000","-350,700,000","-280,300,000","554,700,000","-96,100,000","-46,900,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.754,-6.319,-5.269,11.094,-2.433,-1.426,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-221.788%,-511.465%,-200.304%,-351.493%,-466.409%,-119.767%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-191.558%,-467.898%,-214.992%,-356.343%,-460.618%,-163.488%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-161.328%,-446.752%,-213.318%,1034.888%,-371.042%,-109.070%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-352,600,000","-396,700,000","-256,900,000","-183,600,000","-117,600,000","-49,900,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-218.870%,-,-195.510%,-,-,-116.046%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,700,000","4,800,000","6,300,000","4,800,000","3,200,000","1,600,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-357,300,000","-401,500,000","-263,200,000","-188,400,000","-120,800,000","-51,500,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-221.788%,-,-200.304%,-,-,-119.767%,Upgrade,Financials in USD,Fiscal year is January - December
