Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
Revenue,"987,000","778,000","620,000","262,000","419,000","915,000","1,164,000","1,103,000","1,163,000","401,000","866,000","-2,453,000","1,333,000","-978,000","1,316,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),135.561%,-14.973%,-46.735%,-76.247%,-63.972%,128.180%,34.411%,-,-12.753%,-,-34.195%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"68,000","44,000","34,000","47,000","41,000","54,000","44,000","53,000","56,000","60,000","42,000","58,000","44,000","62,000","35,000",Financials in USD,Fiscal year is January - December
Gross Profit,"919,000","734,000","586,000","215,000","378,000","861,000","1,120,000","1,050,000","1,107,000","341,000","824,000","-2,511,000","1,289,000","-1,040,000","1,281,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,666,000","6,467,000","5,897,000","4,185,000","6,344,000","5,318,000","4,411,000","3,335,000","5,275,000","2,946,000","2,478,000","1,865,000","2,017,000","1,907,000","2,139,000",Financials in USD,Fiscal year is January - December
Research & Development,"11,595,000","11,126,000","9,112,000","8,511,000","8,558,000","8,499,000","8,254,000","7,543,000","5,899,000","5,029,000","3,474,000","3,531,000","3,659,000","2,637,000","3,063,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"17,261,000","17,593,000","15,009,000","12,696,000","14,902,000","13,817,000","12,665,000","10,878,000","11,174,000","7,975,000","5,952,000","5,396,000","5,676,000","4,544,000","5,202,000",Financials in USD,Fiscal year is January - December
Operating Income,"-16,342,000","-16,859,000","-14,423,000","-12,481,000","-14,524,000","-12,956,000","-11,545,000","-9,828,000","-10,067,000","-7,634,000","-5,128,000","-7,907,000","-4,387,000","-5,584,000","-3,921,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,"-457,000",-,-,-,"-246,000","-236,000","-249,000","-184,000","-294,000","-200,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"916,000","902,000","1,016,000","1,108,000","915,000","1,398,000","885,000","469,000","63,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"-11,000",-,-,-,"-294,000","-226,000","36,000","-1,015,000","-145,000","549,000","31,000","72,000","47,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,426,000","-15,957,000","-13,418,000","-11,373,000","-13,609,000","-12,015,000","-10,954,000","-9,585,000","-9,968,000","-8,895,000","-5,509,000","-7,607,000","-4,540,000","-5,806,000","-4,074,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"-23,000","-45,000","-294,000","293,000","-31,000","14,000","-165,000","-314,000","1,730,000","-220,000","-458,000","-717,000","-349,000","537,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-1,151,000",-,-,-,-,-,"-682,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-15,426,000","-15,980,000","-13,463,000","-12,818,000","-13,316,000","-12,046,000","-10,940,000","-9,750,000","-10,282,000","-7,847,000","-5,729,000","-8,065,000","-5,257,000","-6,155,000","-3,537,000",Financials in USD,Fiscal year is January - December
Net Income,"-15,426,000","-15,980,000","-13,463,000","-12,818,000","-13,316,000","-12,046,000","-10,940,000","-9,750,000","-10,282,000","-7,847,000","-5,729,000","-8,065,000","-5,257,000","-6,155,000","-3,537,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-15,426,000","-15,980,000","-13,463,000","-12,818,000","-13,316,000","-12,046,000","-10,940,000","-9,750,000","-10,282,000","-7,847,000","-5,729,000","-8,065,000","-5,257,000","-6,155,000","-3,537,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"37,621,495","35,800,273","35,777,877","35,141,615","35,243,598","34,613,466","27,643,549","20,244,986","20,187,773","10,138,169","9,225,058","2,161,321","2,145,725","2,081,101","2,056,497",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"37,621,495","35,800,273","35,777,877","35,141,615","35,243,598","34,613,466","27,643,549","20,244,986","20,187,773","10,138,169","9,225,058","2,161,321","2,145,725","2,081,101","2,056,497",Financials in USD,Fiscal year is January - December
Shares Change (YoY),6.747%,3.429%,29.426%,73.582%,74.579%,241.417%,199.657%,836.695%,840.837%,387.154%,348.581%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.410,-0.446,-0.376,-0.365,-0.378,-0.348,-0.396,-0.482,-0.509,-0.774,-0.621,-3.732,-2.450,-2.958,-1.720,Financials in USD,Fiscal year is January - December
