Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"1,788,000","1,112,000","3,411,000","3,604,000","4,746,000","2,395,000","4,706,000","2,502,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-62.326%,-53.570%,-27.518%,44.045%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"1,788,000","1,112,000","3,411,000","3,604,000","4,746,000","2,395,000","4,706,000","2,502,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,787,000","8,211,000","7,084,000","6,719,000","9,528,000","6,939,000","8,751,000","7,341,000","8,683,000","9,867,000","11,469,000","11,806,000","11,153,000","10,129,000","8,236,000","6,107,000","3,984,000","948,000","70,000",Financials in USD,Fiscal year is January - December
Research & Development,"14,061,000","14,200,000","20,657,000","12,682,000","10,852,000","18,840,000","12,514,000","12,707,000","16,774,000","23,506,000","38,182,000","37,918,000","39,528,000","30,643,000","23,854,000","12,260,000","11,057,000","3,062,000","5,514,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"22,848,000","22,411,000","27,741,000","19,401,000","20,380,000","25,779,000","21,265,000","20,048,000","25,457,000","33,373,000","49,651,000","49,724,000","50,681,000","40,772,000","32,090,000","18,367,000","15,041,000","4,010,000","5,584,000",Financials in USD,Fiscal year is January - December
Operating Income,"-21,060,000","-21,299,000","-24,330,000","-15,797,000","-15,634,000","-23,384,000","-16,559,000","-17,546,000","-25,457,000","-33,373,000","-49,651,000","-49,724,000","-50,681,000","-40,772,000","-32,090,000","-18,367,000","-15,041,000","-4,010,000","-5,584,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-24,000","-27,000","-29,000","-713,000","-1,471,000","-1,440,000","-1,374,000","-1,305,000","-1,078,000","-743,000","-672,000","-691,000","-543,000","-194,000",-,-,"-1,000",-,"-27,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,107,000","1,440,000","1,693,000","1,921,000","1,109,000","223,000","319,000","199,000","9,000","27,000","14,000","29,000","37,000","40,000","66,000","49,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,709,000","237,000","-1,395,000","64,177,000","-100,475,000","3,000","-8,000","-6,000","-1,000","-3,000","-8,000",-,-,-,-,-,-,"-17,210,000","180,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-20,686,000","-19,649,000","-24,061,000","49,588,000","-116,471,000","-24,598,000","-17,622,000","-18,658,000","-26,527,000","-34,092,000","-50,317,000","-50,386,000","-51,187,000","-40,926,000","-32,024,000","-18,318,000","-15,042,000","-21,220,000","-5,431,000",Financials in USD,Fiscal year is January - December
Asset Writedown,"-4,838,000",-,-,"-449,000","-616,000",-,-,"-36,420,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-1,279,000",-,"-1,398,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-25,524,000","-20,928,000","-24,061,000","47,741,000","-117,087,000","-24,598,000","-17,622,000","-55,078,000","-26,527,000","-34,092,000","-50,317,000","-50,386,000","-51,187,000","-40,926,000","-32,024,000","-18,318,000","-15,042,000","-21,220,000","-5,431,000",Financials in USD,Fiscal year is January - December
Net Income,"-25,524,000","-20,928,000","-24,061,000","47,741,000","-117,087,000","-24,598,000","-17,622,000","-55,078,000","-26,527,000","-34,092,000","-50,317,000","-50,386,000","-51,187,000","-40,926,000","-32,024,000","-18,318,000","-15,042,000","-21,220,000","-5,431,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-25,524,000","-20,928,000","-24,061,000","47,741,000","-117,087,000","-24,598,000","-17,622,000","-55,078,000","-26,527,000","-34,092,000","-50,317,000","-50,386,000","-51,187,000","-40,926,000","-32,024,000","-18,318,000","-15,042,000","-21,220,000","-5,431,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"267,824,045","232,821,553","231,249,344","210,593,540","125,700,799","64,244,531","63,260,905","56,386,130","40,937,808","40,142,403","38,174,717","38,110,597","38,003,954","37,479,164","36,992,377","37,133,445","11,733,170","10,894,999","10,894,999",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"267,824,045","232,821,553","231,249,344","210,593,540","125,700,799","64,244,531","63,260,905","56,386,130","40,937,808","40,142,403","38,174,717","38,110,597","38,003,954","37,479,164","36,992,377","37,133,445","11,733,170","10,894,999","10,894,999",Financials in USD,Fiscal year is January - December
Shares Change (YoY),113.065%,262.399%,265.549%,273.485%,207.053%,60.042%,65.714%,47.954%,7.720%,7.106%,3.196%,2.631%,223.902%,244.003%,239.535%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.095,-0.090,-0.104,0.227,-0.931,-0.383,-0.279,-0.977,-0.648,-0.849,-1.318,-1.322,-1.347,-1.092,-0.866,-0.493,-1.282,-1.948,-0.498,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.095,-0.090,-0.104,0.227,-0.931,-0.383,-0.279,-0.979,-0.648,-0.849,-1.318,-1.322,-1.347,-1.092,-0.866,-0.493,-1.282,-1.948,-0.498,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-21,650,000","-21,705,000","-19,938,000","-16,134,000","-17,949,000","-18,719,000","-24,085,000","12,403,000","-30,830,000","-41,216,000","-49,366,000","-48,528,000","-35,435,000","-25,814,000","-22,569,000","-19,899,000","-6,747,000","-2,466,000","-1,699,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.081,-0.093,-0.086,-0.077,-0.143,-0.291,-0.381,0.220,-0.753,-1.027,-1.293,-1.273,-0.932,-0.689,-0.610,-0.536,-0.575,-0.226,-0.156,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-1177.852%,-1915.378%,-713.281%,-438.319%,-329.414%,-976.367%,-351.870%,-701.279%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
