Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"45,620,000","100,387,000","91,496,000","54,522,000","248,122,000","44,296,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-68.728%,9.717%,67.815%,-78.026%,460.145%,-18.841%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"136,348,000","247,676,000","274,954,000","274,525,000","301,863,000","300,623,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-90,728,000","-147,289,000","-183,458,000","-220,003,000","-53,741,000","-256,327,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","51,601,000","69,414,000","79,450,000","93,506,000","90,897,000","81,646,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"51,601,000","69,414,000","79,450,000","93,506,000","90,897,000","81,646,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-142,329,000","-216,703,000","-262,908,000","-313,509,000","-144,638,000","-337,973,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"11,891,000","12,413,000","2,932,000","88,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,699,000","7,625,000","6,055,000","21,647,000","18,056,000","20,126,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-127,739,000","-196,665,000","-253,921,000","-291,774,000","-126,582,000","-317,847,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-12,131,000","-8,614,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,"-12,056,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"2,360,000","-235,000","-232,000","-439,000","6,468,000","-2,747,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-94,549,000","-217,570,000","-254,153,000","-292,213,000","-120,114,000","-320,594,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-94,549,000","-217,570,000","-254,153,000","-292,213,000","-120,114,000","-320,594,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-94,549,000","-217,570,000","-254,153,000","-292,213,000","-120,114,000","-320,594,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"51,983,500","49,276,000","35,637,000","23,499,000","23,369,000","23,369,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"51,983,500","49,276,000","35,637,000","23,499,000","23,369,000","23,369,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),12.756%,38.272%,51.653%,0.556%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.819,-4.415,-7.132,-12.435,-5.140,-13.719,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.819,-4.415,-7.132,-12.435,-5.140,-13.719,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-140,897,000","-180,723,000","-258,950,000","-218,430,000","-90,054,000","-267,722,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.710,-3.668,-7.266,-9.295,-3.854,-11.456,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-198.878%,-146.721%,-200.509%,-,-21.659%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-311.988%,-215.868%,-287.344%,-575.014%,-58.293%,-762.988%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-207.253%,-216.731%,-277.775%,-535.954%,-48.409%,-723.754%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-308.849%,-180.026%,-283.018%,-400.627%,-36.294%,-604.393%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-133,858,000","-206,418,000","-251,375,000","-297,159,000","-131,450,000","-329,186,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-293.420%,-205.622%,-274.739%,-,-52.978%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"8,471,000","10,285,000","11,533,000","16,350,000","13,188,000","8,787,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-142,329,000","-216,703,000","-262,908,000","-313,509,000","-144,638,000","-337,973,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-215.868%,-287.344%,-,-58.293%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"45,620,000","100,387,000","91,496,000","54,522,000","248,122,000","44,296,000",Upgrade,Financials in USD,Fiscal year is January - December
