Fiscal Quarter,Q4 2024,Q4 2023,Q4 2022,Q4 2021,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021",,
Operating Revenue,-,-,"147,536",-,Financials in AUD,Fiscal year is July - June
Other Revenue,"31,901","20,346","95,877","31,706",Financials in AUD,Fiscal year is July - June
Revenue,"31,901","20,346","243,413","31,706",Financials in AUD,Fiscal year is July - June
Cost of Revenue,-,-,"94,874",-,Financials in AUD,Fiscal year is July - June
Gross Profit,"31,901","20,346","148,539","31,706",Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","192,869","72,449","107,461","154,902",Financials in AUD,Fiscal year is July - June
Research & Development,"88,231","234,479","210,551","54,947",Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"77,243","17,069","8,300","-2,181",Financials in AUD,Fiscal year is July - June
Operating Expenses,"660,142","630,801","667,349","263,823",Financials in AUD,Fiscal year is July - June
Operating Income,"-628,241","-610,455","-518,810","-232,117",Financials in AUD,Fiscal year is July - June
Interest Expense,"-151,477","-113,338","-100,216","-1,297",Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"3,571","54,830","-2,199",-,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-181,904","-278,867","-615,435",-,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-958,051","-947,830","-1,236,660","-233,414",Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,"-175,081",-,-,-,Financials in AUD,Fiscal year is July - June
Pretax Income,"-1,133,132","-947,830","-1,236,660","-233,414",Financials in AUD,Fiscal year is July - June
Net Income,"-1,133,132","-947,830","-1,236,660","-233,414",Financials in AUD,Fiscal year is July - June
Net Income to Common,"-1,133,132","-947,830","-1,236,660","-233,414",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"8,118,075","8,118,901","7,370,959","3,484,278",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"8,118,075","8,118,901","7,370,959","3,484,278",Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.140,-0.117,-0.168,-0.067,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.140,-0.120,-0.170,-0.067,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-302,150","-449,536","-649,420","-120,922",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.037,-0.055,-0.088,-0.035,Financials in AUD,Fiscal year is July - June
Gross Margin,100.000%,100.000%,61.023%,100.000%,Financials in AUD,Fiscal year is July - June
Operating Margin,-1969.346%,-3000.369%,-213.140%,-732.092%,Financials in AUD,Fiscal year is July - June
Profit Margin,-3552.027%,-4658.557%,-508.050%,-736.182%,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-947.149%,-2209.456%,-266.798%,-381.385%,Financials in AUD,Fiscal year is July - June
EBITDA,"-336,443","-333,654","-232,497","-175,962",Financials in AUD,Fiscal year is July - June
EBITDA Margin,-,-,-95.515%,-,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"291,798","276,801","286,313","56,155",Financials in AUD,Fiscal year is July - June
EBIT,"-628,241","-610,455","-518,810","-232,117",Financials in AUD,Fiscal year is July - June
EBIT Margin,-,-,-213.140%,-,Financials in AUD,Fiscal year is July - June
