Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"6,865,000","6,692,000","5,695,000","5,144,000","3,117,000","2,093,000","1,404,000","1,012,000","929,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),120.244%,219.732%,305.627%,408.300%,235.522%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"49,938,000","50,984,000","48,376,000","46,811,000","43,765,000","47,260,000","47,110,000","37,284,000","35,197,000","33,125,000","24,490,000","25,939,000","17,495,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-43,073,000","-44,292,000","-42,681,000","-41,667,000","-40,648,000","-45,167,000","-45,706,000","-36,272,000","-34,268,000","-33,125,000","-24,490,000","-25,939,000","-17,495,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","13,837,000","14,547,000","14,163,000","12,281,000","11,686,000","13,416,000","12,553,000","11,438,000","9,592,000","9,067,000","7,435,000","6,601,000","6,007,000","3,541,000","2,716,000","2,024,000","1,354,000","1,032,000","846,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,423,000","11,345,000","15,576,000","7,618,000","5,654,000","6,523,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"13,837,000","14,547,000","14,163,000","12,281,000","11,686,000","13,416,000","12,553,000","11,438,000","9,592,000","9,067,000","7,435,000","6,601,000","6,007,000","16,964,000","14,061,000","17,600,000","8,972,000","6,686,000","7,369,000",Financials in USD,Fiscal year is January - December
Operating Income,"-56,910,000","-58,839,000","-56,844,000","-53,948,000","-52,334,000","-58,583,000","-58,259,000","-47,710,000","-43,860,000","-42,192,000","-31,925,000","-32,540,000","-23,502,000","-16,964,000","-14,061,000","-17,600,000","-8,972,000","-6,686,000","-7,369,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,000",-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"6,887,000","7,429,000","8,136,000","6,341,000","5,841,000","5,438,000","5,546,000","4,501,000","1,976,000","308,000","82,000","64,000","53,000","5,000","20,000",-,"37,000","50,000","77,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-6,000","1,671,000","78,000","-713,000","802,000","-662,000","738,000","2,177,000","-3,306,000","938,000","1,677,000","1,139,000","700,000","-36,006,000","778,000","-5,929,000","-55,000","-944,000","1,689,000",Financials in USD,Fiscal year is January - December
