Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"24,124,000","23,489,000","21,639,000","23,885,000","24,144,000","20,499,000","21,594,000","22,023,000","23,625,000","21,585,000","24,822,000","25,009,000","24,921,000","28,330,000","23,647,000","23,462,000","30,033,000","48,847,000","50,573,000","33,862,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-0.083%,14.586%,0.208%,8.455%,2.197%,-5.031%,-13.005%,-11.940%,-5.200%,-23.809%,4.969%,6.594%,-17.021%,-42.003%,-53.242%,-30.713%,2.789%,109.509%,79.197%,-14.975%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"4,435,000","9,740,000","8,534,000","7,283,000","12,431,000","6,994,000","7,060,000","6,233,000","4,972,000","5,115,000","5,315,000","6,163,000","5,311,000","7,667,000","5,756,000","4,323,000","5,570,000","5,773,000","3,811,000","5,989,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"19,689,000","13,749,000","13,105,000","16,602,000","11,713,000","13,505,000","14,534,000","15,790,000","18,653,000","16,470,000","19,507,000","18,846,000","19,610,000","20,663,000","17,891,000","19,139,000","24,463,000","43,074,000","46,762,000","27,873,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","18,957,000","20,510,000","20,149,000","17,320,000","21,147,000","17,869,000","21,081,000","21,939,000","22,534,000","20,521,000","27,339,000","32,142,000","29,468,000","29,555,000","31,679,000","27,136,000","26,982,000","24,347,000","26,217,000","48,247,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"35,031,000","29,724,000","27,408,000","29,942,000","24,070,000","29,681,000","30,469,000","34,740,000","33,590,000","42,740,000","107,253,000","99,614,000","103,738,000","101,313,000","95,604,000","102,724,000","100,531,000","96,436,000","108,987,000","89,264,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"53,988,000","50,234,000","47,557,000","47,262,000","45,217,000","47,550,000","51,550,000","56,679,000","56,124,000","63,261,000","134,592,000","131,756,000","133,206,000","130,868,000","127,283,000","129,860,000","127,513,000","120,783,000","135,204,000","137,511,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-34,299,000","-36,485,000","-34,452,000","-30,660,000","-33,504,000","-34,045,000","-37,016,000","-40,889,000","-37,471,000","-46,791,000","-115,085,000","-112,910,000","-113,596,000","-110,205,000","-109,392,000","-110,721,000","-103,050,000","-77,709,000","-88,442,000","-109,638,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,020,000","-6,408,000","-5,630,000","-6,867,000","-5,910,000","-6,152,000","-6,706,000","-7,201,000","-6,953,000","-7,228,000","-7,529,000","-8,127,000","-12,801,000","-13,089,000","-13,296,000","-8,183,000","-8,425,000","-7,338,000","-13,172,000","-12,619,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,437,000","3,901,000","4,220,000","4,517,000","5,211,000","4,846,000","4,335,000","3,242,000","2,050,000","1,096,000","395,000","181,000","131,000","845,000","1,412,000","1,829,000","2,910,000","5,191,000","8,352,000","10,371,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-120,000","-36,000",-,"-1,148,000","-335,000","736,000",-,"-116,000",-,-,"33,427,000","-383,000","-3,328,000","-2,713,000","-1,599,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-37,002,000","-39,028,000","-35,862,000","-34,158,000","-34,538,000","-34,615,000","-39,387,000","-44,964,000","-42,374,000","-52,923,000","-88,792,000","-121,239,000","-129,594,000","-125,162,000","-122,875,000","-117,075,000","-108,565,000","-79,856,000","-93,262,000","-111,886,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-46,000","-13,289,000","-975,000","-2,851,000","-11,360,000","-16,554,000","-21,193,000","-11,580,000","-16,830,000","-106,045,000","-1,475,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,"-76,501,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-5,099,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"-24,410,000",-,-,-,-,-,-,"-45,189,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-37,048,000","-52,317,000","-36,837,000","-42,108,000","-45,898,000","-51,169,000","-137,081,000","-56,544,000","-59,204,000","-158,968,000","-90,267,000","-145,649,000","-129,594,000","-125,162,000","-122,875,000","-117,075,000","-108,565,000","-79,856,000","-138,451,000","-111,886,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"9,000","46,000","-35,000","-29,000","-61,000","-47,000","-63,000","3,144,000","-155,000","100,000","126,000","-4,000","112,000","357,000","92,000","128,000","21,000","144,000","200,000","278,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-37,057,000","-52,363,000","-36,802,000","-42,079,000","-45,837,000","-51,122,000","-137,018,000","-59,688,000","-59,049,000","-159,068,000","-90,393,000","-145,645,000","-129,706,000","-125,519,000","-122,967,000","-117,203,000","-108,586,000","-80,000,000","-138,651,000","-112,164,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-37,057,000","-52,363,000","-36,802,000","-42,079,000","-45,837,000","-51,122,000","-137,018,000","-59,688,000","-59,049,000","-159,068,000","-90,393,000","-145,645,000","-129,706,000","-125,519,000","-122,967,000","-117,203,000","-108,586,000","-80,000,000","-138,651,000","-112,164,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"209,249,000","208,828,000","194,746,000","191,040,000","190,406,000","189,656,000","188,875,000","188,237,000","187,641,000","186,800,000","185,848,000","184,964,000","184,110,000","182,698,000","181,370,000","179,684,000","179,090,000","178,327,000","177,185,000","176,130,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"209,249,000","208,828,000","194,746,000","191,040,000","190,406,000","189,656,000","188,875,000","188,237,000","187,641,000","186,800,000","185,848,000","184,964,000","184,110,000","182,698,000","181,370,000","179,684,000","179,090,000","178,327,000","177,185,000","176,130,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),9.896%,10.109%,3.108%,1.489%,1.474%,1.529%,1.629%,1.770%,1.918%,2.245%,2.469%,2.938%,2.803%,2.451%,2.362%,2.018%,2.103%,2.164%,1.913%,1.650%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.177,-0.251,-0.189,-0.220,-0.241,-0.270,-0.725,-0.317,-0.315,-0.852,-0.486,-0.787,-0.705,-0.687,-0.678,-0.652,-0.606,-0.449,-0.783,-0.637,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.177,-0.251,-0.189,-0.220,-0.241,-0.270,-0.725,-0.320,-0.315,-0.852,-0.486,-0.787,-0.705,-0.687,-0.678,-0.652,-0.606,-0.449,-0.783,-0.639,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-44,598,000","-37,888,000","-48,045,000","-47,284,000","-42,154,000","-51,685,000","-52,348,000","-58,215,000","-83,068,000","-75,773,000","-92,627,000","-157,434,000","-104,072,000","-86,182,000","-79,961,000","-100,388,000","-54,585,000","-86,597,000","-78,975,000","-128,894,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.213,-0.181,-0.247,-0.248,-0.221,-0.273,-0.277,-0.309,-0.443,-0.406,-0.498,-0.851,-0.565,-0.472,-0.441,-0.559,-0.305,-0.486,-0.446,-0.732,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,81.616%,58.534%,60.562%,69.508%,48.513%,65.881%,67.306%,71.698%,78.954%,76.303%,78.588%,75.357%,78.689%,72.937%,75.659%,81.574%,81.454%,88.181%,92.464%,82.314%,Upgrade,Financials in USD,Fiscal year is January - December
