Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"209,000",-,"591,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"40,340,000","43,071,000","37,774,000","41,459,000","40,967,000","34,599,000","30,880,000","29,061,000","25,047,000","18,940,000","13,677,000","52,889,000","7,400,000","-4,566,000","4,566,000","1,259,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-40,131,000","-43,071,000","-37,183,000","-41,459,000","-40,967,000","-34,599,000","-30,880,000","-29,061,000","-25,047,000","-18,940,000","-13,677,000","-52,889,000","-7,400,000","4,566,000","-4,566,000","-1,259,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","14,101,000","12,601,000","11,158,000","13,084,000","10,492,000","10,658,000","9,153,000","9,625,000","6,608,000","7,365,000","6,221,000","7,187,000","3,027,000","2,321,000","1,389,000","1,338,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,261,000",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"14,101,000","12,601,000","11,158,000","13,084,000","10,492,000","10,658,000","9,153,000","9,625,000","6,608,000","7,365,000","6,221,000","7,187,000","3,027,000","12,582,000","1,389,000","1,338,000",Financials in USD,Fiscal year is January - December
Operating Income,"-54,232,000","-55,672,000","-48,341,000","-54,543,000","-51,459,000","-45,257,000","-40,033,000","-38,686,000","-31,655,000","-26,305,000","-19,898,000","-60,076,000","-10,427,000","-8,016,000","-5,955,000","-2,597,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-6,997,000",-,-,-,"-977,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"697,000","650,000","1,548,000",-,"410,000","676,000","2,135,000",-,"728,000","238,000","11,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
