Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"75,000",-,"9,888","16,365","4,508",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1563.709%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"960,856","1,492","1,869",-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"75,000","-960,856","8,396","14,496","4,508",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","983,117","1,817,715","1,895,314","2,352,622","2,464,981","3,104,964","6,173,622","3,219,335","5,491,399","9,749,028","15,715,315","3,040,267","6,759,339","2,580,971","1,740,344","3,338,487","1,433,621","661,856","366,407",Financials in USD,Fiscal year is January - December
Research & Development,"811,784","398,817","777,069","1,013,347","5,072,938","466,629","115,329",-,"20,887",-,-,-,-,-,-,-,-,"3,543",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,141,789","2,828,102","2,922,383","3,365,969","7,901,220","3,684,984","6,538,951","3,219,335","5,512,286","9,749,028","15,715,315","3,040,267","6,759,339","2,580,971","1,740,344","3,338,487","1,433,621","665,399","366,407",Financials in USD,Fiscal year is January - December
Operating Income,"-2,141,789","-2,828,102","-2,922,383","-3,365,969","-7,901,220","-3,684,984","-6,538,951","-3,219,335","-5,512,286","-9,749,028","-15,715,315","-3,040,267","-6,759,339","-2,580,971","-1,665,344","-4,299,343","-1,425,225","-650,903","-361,899",Financials in USD,Fiscal year is January - December
Interest Expense,"-50,926","-66,056","-200,505","-13,832","-19,800","-42,636","-31,417","-42,344","-56,423","-63,826","-55,819",-,"-188,559","-43,098","-34,737",-,"-183,871","-36,341","-34,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,"79,249",-,-,-,"114,634",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"401,058","-141,187","121,500","-375,788","1,570,526","525,000","-1,387,465","93,701","-80,000","-5,000",-,"121,410","1,003,542","-166,666","-250,000","-583,333","-211,551","1,990","-1,500,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,791,657","-3,035,345","-3,001,388","-3,755,589","-6,350,494","-3,202,620","-7,957,833","-3,167,978","-5,648,709","-9,817,854","-15,771,134","-2,839,608","-5,944,356","-2,790,735","-1,950,081","-4,768,042","-1,820,647","-685,254","-1,896,399",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-37,257",-,-,-,-,-,-,-,-,-,-,"-2,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"225,000",-,"15,017","-3,408,559","2,000","-2,000","77,500",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,828,914","-3,035,345","-3,001,388","-3,755,589","-6,350,494","-3,202,620","-7,957,833","-2,942,978","-5,648,709","-9,802,837","-19,179,693","-2,839,608","-5,946,356","-2,713,235","-1,950,081","-4,768,042","-1,820,647","-685,254","-1,896,399",Financials in USD,Fiscal year is January - December
Net Income,"-1,828,914","-3,035,345","-3,001,388","-3,755,589","-6,350,494","-3,202,620","-7,957,833","-2,942,978","-5,648,709","-9,802,837","-19,179,693","-2,839,608","-5,946,356","-2,713,235","-1,950,081","-4,768,042","-1,820,647","-685,254","-1,896,399",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,828,914","-3,035,345","-3,001,388","-3,755,589","-6,350,494","-3,202,620","-7,957,833","-2,942,978","-5,648,709","-9,802,837","-19,179,693","-2,839,608","-5,946,356","-2,713,235","-1,950,081","-4,768,042","-1,820,647","-685,254","-1,896,399",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,990,325","1,878,466","1,777,235","1,694,386","1,332,511","1,090,428","1,004,208","904,678","672,795","651,125","630,305","613,709","573,696","512,246","482,823","270,956","339,641","305,297",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,990,325","1,878,466","1,777,235","1,694,386","1,332,511","1,090,428","1,004,208","904,678","672,795","651,125","630,305","613,709","573,696","512,246","482,823","270,956","339,641","305,297",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),49.366%,72.269%,76.979%,87.292%,98.056%,67.468%,59.321%,47.412%,17.274%,27.112%,30.546%,126.498%,68.912%,67.786%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.919,-1.616,-1.689,-2.216,-4.766,-2.937,-7.924,-3.253,-8.396,-15.055,-30.429,-4.627,-10.365,-5.297,-4.039,-17.597,-5.361,-2.245,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.919,-1.616,-1.689,-2.216,-4.766,-2.937,-7.924,-3.253,-8.396,-15.055,-30.429,-4.627,-10.365,-5.343,-4.039,-17.597,-5.361,-2.245,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,892,622","-1,417,731","-1,902,390","-1,693,786","-1,958,377","-1,902,881","-1,684,470","-847,352","-1,033,209","-1,033,521","-961,729","-208,879","-3,650,146","24,855","-655,270","-584,610","-913,734","-47,147","-1,590,631",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.951,-0.755,-1.070,-1.000,-1.470,-1.745,-1.677,-0.937,-1.536,-1.587,-1.526,-0.340,-6.363,0.049,-1.357,-2.158,-2.690,-0.154,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.000%,-,84.911%,88.579%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2220.459%,-,-14413.683%,-3977.409%,-8027.928%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2600.108%,-,-18412.692%,-4187.314%,-42067.413%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-873.693%,-,-9240.837%,-288.097%,-35284.627%,Financials in USD,Fiscal year is January - December
EBITDA,"-1,891,578","-2,577,891","-2,672,172","-3,115,659","-7,650,912","-3,434,674","-6,288,642","-2,968,989","-5,261,940","-9,498,682","-15,464,969","-2,594,068","-6,758,973","-2,580,604","-1,664,863","-3,977,359","-1,424,744","-650,421","-361,418",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"250,211","250,211","250,211","250,310","250,308","250,310","250,309","250,346","250,346","250,346","250,346","446,199",366,367,481,"321,984",481,482,481,Financials in USD,Fiscal year is January - December
EBIT,"-2,141,789","-2,828,102","-2,922,383","-3,365,969","-7,901,220","-3,684,984","-6,538,951","-3,219,335","-5,512,286","-9,749,028","-15,715,315","-3,040,267","-6,759,339","-2,580,971","-1,665,344","-4,299,343","-1,425,225","-650,903","-361,899",Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"75,000",-,"9,888","16,365","4,508",Financials in USD,Fiscal year is January - December
