Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,"864,000",-,Financials in CAD,Fiscal year is April - March
Cost of Revenue,-,-,-,-,"1,175,000",-,Financials in CAD,Fiscal year is April - March
Gross Profit,-,-,-,-,"-311,000",-,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","45,721,000","32,588,000","21,341,000","28,222,000","15,870,000","1,478,400",Financials in CAD,Fiscal year is April - March
Research & Development,"36,438,000","32,362,000","25,491,000","17,586,000","3,300,000","321,600",Financials in CAD,Fiscal year is April - March
Operating Expenses,"130,790,000","78,836,000","51,518,000","63,838,000","30,724,000","1,953,600",Financials in CAD,Fiscal year is April - March
Operating Income,"-130,790,000","-78,836,000","-51,518,000","-63,838,000","-31,035,000","-1,953,600",Financials in CAD,Fiscal year is April - March
Interest Expense,-,-,-,-,"-10,000",-,Financials in CAD,Fiscal year is April - March
Interest & Investment Income,"5,702,000","619,000","603,000","241,000","60,000",-,Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),"1,396,000","137,000","4,027,000","-309,000","-460,000","9,600",Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-123,692,000","-78,080,000","-46,888,000","-63,906,000","-31,445,000","-1,944,000",Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Investments,-,-,"-260,000","-29,000","-63,000",-,Financials in CAD,Fiscal year is April - March
Other Unusual Items,-,-,"-342,000","-3,696,000","-712,000",-,Financials in CAD,Fiscal year is April - March
Pretax Income,"-123,692,000","-78,080,000","-47,490,000","-67,631,000","-32,220,000","-1,944,000",Financials in CAD,Fiscal year is April - March
Net Income,"-123,692,000","-78,080,000","-47,490,000","-67,631,000","-32,220,000","-1,944,000",Financials in CAD,Fiscal year is April - March
Net Income to Common,"-123,692,000","-78,080,000","-47,490,000","-67,631,000","-32,220,000","-1,944,000",Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"15,398,759","8,298,697","4,880,485","4,403,000","2,632,286","1,315,389",Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"15,398,759","8,298,697","4,880,485","4,403,000","2,632,286","1,315,389",Financials in CAD,Fiscal year is April - March
Shares Change (YoY),183.367%,70.038%,10.845%,67.269%,100.115%,-,Financials in CAD,Fiscal year is April - March
EPS (Basic),-8.033,-9.409,-9.731,-15.360,-12.240,-1.478,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-8.081,-9.498,-9.878,-15.360,-12.240,-1.824,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"-100,089,000","-68,929,000","-47,573,000","-45,312,000","-19,162,000","-1,384,800",Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,-6.500,-8.306,-9.748,-10.291,-7.280,-1.053,Financials in CAD,Fiscal year is April - March
Gross Margin,-,-,-,-,-35.995%,-,Financials in CAD,Fiscal year is April - March
Operating Margin,-,-,-,-,-3592.014%,-,Financials in CAD,Fiscal year is April - March
Profit Margin,-,-,-,-,-3729.167%,-,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,-,-,-,-,-2217.824%,-,Financials in CAD,Fiscal year is April - March
EBITDA,"-130,566,000","-78,576,000","-51,285,000","-63,670,000","-30,986,000",-,Financials in CAD,Fiscal year is April - March
D&A For EBITDA,"224,000","260,000","233,000","168,000","49,000",-,Financials in CAD,Fiscal year is April - March
EBIT,"-130,790,000","-78,836,000","-51,518,000","-63,838,000","-31,035,000","-1,953,600",Financials in CAD,Fiscal year is April - March
