Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"119,839,000","107,191,000","81,875,000","73,903,677","67,275,000","60,123,000","56,914,000","49,981,763","41,090,137","33,905,007","29,103,093","26,382,867","20,680,550","17,830,590","16,048,618","13,956,087","10,276,358","7,787,594","10,199,744","12,037,049",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),78.133%,78.286%,43.857%,47.861%,63.725%,77.328%,95.560%,89.448%,98.690%,90.151%,81.343%,89.042%,101.244%,128.961%,57.343%,15.943%,42.283%,18.696%,189.060%,196.740%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"60,180,000","49,738,000","42,767,000","42,817,255","42,622,000","43,433,000","40,401,000","35,804,844","31,433,496","26,135,614","25,441,046","22,871,382","20,295,213","18,832,624","17,770,122","11,611,107","11,855,464","13,495,629","16,829,226","11,691,603",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"59,659,000","57,453,000","39,108,000","31,086,422","24,653,000","16,690,000","16,513,000","14,176,919","9,656,641","7,769,393","3,662,047","3,511,485","385,337","-1,002,034","-1,721,504","2,344,980","-1,579,106","-5,708,035","-6,629,482","345,446",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,581,000","17,550,000","16,644,000","16,220,214","15,193,000","15,581,000","16,292,000","18,982,339","17,752,589","15,891,908","17,674,164","16,594,842","13,873,018","12,441,494","12,276,258","10,872,966","10,334,642","9,580,532","8,432,728","7,496,198",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"412,000","560,000","450,000","445,486","596,000","1,403,000","855,000","1,074,556","1,041,947","873,386","624,111","-71,012","770,557","1,158,866","987,649","1,013,464","1,708,391","1,656,420","1,528,738","464,823",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"20,021,000","18,252,000","17,287,000","16,853,186","15,968,000","17,163,000","17,326,000","20,235,381","18,973,374","16,944,132","18,477,113","16,702,669","14,822,413","13,779,198","13,442,745","12,065,269","12,221,871","11,415,790","10,140,304","8,172,255",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"39,638,000","39,201,000","21,821,000","14,233,236","8,685,000","-473,000","-813,000","-6,058,462","-9,316,733","-9,174,739","-14,815,066","-13,191,184","-14,437,076","-14,781,232","-15,164,249","-9,720,289","-13,800,977","-17,123,825","-16,769,786","-7,826,809",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,499,000","-3,783,000","-3,769,000","-6,214,856","-6,398,000","-6,299,000","-6,115,000","-5,736,581","-5,580,366","-4,573,015","-3,389,038","-3,315,724","-3,298,680","-3,246,680","-3,195,750","-3,109,469","-3,091,200","-3,067,306","-2,717,091","-2,730,890",Upgrade,Financials in USD,Fiscal year is January - December
