Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"196,485,000","380,786,000","22,230,000","285,000","650,000","1,426,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-33.219%,1612.937%,7700.000%,-56.154%,-54.418%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"296,302,000","153,628,000","96,443,000","44,040,000","24,594,000","11,899,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-99,817,000","227,158,000","-74,213,000","-43,755,000","-23,944,000","-10,473,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","149,475,000","188,356,000","127,128,000","38,933,000","15,061,000","3,081,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"149,475,000","188,356,000","127,128,000","38,933,000","15,061,000","3,081,000",Financials in USD,Fiscal year is January - December
Operating Income,"-249,292,000","38,802,000","-201,341,000","-82,688,000","-39,005,000","-13,554,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-2,288,000","-1,276,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"15,864,000","16,155,000","4,291,000","36,000","14,000","176,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-11,140,000","-10,600,000","-2,607,000","70,000","-1,269,000","938,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-244,568,000","44,357,000","-199,657,000","-82,582,000","-42,548,000","-13,716,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"9,940,000","9,940,000","2,056,000","-121,000",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-5,228,000","268,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-257,479,000","54,297,000","-197,601,000","-87,931,000","-42,280,000","-13,716,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,987,000","5,026,000","774,000",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-259,466,000","49,271,000","-198,375,000","-87,931,000","-42,280,000","-13,716,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-259,466,000","49,271,000","-198,375,000","-87,931,000","-42,280,000","-13,716,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"67,884,120","67,234,465","58,495,587","6,586,349","6,077,758","5,889,138",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"67,884,120","69,991,340","58,495,587","6,586,349","6,077,758","5,889,138",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-1.590%,19.652%,788.134%,8.368%,3.203%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.822,0.733,-3.391,-13.350,-6.957,-2.329,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.825,0.700,-3.391,-13.350,-6.957,-2.329,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-131,784,000","10,678,000","-182,397,000","-75,152,000","-36,848,000","-10,687,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.941,0.153,-3.118,-11.410,-6.063,-1.815,Financials in USD,Fiscal year is January - December
Gross Margin,-50.801%,59.655%,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-126.876%,10.190%,-905.717%,-29013.333%,-6000.769%,-950.491%,Financials in USD,Fiscal year is January - December
Profit Margin,-132.054%,12.939%,-892.375%,-30852.982%,-6504.615%,-961.851%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-67.071%,2.804%,-820.499%,-26369.123%,-5668.923%,-749.439%,Financials in USD,Fiscal year is January - December
EBITDA,"-248,247,000","39,890,000","-200,854,000","-82,636,000","-39,004,000",-,Financials in USD,Fiscal year is January - December
EBITDA Margin,-126.344%,10.476%,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,045,000","1,088,000","487,000","52,000","1,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-249,292,000","38,802,000","-201,341,000","-82,688,000","-39,005,000","-13,554,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-126.876%,10.190%,-,-,-,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,9.256%,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"380,786,000","380,786,000","22,230,000","285,000",-,-,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"9,500,000","4,400,000",-,-,-,Financials in USD,Fiscal year is January - December
