Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,-,"10,000,000",-,-,-,-,-,-,-,-,"2,596,000","545,000","2,000","500,000","1,006,000","506,000","78,647,000","4,307,000","5,056,000","3,616,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,158.052%,7.708%,-99.997%,-88.391%,-80.103%,-86.007%,770.760%,37.341%,202.573%,198.843%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,000","32,053,000","392,000","495,000","332,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,"10,000,000",-,-,-,-,-,-,-,-,"2,596,000","545,000","2,000","500,000","1,006,000","494,000","46,594,000","3,915,000","4,561,000","3,284,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","12,276,000","10,215,000","10,352,000","8,637,000","7,363,000","7,399,000","7,329,000","6,106,000","6,421,000","6,514,000","5,934,000","5,660,000","5,523,000","6,714,000","6,218,000","7,295,000","17,714,000","15,442,000","18,304,000","23,728,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"24,754,000","18,062,000","17,707,000","22,502,000","13,946,000","12,893,000","12,015,000","10,740,000","11,288,000","14,888,000","13,642,000","11,396,000","9,325,000","9,730,000","8,896,000","10,153,000","10,855,000","9,344,000","10,424,000","12,456,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"37,030,000","28,277,000","28,059,000","31,139,000","21,309,000","20,292,000","19,344,000","16,846,000","17,709,000","21,402,000","19,576,000","17,056,000","14,848,000","16,444,000","15,114,000","17,448,000","28,577,000","25,179,000","29,120,000","36,576,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-37,030,000","-18,277,000","-28,059,000","-31,139,000","-21,309,000","-20,292,000","-19,344,000","-16,846,000","-17,709,000","-21,402,000","-16,980,000","-16,511,000","-14,846,000","-15,944,000","-14,108,000","-16,954,000","18,017,000","-21,264,000","-24,559,000","-33,292,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,148,000","-1,138,000","-1,130,000","-1,120,000","-1,129,000","-1,121,000","-769,000","-724,000","-717,000","-640,000","-56,000","-10,000","-7,980,000","-1,007,000","-975,000","-1,354,000","-1,898,000","-1,868,000","-10,674,000","-5,452,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"831,000","983,000","1,367,000","1,869,000","2,247,000","1,122,000","976,000","769,000","316,000","84,000","46,000","40,000","40,000","49,000","52,000","18,000","19,000","122,000","356,000","611,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"13,380,000","10,176,000","-6,041,000","3,022,000","187,000","-3,990,000","3,423,000","-7,000","20,000","6,000","28,000",-,-,-,-,-,-,-,"-1,313,000","-641,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-23,967,000","-8,256,000","-33,863,000","-27,368,000","-20,004,000","-24,281,000","-15,714,000","-16,808,000","-18,090,000","-21,952,000","-16,962,000","-16,481,000","-22,786,000","-16,902,000","-15,031,000","-18,290,000","16,138,000","-23,010,000","-36,190,000","-38,774,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"200,000","-3,000,000",-,"-1,800,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,580,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-23,967,000","-8,256,000","-33,863,000","-27,368,000","-20,004,000","-24,281,000","-15,714,000","-16,808,000","-18,090,000","-21,952,000","-16,962,000","-16,481,000","-22,786,000","-16,902,000","-15,031,000","-19,670,000","13,138,000","-23,010,000","-37,990,000","-38,774,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"194,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-23,967,000","-8,256,000","-33,863,000","-27,368,000","-20,004,000","-24,281,000","-15,714,000","-16,808,000","-18,090,000","-21,952,000","-16,962,000","-16,481,000","-22,786,000","-16,902,000","-15,031,000","-19,864,000","13,138,000","-23,010,000","-37,990,000","-38,774,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-23,967,000","-8,256,000","-33,863,000","-27,368,000","-20,004,000","-24,281,000","-15,714,000","-16,808,000","-18,090,000","-21,952,000","-16,962,000","-16,481,000","-22,786,000","-16,902,000","-15,031,000","-19,864,000","13,138,000","-23,010,000","-37,990,000","-38,774,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"40,258,000","26,861,000","26,832,000","26,808,000","26,790,000","17,732,000","16,723,000","17,050,000","16,430,000","15,539,000","15,521,994","14,504,329","14,988,411","14,332,078","14,298,828","14,168,496","14,125,828","13,782,911","9,012,746","6,360,914",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"40,258,000","26,861,000","26,832,000","26,808,000","26,790,000","17,732,000","16,723,000","17,050,000","16,430,000","15,539,000","15,521,994","14,504,329","14,988,411","14,332,078","14,298,828","14,168,496","14,146,661","13,782,911","9,012,746","6,360,914",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),50.272%,51.483%,60.450%,57.232%,63.055%,14.113%,7.737%,17.551%,9.618%,8.421%,8.554%,2.370%,5.950%,3.984%,58.651%,122.743%,128.701%,123.879%,46.442%,-16.176%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.595,-0.307,-1.262,-1.021,-0.747,-1.369,-0.940,-0.986,-1.101,-1.413,-1.093,-1.136,-1.520,-1.179,-1.051,-1.402,0.930,-1.669,-4.215,-6.096,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.600,-0.310,-1.262,-1.024,-0.750,-1.370,-0.940,-0.986,-1.101,-1.413,-1.093,-1.179,-1.560,-1.179,-1.080,-1.424,0.930,-1.680,-4.215,-6.118,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-23,795,000","-27,577,000","-28,328,000","-29,681,000","-16,589,000","-19,904,000","-20,286,000","-16,616,000","-15,082,000","-12,694,000","-19,281,000","-9,933,000","-10,827,000","-13,424,000","-19,514,000","-21,703,000","44,741,000","-22,574,000","-34,003,000","-37,221,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.591,-1.027,-1.056,-1.107,-0.619,-1.122,-1.213,-0.975,-0.918,-0.817,-1.242,-0.685,-0.722,-0.937,-1.365,-1.532,3.163,-1.638,-3.773,-5.852,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,100.000%,-,-,-,-,-,-,-,-,100.000%,100.000%,100.000%,100.000%,100.000%,97.628%,59.244%,90.898%,90.210%,90.819%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-182.770%,-,-,-,-,-,-,-,-,-654.083%,-3029.541%,-742300.000%,-3188.800%,-1402.386%,-3350.593%,22.909%,-493.708%,-485.740%,-920.686%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-82.560%,-,-,-,-,-,-,-,-,-653.390%,-3024.037%,-1139300.000%,-3380.400%,-1494.135%,-3925.692%,16.705%,-534.247%,-751.384%,-1072.290%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-275.770%,-,-,-,-,-,-,-,-,-742.720%,-1822.569%,-541350.000%,-2684.800%,-1939.761%,-4289.130%,56.888%,-524.124%,-672.528%,-1029.342%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-37,023,000","-18,271,000","-28,053,000","-31,134,000","-21,304,000","-20,270,000","-19,314,000","-16,817,000","-17,679,000","-21,373,000","-16,950,000","-16,481,000","-14,816,000","-15,879,000","-14,027,000","-16,873,000","18,286,000","-20,776,000","-24,073,000","-32,806,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-182.710%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.251%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,000","6,000","6,000","5,000","5,000","22,000","30,000","29,000","30,000","29,000","30,000","30,000","30,000","65,000","81,000","81,000","269,000","488,000","486,000","486,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-37,030,000","-18,277,000","-28,059,000","-31,139,000","-21,309,000","-20,292,000","-19,344,000","-16,846,000","-17,709,000","-21,402,000","-16,980,000","-16,511,000","-14,846,000","-15,944,000","-14,108,000","-16,954,000","18,017,000","-21,264,000","-24,559,000","-33,292,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-182.770%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.909%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,"10,000,000",-,-,-,-,-,-,-,-,"2,596,000","545,000","2,000","500,000","1,006,000","506,000","78,647,000","4,307,000","5,056,000","3,616,000",Upgrade,Financials in USD,Fiscal year is January - December
