Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,-,"1,073,000","52,404,000","13,047,000","2,159,000","30,249,000","5,678,000","18,198,000","112,545,000","679,000","408,000","6,877,000","278,000","279,000","166,000","135,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-96.453%,822.931%,-28.305%,-98.082%,4354.934%,1291.667%,164.621%,40383.813%,143.369%,145.783%,4994.074%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"28,401,000","30,075,000","32,970,000","32,876,000","32,709,000","33,788,000","31,830,000","27,547,000","31,242,000","31,475,000","26,458,000","25,779,000","25,361,000","20,205,000","16,509,000","11,101,000","10,091,000","8,951,000","8,632,000","20,275,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-28,401,000","-29,002,000","19,434,000","-19,829,000","-30,550,000","-3,539,000","-26,152,000","-9,349,000","81,303,000","-30,796,000","-26,050,000","-18,902,000","-25,083,000","-19,926,000","-16,343,000","-10,966,000","-10,091,000","-8,951,000","-8,632,000","-20,275,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,444,000","8,317,000","8,618,000","11,038,000","7,868,000","8,719,000","8,529,000","10,283,000","7,904,000","7,938,000","8,779,000","9,832,000","6,596,000","6,741,000","5,237,000","6,111,000","3,996,000","3,372,000","2,183,000","2,266,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-13,696,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,444,000","8,317,000","8,618,000","11,038,000","7,868,000","8,719,000","8,529,000","10,283,000","7,904,000","7,938,000","8,779,000","9,832,000","6,596,000","6,741,000","5,237,000","6,111,000","3,996,000","3,372,000","2,183,000","-11,430,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-34,845,000","-37,319,000","10,816,000","-30,867,000","-38,418,000","-12,258,000","-34,681,000","-19,632,000","73,399,000","-38,734,000","-34,829,000","-28,734,000","-31,679,000","-26,667,000","-21,580,000","-17,077,000","-14,087,000","-12,323,000","-10,815,000","-8,845,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,512,000","2,894,000","2,968,000","3,106,000","3,312,000","3,489,000","3,427,000","2,931,000","2,027,000","544,000","129,000","104,000","53,000","38,000","64,000","84,000","156,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
