Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"65,859,000","53,758,000","67,420,000","102,990,000","48,871,000","17,416,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),75.115%,-20.264%,-34.537%,110.738%,180.610%,35.312%,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"152,134,000","116,211,000","158,969,000","215,266,000","14,173,000","27,983,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"-86,275,000","-62,453,000","-91,549,000","-112,276,000","34,698,000","-10,567,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","84,983,000","95,740,000","107,071,000","102,264,000","54,287,000","50,724,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"116,276,000","115,724,000","62,550,000","815,907,000","113,808,000","43,242,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"-1,822,000","-2,174,000","-34,826,000","-98,000","154,000","350,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"199,365,000","209,290,000","134,795,000","918,073,000","168,249,000","94,316,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-285,640,000","-271,743,000","-226,344,000","-1,030,349,000","-133,551,000","-104,883,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,-,-,"-2,299,000","-6,793,000","-22,103,000","-1,460,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"13,868,000","15,411,000","1,733,000","81,000","2,070,000","833,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,210,000","-1,210,000","869,000","6,153,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"37,000","37,000","-1,000","324,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"-272,945,000","-257,505,000","-226,042,000","-1,030,584,000","-153,584,000","-105,510,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"1,158,000","1,195,000","785,000",-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Asset Writedown,"-11,333,000","-8,085,000","-24,948,000","-22,810,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Other Unusual Items,"5,968,000","3,566,000","440,000","640,896,000","23,736,000","5,385,000",Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-276,292,000","-259,969,000","-249,155,000","-412,498,000","-129,848,000","-100,125,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"2,138,000","198,000","-126,000","-782,000","-726,000","-252,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"-278,430,000","-260,167,000","-249,029,000","-411,716,000","-129,122,000","-99,873,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"-278,430,000","-260,167,000","-249,029,000","-411,716,000","-129,122,000","-99,873,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"224,135,283","220,833,271","189,074,911","186,012,586","132,195,792","96,693,265",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"224,135,283","220,833,271","189,074,911","186,012,586","132,195,792","96,693,265",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),9.654%,16.797%,1.646%,40.710%,36.717%,-,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),-1.242,-1.178,-1.317,-2.213,-0.977,-1.033,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-1.244,-1.180,-1.320,-2.213,-0.977,-1.033,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-323,437,000","-320,207,000","-374,200,000","-857,350,000","486,074,000","-98,135,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-1.443,-1.450,-1.979,-4.609,3.677,-1.015,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Margin,-131.000%,-116.174%,-135.789%,-109.016%,70.999%,-60.674%,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,-433.714%,-505.493%,-335.722%,-1000.436%,-273.272%,-602.222%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,-422.767%,-483.960%,-369.370%,-399.763%,-264.210%,-573.455%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,-491.105%,-595.645%,-555.028%,-832.459%,994.606%,-563.476%,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"-270,342,000","-254,949,000","-209,386,000","-1,020,042,000","-123,095,000","-97,719,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-251.877%,-,Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"15,298,000","16,794,000","16,958,000","10,307,000","10,456,000","7,164,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"-285,640,000","-271,743,000","-226,344,000","-1,030,349,000","-133,551,000","-104,883,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT Margin,-,-,-,-,-273.272%,-,Upgrade,Financials in EUR,Fiscal year is January - December
