Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+17 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+17 Quarters,,
Operating Revenue,"380,000","117,142","1,205","2,165",-,"6,109","128,272","588,994","42,269","312,860","25,660","-37,793","98,999","31,441","263,150","62,193","115,553","226,513","78,786","99,962",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"9,276",-,-,-,"15,884",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"389,276","117,142","1,205","2,165","15,884","6,109","128,272","588,994","42,269","312,860","25,660","-37,793","98,999","31,441","263,150","62,193","115,553","226,513","78,786","99,962",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),2350.743%,1817.532%,-99.061%,-99.632%,-62.422%,-98.047%,399.891%,-,-57.304%,895.070%,-90.249%,-,-14.326%,-86.120%,234.006%,-37.783%,-41.561%,18.110%,-62.879%,3254.430%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,296,190,277,"139,206","29,614","72,981","60,236","265,411","10,741","8,367","1,896","2,802",393,646,"1,245","1,902","8,619","4,236","3,959","2,489",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"388,980","116,952",928,"-137,041","-13,730","-66,872","68,036","323,583","31,528","304,493","23,764","-40,595","98,606","30,795","261,905","60,291","106,934","222,277","74,827","97,473",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","301,208","640,451","831,257","1,526,645","1,182,093","1,386,788","1,272,752","67,490","3,216,146","1,592,831","1,191,078","1,766,836","1,579,996","1,231,692","1,167,595","1,580,467","1,262,199","1,277,133","1,152,889","929,353",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"37,825","40,401","69,066","72,185","141,310","514,442","334,979","1,495,788","305,483","532,782","359,404","260,188","263,424","358,878","121,315","183,284","134,501","139,082","92,790","269,589",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-16,864",-,-,-,"10,769",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"322,169","1,093,593","3,445,318","1,824,569","2,151,912","2,126,970","1,974,220","3,456,573","3,747,369","2,351,353","6,242,485","6,406,559","2,069,160","2,066,310","1,514,650","4,910,910","1,396,700","1,416,290","1,246,204","1,221,256",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"66,811","-976,641","-3,444,390","-1,961,610","-2,165,642","-2,193,842","-1,906,184","-3,132,990","-3,715,841","-2,046,860","-6,218,721","-6,447,154","-1,970,554","-2,035,515","-1,252,745","-4,850,619","-1,289,766","-1,194,013","-1,171,377","-1,123,783",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-219,533","-260,032","-684,683","-1,103,301","-1,218,624","-114,752","-56,663","-134,461","-126,536","-14,758","-18,213","-29,388","-38,677","-82,671","-130,229","-116,679","-16,311","-140,525","-131,517","-107,474",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"44,261","27,141","4,049","37,483","40,246","55,041","52,711","60,463","48,164","39,015","40,175","24,367","9,333","10,722","52,529","31,404","20,236","9,350","10,720","16,065",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-67,885","-79,057",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"30,429","-117,665","113,520","78,315","-25,059","-18,305","-12,261","-277,328",-177,"10,479","7,563","437,122","-5,999","-5,758",951,"-11,844",-90,"8,656",2,5,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"12,000","22,671","30,485","16,558",-,"38,328","25,167","63,859","22,088","-17,660","14,714","97,534","3,420","54,293","6,538","4,457","5,803","176,628","12,753","100,121",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-133,917","-1,383,583","-3,981,019","-2,932,555","-3,369,079","-2,233,530","-1,897,230","-3,420,457","-3,772,302","-2,029,784","-6,174,482","-5,917,519","-2,002,477","-2,058,929","-1,322,956","-4,943,281","-1,280,128","-1,139,904","-1,279,419","-1,115,066",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-221,888",-,-,-,"-7,446",-,-,-,"-76,697","-91,765","-53,591","-47,791","-112,258","-895,738","-1,092,797","-70,411","-27,973",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-110,125",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"104,167","132,331",-,"124,400",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-133,917","-1,383,583","-3,981,019","-3,154,443","-3,369,079","-2,233,530","-1,897,230","-3,538,028","-3,772,302","-2,029,784","-6,174,482","-5,890,049","-1,961,911","-2,112,520","-1,246,347","-5,055,539","-2,175,866","-2,232,701","-1,349,830","-1,143,039",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,355,"-110,894",-,"175,310",-999,"81,695",-,"962,874","4,222","-82,451","-86,867","1,011,279","-75,667","-59,564","-51,024","-86,405","-44,735","-48,644","-40,568","-27,253",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-134,272","-1,272,689","-3,981,019","-3,329,753","-3,368,080","-2,315,225","-1,897,230","-4,500,902","-3,776,524","-1,947,333","-6,087,615","-6,901,328","-1,886,244","-2,052,956","-1,195,323","-4,969,134","-2,131,131","-2,184,057","-1,309,262","-1,115,786",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-52,289","260,044","48,043","218,819","50,564","51,714","73,535","-363,036","71,660","88,336","92,175","-1,030,926","79,756","81,390","66,818","120,851","285,085","334,760","61,724","38,115",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-186,561","-1,012,645","-3,932,976","-3,110,934","-3,317,516","-2,263,511","-1,823,695","-4,863,938","-3,704,864","-1,858,997","-5,995,440","-7,932,254","-1,806,488","-1,971,566","-1,128,505","-4,848,283","-1,846,046","-1,849,297","-1,247,538","-1,077,671",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-186,561","-1,012,645","-3,932,976","-3,110,934","-3,317,516","-2,263,511","-1,823,695","-4,863,938","-3,704,864","-1,858,997","-5,995,440","-7,932,254","-1,806,488","-1,971,566","-1,128,505","-4,848,283","-1,846,046","-1,849,297","-1,247,538","-1,077,671",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"12,405,261","11,321,277","9,736,150","6,676,178","4,055,345","3,308,740","3,307,577","3,306,455","3,257,912","3,130,733","2,968,340","2,510,752","2,688,218","2,442,108","2,442,053","2,040,136","1,948,817","1,948,817","1,948,454","1,799,246",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"12,405,261","11,321,277","9,736,150","6,676,178","4,055,345","3,308,740","3,307,577","3,306,455","3,257,912","3,130,733","2,968,340","2,510,752","2,688,218","2,442,108","2,442,053","2,040,136","1,948,817","1,948,817","1,948,454","1,799,246",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),205.899%,242.163%,194.359%,101.913%,24.477%,5.686%,11.429%,31.692%,21.192%,28.198%,21.551%,23.068%,37.941%,25.312%,25.333%,13.388%,2.457%,11.853%,30.195%,51.391%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.015,-0.089,-0.404,-0.466,-0.818,-0.684,-0.551,-1.471,-1.137,-0.594,-2.020,-3.159,-0.672,-0.807,-0.462,-2.376,-0.947,-0.949,-0.640,-0.599,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.020,-0.090,-0.404,-0.470,-0.820,-0.684,-0.551,-1.471,-1.140,-0.594,-2.020,-3.159,-0.700,-0.807,-0.500,-2.444,-0.947,-0.949,-0.640,-0.599,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"171,724","-1,014,097","-473,161","-479,460","-1,380,126","-899,827","-1,497,633","-461,158","-518,061","-3,451,387","-3,087,477","-2,524,616","-2,233,528","-1,444,004","-1,413,074","-2,188,046","-328,802","-1,416,127","-630,944","-1,495,817",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.014,-0.090,-0.049,-0.072,-0.340,-0.272,-0.453,-0.139,-0.159,-1.102,-1.040,-1.006,-0.831,-0.591,-0.579,-1.073,-0.169,-0.727,-0.324,-0.831,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,99.924%,99.838%,77.012%,-,-86.439%,-,53.040%,54.938%,74.589%,97.326%,92.611%,-,99.603%,97.945%,99.527%,96.942%,92.541%,98.130%,94.975%,97.510%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,17.163%,-833.724%,-285841.494%,-90605.543%,-13634.110%,-35911.639%,-1486.048%,-531.922%,-8790.937%,-654.242%,-24235.078%,-,-1990.479%,-6474.078%,-476.057%,-7799.301%,-1116.168%,-527.128%,-1486.783%,-1124.210%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-47.925%,-864.459%,-326388.050%,-143692.102%,-20885.898%,-37052.071%,-1421.741%,-825.804%,-8764.967%,-594.195%,-23364.926%,-,-1824.754%,-6270.685%,-428.845%,-7795.545%,-1597.575%,-816.420%,-1583.451%,-1078.081%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,44.114%,-865.699%,-39266.473%,-22145.958%,-8688.781%,-14729.530%,-1167.545%,-78.296%,-1225.629%,-1103.173%,-12032.256%,-,-2256.112%,-4592.742%,-536.984%,-3518.155%,-284.546%,-625.186%,-800.833%,-1496.386%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"73,825","-963,336","-3,443,104","-1,954,028","-2,158,183","-2,186,845","-1,899,691","-3,126,555","-3,709,379","-2,041,369","-6,213,310","-6,443,886","-1,967,698","-2,032,574","-1,249,817","-4,843,806","-1,281,036","-1,183,588","-1,160,203","-1,112,590",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,18.965%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,014","13,305","1,286","7,582","7,459","6,997","6,493","6,435","6,462","5,491","5,411","3,268","2,856","2,941","2,928","6,813","8,730","10,425","11,174","11,193",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"66,811","-976,641","-3,444,390","-1,961,610","-2,165,642","-2,193,842","-1,906,184","-3,132,990","-3,715,841","-2,046,860","-6,218,721","-6,447,154","-1,970,554","-2,035,515","-1,252,745","-4,850,619","-1,289,766","-1,194,013","-1,171,377","-1,123,783",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,17.163%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"389,276",-,-,-,"15,884",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
