Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"3,295,000","73,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"3,295,000","73,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,867,000","10,354,000","8,208,000","6,251,000","5,666,000","2,647,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"10,500,000","11,916,000","17,056,000","19,583,000","10,902,000","8,216,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"18,367,000","22,270,000","25,264,000","25,834,000","16,568,000","10,863,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-15,072,000","-22,197,000","-25,264,000","-25,834,000","-16,568,000","-10,863,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,776,000","-897,000","-798,000","-159,000","-29,000","-39,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,672,000","154,000","13,000",-,-,"9,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-257,000","-257,000","1,713,000","1,283,000","22,000","56,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"282,000","282,000","395,000",-,-,"-1,183,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-12,151,000","-22,915,000","-23,941,000","-24,710,000","-16,575,000","-12,020,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-690,000","-790,000","-772,000","-178,000","-1,557,000","-825,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-11,461,000","-22,125,000","-23,169,000","-24,532,000","-15,018,000","-11,195,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-11,461,000","-22,125,000","-23,169,000","-24,532,000","-15,018,000","-11,195,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,619,946","2,733,583","2,363,869","1,949,314","1,543,476","1,389,231",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,619,946","2,733,583","2,363,869","1,949,314","1,543,476","1,389,231",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),78.192%,15.640%,21.267%,26.294%,11.103%,7.550%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.481,-8.094,-9.801,-12.585,-9.730,-8.058,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.481,-8.094,-9.801,-12.585,-9.730,-8.058,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,"-17,778,000","-26,066,000","-23,233,000","-12,587,000","-7,080,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-6.504,-11.027,-11.919,-8.155,-5.096,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-457.420%,-30406.849%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-347.830%,-30308.219%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-24353.425%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-14,873,750","-21,798,000","-24,907,000","-25,490,000","-16,463,000","-10,782,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"198,250","399,000","357,000","344,000","105,000","81,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-15,072,000","-22,197,000","-25,264,000","-25,834,000","-16,568,000","-10,863,000",Upgrade,Financials in USD,Fiscal year is January - December
