Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
"Selling, General & Admin","4,322,000","8,155,000","1,997,000","813,000","1,195,000",Financials in USD,Fiscal year is January - December
Research & Development,"3,985,000","3,232,000","242,000","249,000","264,000",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,"-250,000",-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,307,000","11,137,000","2,239,000","1,062,000","1,459,000",Financials in USD,Fiscal year is January - December
Operating Income,"-8,307,000","-11,137,000","-2,239,000","-1,062,000","-1,459,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,"-2,082,000","-653,000","-547,000","-1,072,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"18,000","182,000",-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,263,000","-13,037,000","-2,892,000","-1,609,000","-2,531,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-325,000","50,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,263,000","-13,037,000","-3,217,000","-1,559,000","-2,531,000",Financials in USD,Fiscal year is January - December
Net Income,"-8,263,000","-13,037,000","-3,217,000","-1,559,000","-2,531,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,263,000","-13,037,000","-3,217,000","-1,559,000","-2,531,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,046,219","35,505",-,"262,473","256,684",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,046,219","35,505",-,"262,473","256,684",Financials in USD,Fiscal year is January - December
Shares Change (YoY),4890.312%,-,-,2.255%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-7.898,-367.188,-,-5.940,-9.860,Financials in USD,Fiscal year is January - December
EPS (Diluted),-7.898,-367.188,-,-5.940,-9.860,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,172,000","-8,998,000","-1,088,000","-847,000","-831,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-11.634,-253.429,-,-3.227,-3.237,Financials in USD,Fiscal year is January - December
EBITDA,"-8,303,000","-11,133,000","-2,236,000","-1,059,000","-1,456,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,000","4,000","3,000","3,000","3,000",Financials in USD,Fiscal year is January - December
EBIT,"-8,307,000","-11,137,000","-2,239,000","-1,062,000","-1,459,000",Financials in USD,Fiscal year is January - December
