Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023",,
Revenue,-,-,-,"350,000",-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"9,702,000","9,564,500","9,564,500","9,819,000","10,068,000","10,068,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-9,702,000","-9,564,500","-9,564,500","-9,469,000","-10,068,000","-10,068,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,814,000","3,204,000","3,204,000","2,869,000","2,965,000","2,965,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"3,814,000","3,204,000","3,204,000","2,869,000","2,965,000","2,965,000",Financials in USD,Fiscal year is January - December
Operating Income,"-13,516,000","-12,768,500","-12,768,500","-12,338,000","-13,033,000","-13,033,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-6,000",-,-,"-10,000",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"94,000","313,000","313,000","689,000","775,000","775,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-56,000","-58,500","-58,500","-37,000","-45,000","-45,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-13,484,000","-12,514,000","-12,514,000","-11,696,000","-12,303,000","-12,303,000",Financials in USD,Fiscal year is January - December
Net Income,"-13,484,000","-12,514,000","-12,514,000","-11,696,000","-12,303,000","-12,303,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-13,484,000","-12,514,000","-12,514,000","-11,696,000","-12,303,000","-12,303,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"557,437","476,167","476,167","400,426","375,127","375,127",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"557,437","476,167","476,167","400,426","375,127","375,127",Financials in USD,Fiscal year is January - December
Shares Change (YoY),48.600%,26.935%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-24.189,-26.281,-26.281,-29.209,-32.797,-32.797,Financials in USD,Fiscal year is January - December
EPS (Diluted),-24.189,-26.281,-26.281,-29.209,-32.797,-32.797,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,693,000","-12,379,500","-12,379,500","-6,761,000","-13,023,000","-13,023,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-17.389,-25.998,-25.998,-16.885,-34.716,-34.716,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-3525.143%,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-3341.714%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-1931.714%,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-13,098,000","-12,338,500","-12,338,500","-11,908,000","-12,626,500","-12,626,500",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"418,000","430,000","430,000","430,000","406,500","406,500",Financials in USD,Fiscal year is January - December
EBIT,"-13,516,000","-12,768,500","-12,768,500","-12,338,000","-13,033,000","-13,033,000",Financials in USD,Fiscal year is January - December
