Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"63,192,000","57,424,000","51,346,000","55,311,000","71,857,000","73,414,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),15.932%,11.837%,-7.169%,-23.026%,-2.121%,21.607%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"36,503,000","40,621,000","63,392,000","193,657,000","260,953,000","219,248,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"26,689,000","16,803,000","-12,046,000","-138,346,000","-189,096,000","-145,834,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","66,165,000","70,095,000","67,073,000","99,296,000","108,531,000","106,081,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"66,165,000","70,095,000","67,073,000","99,296,000","108,531,000","106,081,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-39,476,000","-53,292,000","-79,119,000","-237,642,000","-297,627,000","-251,915,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,526,000","-2,350,000","-6,369,000","-8,547,000","-8,547,000","-31,862,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,764,000","9,056,000","6,736,000","2,009,000","4,741,000","8,195,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,"33,705,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"60,000","60,000","-900,000","-900,000","-300,000","200,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"-1,610,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-36,178,000","-46,526,000","-79,652,000","-245,080,000","-303,343,000","-241,677,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-2,743,000","-12,838,000","-20,142,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"2,709,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-3,034,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-40,691,000","-49,269,000","-92,815,000","-265,222,000","-303,343,000","-241,677,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"8,710,000","5,924,000","9,000","-151,000","-8,520,000","-5,222,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-49,401,000","-55,193,000","-92,824,000","-265,071,000","-294,823,000","-236,455,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,"964,956,000","65,645,000","16,806,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-49,401,000","-55,193,000","872,132,000","-199,426,000","-278,017,000","-236,455,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-49,401,000","-55,193,000","872,132,000","-199,426,000","-278,017,000","-236,455,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"48,855,250","55,303,000","73,591,000","69,461,000","62,345,000","55,610,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"48,855,250","55,303,000","73,591,000","69,461,000","62,345,000","55,610,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-18.299%,-24.851%,5.946%,11.414%,12.111%,3.041%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.011,-0.998,11.851,-2.871,-4.459,-4.252,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.011,-0.998,11.851,-2.875,-4.460,-4.252,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,306,000","-29,485,000","-187,563,000","-211,264,000","-257,019,000","-241,373,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.252,-0.533,-2.549,-3.041,-4.123,-4.340,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,42.235%,29.261%,-23.460%,-250.124%,-263.156%,-198.646%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-62.470%,-92.804%,-154.090%,-429.647%,-414.193%,-343.143%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-78.176%,-96.115%,1698.539%,-360.554%,-386.903%,-322.084%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-19.474%,-51.346%,-365.292%,-381.957%,-357.681%,-328.783%,Upgrade,Financials in USD,Fiscal year is January - December
