Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-11,838,000","3,882,000","4,495,000","3,461,000","2,140,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,838,000","-3,882,000","-4,495,000","-3,461,000","-2,140,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,773,000","1,589,000","2,152,000","1,406,000","2,580,000","2,420,000","2,292,000","2,242,000","2,653,000","2,907,000","2,988,000","2,966,000","3,467,000","3,371,000","4,669,000","3,426,000","3,923,000","3,453,000","3,242,000","2,414,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,968,000","9,863,000","2,253,000","2,853,000","2,110,000","1,763,000","1,415,000","816,000","1,543,000","2,995,000","4,945,000","4,476,000","4,680,000","4,221,000","4,410,000","15,373,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,741,000","11,452,000","4,405,000","4,259,000","4,690,000","4,183,000","3,707,000","3,058,000","4,196,000","5,902,000","7,933,000","7,442,000","8,147,000","7,592,000","9,079,000","18,799,000","3,923,000","3,453,000","3,242,000","2,414,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,741,000","-11,452,000","-4,405,000","-4,259,000","-4,690,000","-4,183,000","-3,707,000","-3,058,000","-4,196,000","-5,902,000","-7,933,000","-7,442,000","-8,147,000","-7,592,000","-9,079,000","-6,961,000","-7,805,000","-7,948,000","-6,703,000","-4,554,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-51,000","-110,000","-13,000","-12,000","-13,000","-13,000","-12,000","-13,000","-14,000","-13,000","-13,000","-13,000","-14,000","-46,000","-41,000","-4,000","-46,000","-31,000","-44,000","-137,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"12,000","20,000","30,000","61,000","112,000","108,000","44,000","52,000","39,000","17,000","1,000","1,000","1,000","39,000","50,000","7,000","21,000","5,000","89,000","29,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"100,000","100,000","200,000","-300,000","200,000","100,000","100,000","-200,000","500,000","200,000","200,000",-,"-100,000","-300,000","100,000","-600,000","-300,000","-500,000","200,000","-900,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,620,000","-385,000","1,000","56,000","-34,000","-39,000","-52,000","-86,000","69,000","1,000","18,000","-24,000","47,000","-52,000","9,000","104,000","10,000","-1,084,000","-38,000","-19,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,060,000","-11,827,000","-4,187,000","-4,454,000","-4,425,000","-4,027,000","-3,627,000","-3,305,000","-3,602,000","-5,697,000","-7,727,000","-7,478,000","-8,213,000","-7,951,000","-8,961,000","-7,454,000","-8,120,000","-9,558,000","-6,496,000","-5,581,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-700,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,"-2,574,000","-484,000","-534,000","-454,000","-11,636,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-38,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-7,220,000",-,-,"-400,000","-7,250,000",-,"-37,770,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"71,000",-,"14,520,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"-900,000",-,-,"-1,794,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,989,000","-11,827,000","10,333,000","-5,154,000","-4,425,000","-6,601,000","-4,111,000","-11,059,000","-4,056,000","-17,333,000","-8,127,000","-14,728,000","-8,213,000","-45,721,000","-8,961,000","-7,454,000","-9,020,000","-9,558,000","-6,534,000","-7,375,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-240,000","197,000","114,000",-,-,-,-,"-1,367,000",-,-,-,"-1,655,000",-,"-8,332,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,749,000","-12,024,000","10,219,000","-5,154,000","-4,425,000","-6,601,000","-4,111,000","-9,692,000","-4,056,000","-17,333,000","-8,127,000","-13,073,000","-8,213,000","-37,389,000","-8,961,000","-7,454,000","-9,020,000","-9,558,000","-6,534,000","-7,375,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"1,001,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,750,000","-12,024,000","10,219,000","-5,154,000","-4,425,000","-6,601,000","-4,111,000","-9,692,000","-4,056,000","-17,333,000","-8,127,000","-13,073,000","-8,213,000","-37,389,000","-8,961,000","-7,454,000","-9,020,000","-9,558,000","-6,534,000","-7,375,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"887,000","575,000","465,000","300,837","286,000","224,000","48,000","41,501","34,611","32,444","31,444","31,280","29,671","29,278","19,661","18,812","18,421","16,768","15,219","12,814",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"887,000","575,000","465,000","300,837","286,000","224,000","48,000","41,501","34,611","32,444","31,444","31,280","29,671","29,278","19,661","18,812","18,421","16,768","15,219","12,814",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),210.140%,156.696%,868.750%,624.891%,726.327%,590.420%,52.652%,32.676%,16.649%,10.814%,59.931%,66.277%,61.072%,74.606%,29.187%,46.808%,54.513%,40.648%,27.848%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.228,-20.911,21.976,-17.132,-15.472,-29.469,-85.646,-233.537,-117.188,-534.244,-258.459,-417.935,-276.802,-1277.034,-455.775,-396.236,-489.659,-570.014,-429.332,-575.542,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.228,-20.911,21.976,-17.132,-15.472,-29.470,-85.646,-233.537,-117.188,-534.244,-258.459,-417.935,-276.802,-1277.034,-455.775,-396.236,-489.659,-570.014,-429.332,-575.542,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,444,000","-2,338,000","-2,947,000","-3,567,000","-3,869,000","-3,497,000","-2,519,000","-3,380,000","-4,099,000","-5,268,000","-6,718,000","-5,105,000","-5,384,000","-7,406,000","-6,048,000","-4,803,000","-8,271,000","-7,050,000","-5,482,000","-5,521,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-7.265,-4.066,-6.338,-11.857,-13.528,-15.612,-52.479,-81.444,-118.431,-162.372,-213.650,-163.203,-181.457,-252.954,-307.614,-255.316,-448.998,-420.444,-360.208,-430.857,Upgrade,Financials in USD,Fiscal year is January - December
