Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"2,446,161","1,712,595","766,277",827,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),112.174%,123.496%,92557.437%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"705,656","578,015","318,968",88,-,Financials in USD,Fiscal year is January - December
Gross Profit,"1,740,505","1,134,580","447,309",739,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,301,897","4,398,124","1,946,821","659,784","102,987",Financials in USD,Fiscal year is January - December
Research & Development,"365,267","395,233","209,743","123,632","118,857",Financials in USD,Fiscal year is January - December
Operating Expenses,"6,677,414","4,803,652","2,161,598","785,801","221,844",Financials in USD,Fiscal year is January - December
Operating Income,"-4,936,909","-3,669,072","-1,714,289","-785,062","-221,844",Financials in USD,Fiscal year is January - December
Interest Expense,"-709,442","-19,525","-2,629",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,328,"5,564","7,702",-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-8,270","-6,130","-2,749",323,"-1,066",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"185,379","-612,354","-86,757",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,468,914","-4,301,517","-1,798,722","-784,739","-222,910",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"-1,546",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,468,914","-4,301,517","-1,800,268","-784,739","-222,910",Financials in USD,Fiscal year is January - December
Net Income,"-5,468,914","-4,301,517","-1,800,268","-784,739","-222,910",Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,468,914","-4,301,517","-1,800,268","-784,739","-222,910",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"88,247","53,730","47,644","47,303","22,071",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"88,247","53,730","47,644","47,303","22,071",Financials in USD,Fiscal year is January - December
Shares Change (YoY),79.923%,12.774%,0.721%,114.322%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-61.973,-80.058,-37.786,-16.590,-10.100,Financials in USD,Fiscal year is January - December
EPS (Diluted),-61.973,-80.058,-37.786,-16.590,-10.100,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,883,745","-4,568,002","-1,621,403","-693,416","-217,164",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-66.674,-85.018,-34.032,-14.659,-9.839,Financials in USD,Fiscal year is January - December
Gross Margin,71.153%,66.249%,58.374%,89.359%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-201.823%,-214.240%,-223.717%,-94928.900%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-223.571%,-251.170%,-234.937%,-94889.843%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-240.530%,-266.730%,-211.595%,-83847.158%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-4,924,282","-3,657,423","-1,707,777","-782,305",-,Financials in USD,Fiscal year is January - December
EBITDA Margin,-201.306%,-213.560%,-222.867%,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"12,627","11,649","6,512","2,757",-,Financials in USD,Fiscal year is January - December
EBIT,"-4,936,909","-3,669,072","-1,714,289","-785,062","-221,844",Financials in USD,Fiscal year is January - December
EBIT Margin,-201.823%,-214.240%,-223.717%,-,-,Financials in USD,Fiscal year is January - December
