Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020",,
Revenue,"9,300,000","2,264,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"806,000","88,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"8,494,000","2,176,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","12,955,000","21,089,000","14,929,000","15,087,000","12,886,000","10,107,000","11,045,000","10,520,000","13,200,000","14,620,000","8,704,000","14,664,000","11,052,000","7,124,000","3,677,000","4,610,858","842,000","50,000",Financials in USD,Fiscal year is January - December
Research & Development,"57,850,000","30,334,000","31,160,000","62,265,000","25,574,000","43,618,000","27,201,000","19,919,000","30,131,000","37,129,000","92,035,000","68,426,000","45,366,000","35,067,000","34,032,000","30,401,578","7,251,000","48,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"70,805,000","51,423,000","46,089,000","77,352,000","38,460,000","53,725,000","38,246,000","30,439,000","43,331,000","51,749,000","100,739,000","83,090,000","56,418,000","42,191,000","37,709,000","35,012,436","8,093,000","98,000",Financials in USD,Fiscal year is January - December
Operating Income,"-62,311,000","-49,247,000","-46,089,000","-77,352,000","-38,460,000","-53,725,000","-38,246,000","-30,439,000","-43,331,000","-51,749,000","-100,739,000","-83,090,000","-56,418,000","-42,191,000","-37,709,000","-35,012,436","-8,093,000","-98,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,572,000","2,000,000","2,600,000","2,700,000","1,900,000","1,600,000","1,100,000","732,000","2,244,000","759,000",-,"1,700,000",-,"18,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"-7,000","-2,000","20,000","47,000","-50,000","-17,359,000",-,-,"73,000","-799,000","43,000",-,"9,000","13,714",-,-,Financials in USD,Fiscal year is January - December
