Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021",,
"Selling, General & Admin","550,737","424,447","444,530","945,165","1,387,031","155,727","117,707","148,412","280,256","32,259","16,604","32,399","249,837",Financials in USD,Fiscal year is July - June
Research & Development,"2,826,000","3,525,000","25,000","75,459","483,466","2,575,785","2,623,399","2,607,928","2,605,188","1,041,892","151,688","73,494","87,174",Financials in USD,Fiscal year is July - June
Operating Expenses,"3,376,737","3,949,447","469,530","1,020,624","1,870,497","2,731,512","2,741,106","2,756,340","2,885,444","1,074,151","168,292","105,893","337,011",Financials in USD,Fiscal year is July - June
Operating Income,"-3,376,737","-3,949,447","-469,530","-1,020,624","-1,870,497","-2,731,512","-2,741,106","-2,756,340","-2,885,444","-1,074,151","-168,292","-105,893","-337,011",Financials in USD,Fiscal year is July - June
Pretax Income,"-3,376,737","-3,949,447","-469,530","-1,020,624","-1,870,497","-2,731,512","-2,741,106","-2,756,340","-2,885,444","-1,074,151","-168,292","-105,893","-337,011",Financials in USD,Fiscal year is July - June
Income Tax Expense,-,"1,625",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Net Income,"-3,376,737","-3,951,072","-469,530","-1,020,624","-1,870,497","-2,731,512","-2,741,106","-2,756,340","-2,885,444","-1,074,151","-168,292","-105,893","-337,011",Financials in USD,Fiscal year is July - June
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,"-611,196",-,-,-,Financials in USD,Fiscal year is July - June
Net Income to Common,"-3,376,737","-3,951,072","-469,530","-1,020,624","-1,870,497","-2,731,512","-2,741,106","-2,756,340","-2,885,444","-462,955","-168,292","-105,893","-337,011",Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"36,208,477","36,525,311","35,519,192","35,201,232","1,052,656","593,559","337,275","168,758","84,041","176,000",-,-,-,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"36,208,477","36,525,311","35,519,192","35,201,232","1,052,656","593,559","337,275","168,758","84,041","176,000",-,-,-,Financials in USD,Fiscal year is July - June
Shares Change (YoY),3339.726%,6053.611%,10431.226%,20759.000%,1152.551%,237.249%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.093,-0.108,-0.013,-0.029,-1.777,-4.602,-8.127,-16.333,-34.334,-2.630,-,-,-,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.093,-0.108,-0.013,-0.029,-1.777,-4.602,-8.127,-16.333,-34.334,-2.630,-,-,-,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-2,217,460","-291,513","-4,234,634","-11,266,967","-275,192","-43,245","-84,454","-108,196","-1,100,226","-926,667","-107,308","-89,002","-319,051",Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.061,-0.008,-0.119,-0.320,-0.261,-0.073,-0.250,-0.641,-13.092,-5.265,-,-,-,Financials in USD,Fiscal year is July - June
EBIT,"-3,376,737","-3,949,447","-469,530","-1,020,624","-1,870,497","-2,731,512","-2,741,106","-2,756,340","-2,885,444","-1,074,151","-168,292","-105,893","-337,011",Financials in USD,Fiscal year is July - June
